LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
101311-9,17-Hydroxyprogesterone^30M post dose corticotropin,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,MIN,,ACTIVE,,1,,,,,N,"17-alpha-hydroxyprogesterone; 17-Hydroxypregn-4-en-3,20-dione; 17-hydroxy-progest; 17-OH Progesterone; 17OHP; 17-OHP; 17-P; 30M p ACTH; ACTH; Adrenocorticotrophic hormone; Adrenocorticotropin; After; c206; c74; CHEMISTRY.CHALLENGE TESTING; Cortrosyn; Hydroxyproges; Hydroxyprogstron; Level; Mass concentration; p ACTH; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Rc206; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker",17OHP 30M p ACTH SerPl-mCnc,Observation,,,ng/dL,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --30 minutes post dose corticotropin,ng/dL,,,,0,0,,,,,,2.74,,17-Hydroxyprogesterone 30 Min post dose corticotropin [Mass/Vol]
101312-7,17-Hydroxyprogesterone^1H post dose corticotropin,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,MIN,,ACTIVE,,1,,,,,N,"1 hour; 1.0Hr; 17-alpha-hydroxyprogesterone; 17-Hydroxypregn-4-en-3,20-dione; 17-hydroxy-progest; 17-OH Progesterone; 17OHP; 17-OHP; 17-P; 1h p ACTH; 60 min; 60 minutes; 60M; 60min; ACTH; Adrenocorticotrophic hormone; Adrenocorticotropin; After; c206; c74; CHEMISTRY.CHALLENGE TESTING; Cortrosyn; Hydroxyproges; Hydroxyprogstron; Level; Mass concentration; p ACTH; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Rc206; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker",17OHP 1h p ACTH SerPl-mCnc,Observation,,,ng/dL,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --1 hour post dose corticotropin,ng/dL,,,,0,0,,,,,,2.74,,17-Hydroxyprogesterone 1 Hr post dose corticotropin [Mass/Vol]
107495-4,17-Hydroxyprogesterone,MCnc,Pt,Ser/Plas,Qn,LC/MS/MS,CHEM,2.81,ADD,,ACTIVE,,1,,,,,N,"17-alpha-hydroxyprogesterone; 17-Hydroxypregn-4-en-3,20-dione; 17-hydroxy-progest; 17-OH Progesterone; 17OHP; 17-OHP; 17-P; Chemistry; Hydroxyproges; Hydroxyprogstron; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR",17OHP SerPl LC/MS/MS-mCnc,Both,,,ug/dL,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma by LC/MS/MS,ug/dL,,,,0,0,,,,,,2.81,,17-Hydroxyprogesterone LC/MS/MS [Mass/Vol]
109095-0,17-Hydroxyprogesterone,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,"17-alpha-hydroxyprogesterone; 17-Hydroxypregn-4-en-3,20-dione; 17-hydroxy-progest; 17-OH Progesterone; 17OHP; 17-OHP; 17-P; Hydroxyproges; Hydroxyprogstron; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR",17OHP Msmt SerPl,Order,,,,17-Hydroxyprogesterone [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,17-Hydroxyprogesterone [Measurement]
10964-5,17-Hydroxyprogesterone^15M post 250 ug corticotropin IM,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,"15M p 250 ug ACTH; 15M p 250 ug ACTH IM; 17-alpha-hydroxyprogesterone; 17-Hydroxypregn-4-en-3,20-dione; 17-hydroxy-progest; 17-OH Progesterone; 17OHP; 17-OHP; 17-P; ACTH; Adrenocorticotrophic hormone; Adrenocorticotropin; After; c206; c74; CHEMISTRY.CHALLENGE TESTING; Cortrosyn; Endocrine; Endocrinology; Genetics; Heredity; Heritable; Hydroxyproges; Hydroxyprogstron; Inherited; Level; Mass concentration; mcg; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Rc206; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker",17OHP 15M p 250 ug ACTH IM SerPl-mCnc,Observation,,,ng/dL,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --15 minutes post 250 ug corticotropin IM,ng/dL,,,,17073,0,,,,,,1.0j-a,,17-Hydroxyprogesterone 15 Min post 250 ug corticotropin IM [Mass/Vol]
10965-2,17-Hydroxyprogesterone^30M post 250 ug corticotropin IM,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,"17-alpha-hydroxyprogesterone; 17-Hydroxypregn-4-en-3,20-dione; 17-hydroxy-progest; 17-OH Progesterone; 17OHP; 17-OHP; 17-P; 30M p 250 ug ACTH; 30M p 250 ug ACTH IM; ACTH; Adrenocorticotrophic hormone; Adrenocorticotropin; After; c206; c74; CHEMISTRY.CHALLENGE TESTING; Cortrosyn; Endocrine; Endocrinology; Genetics; Heredity; Heritable; Hydroxyproges; Hydroxyprogstron; Inherited; Level; Mass concentration; mcg; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Rc206; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker",17OHP 30M p 250 ug ACTH IM SerPl-mCnc,Observation,,,ng/dL,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --30 minutes post 250 ug corticotropin IM,ng/dL,,,,17933,0,,,,,,1.0j-a,,17-Hydroxyprogesterone 30 Min post 250 ug corticotropin IM [Mass/Vol]
12716-7,17-Hydroxyprogesterone^2nd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,"17-alpha-hydroxyprogesterone; 17-Hydroxypregn-4-en-3,20-dione; 17-hydroxy-progest; 17-OH Progesterone; 17OHP; 17-OHP; 17-P; After; CHEMISTRY.CHALLENGE TESTING; Convalescent; Endocrine; Endocrinology; Genetics; Heredity; Heritable; Hydroxyproges; Hydroxyprogstron; Inherited; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; Post immunization; PST; QNT; Quan; Quant; Quantitative; Random; Second; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp2; sp2 p chal; Spec; SR",17OHP sp2 p chal SerPl-mCnc,Observation,,,ng/dL,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --2nd specimen post XXX challenge,ng/dL,,,,13240,0,,,,,,1.0j-a,,17-Hydroxyprogesterone 2nd specimen post Unsp challenge [Mass/Vol]
12717-5,17-Hydroxyprogesterone^3rd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,"17-alpha-hydroxyprogesterone; 17-Hydroxypregn-4-en-3,20-dione; 17-hydroxy-progest; 17-OH Progesterone; 17OHP; 17-OHP; 17-P; After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Genetics; Heredity; Heritable; Hydroxyproges; Hydroxyprogstron; Inherited; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp3; sp3 p chal; Spec; SR",17OHP sp3 p chal SerPl-mCnc,Observation,,,ng/dL,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --3rd specimen post XXX challenge,ng/dL,,,,14662,0,,,,,,1.0j-a,,17-Hydroxyprogesterone 3rd specimen post Unsp challenge [Mass/Vol]
12718-3,17-Hydroxyprogesterone^4th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,"17-alpha-hydroxyprogesterone; 17-Hydroxypregn-4-en-3,20-dione; 17-hydroxy-progest; 17-OH Progesterone; 17OHP; 17-OHP; 17-P; After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Genetics; Heredity; Heritable; Hydroxyproges; Hydroxyprogstron; Inherited; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp4; sp4 p chal; Spec; SR",17OHP sp4 p chal SerPl-mCnc,Observation,,,ng/dL,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --4th specimen post XXX challenge,ng/dL,,,,14663,0,,,,,,1.0j-a,,17-Hydroxyprogesterone 4th specimen post Unsp challenge [Mass/Vol]
12719-1,17-Hydroxyprogesterone^5th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,"17-alpha-hydroxyprogesterone; 17-Hydroxypregn-4-en-3,20-dione; 17-hydroxy-progest; 17-OH Progesterone; 17OHP; 17-OHP; 17-P; After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Genetics; Heredity; Heritable; Hydroxyproges; Hydroxyprogstron; Inherited; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp5; sp5 p chal; Spec; SR",17OHP sp5 p chal SerPl-mCnc,Observation,,,ng/dL,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --5th specimen post XXX challenge,ng/dL,,,,14664,0,,,,,,1.0j-a,,17-Hydroxyprogesterone 5th specimen post Unsp challenge [Mass/Vol]
