LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
39802-4,"Creatinine dial fld/Creatinine ser_plas",RelRto,Pt,"Dial fld+Ser/Plas",Qn,,CHEM,2.70,ACTIVE,1,Observation,,mol/mol,"Creatinine in dialysis fluid/Creatinine in serum or plasma",mol/mol,2.15,false,"Creatinine dial fld/Creatinine ser_plas:RelRto:Pt:Dial fld+Ser/Plas:Qn:"
62807-3,"PhenX - serum creatinine assay for kidney function protocol 141401",-,Pt,^Patient,-,PhenX,PANEL.PHENX,2.81,ACTIVE,2,,,,"PhenX - serum creatinine assay for kidney function protocol 141401",,2.36,true,"PhenX - serum creatinine assay for kidney function protocol 141401:-:Pt:^Patient:-:PhenX"
70266-2,"Creatinine.periton fld/Creatinine.serum",RelRto,Pt,"Periton fld+Ser/Plas",Qn,,CHEM,2.44,ACTIVE,1,Both,,Ratio,"Creatinine in peritoneal fluid/Creatinine in serum",{ratio},2.40,false,"Creatinine.periton fld/Creatinine.serum:RelRto:Pt:Periton fld+Ser/Plas:Qn:"
70264-7,"Creatinine.plr fld/Creatinine.serum",RelRto,Pt,"Ser/Plas+Plr fld",Qn,,CHEM,2.44,ACTIVE,1,Both,,Ratio,"Creatinine in pleural fluid/Creatinine in serum",{ratio},2.40,false,"Creatinine.plr fld/Creatinine.serum:RelRto:Pt:Ser/Plas+Plr fld:Qn:"
110658-2,Creatinine,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,TRIAL,1,Order,,,"Creatinine [Measurement] in Serum or Plasma",,2.81,false,Creatinine:{Measurement}:-:Ser/Plas:-:
59834-2,"Creatinine reduction ratio",MFr,Pt,Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Observation,,%,"Creatinine reduction ratio in Serum or Plasma",%,2.32,false,"Creatinine reduction ratio:MFr:Pt:Ser/Plas:Qn:"
45066-8,"Creatinine & Glomerular filtration rate.predicted panel",-,Pt,Ser/Plas/Bld,Qn,,PANEL.CHEM,2.73,ACTIVE,1,Order,,,"Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood",,2.17,true,"Creatinine & Glomerular filtration rate.predicted panel:-:Pt:Ser/Plas/Bld:Qn:"
2160-0,Creatinine,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Creatinine [Mass/volume] in Serum or Plasma",mg/dL,1.0,false,Creatinine:MCnc:Pt:Ser/Plas:Qn:
35203-9,Creatinine,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,DISCOURAGED,1,Both,,,"Creatinine [Mass or Moles/volume] in Serum or Plasma",,2.11,false,Creatinine:MSCnc:Pt:Ser/Plas:Qn:
14682-9,Creatinine,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,umol/L,"Creatinine [Moles/volume] in Serum or Plasma",umol/L,1.0k,false,Creatinine:SCnc:Pt:Ser/Plas:Qn:
56997-0,Urea/Creatinine,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,"mg/g creatinine","Urea/Creatinine [Mass Ratio] in Serum or Plasma",mg/g{creat},2.29,false,Urea/Creatinine:MRto:Pt:Ser/Plas:Qn:
74256-9,"HEDIS 2014-2019 Value Set - Serum Creatinine",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,Both,,,"HEDIS 2014-2019 Value Set - Serum Creatinine",,2.46,false,"HEDIS 2014-2019 Value Set - Serum Creatinine:-:Pt:^Patient:-:"
2048-7,Carnitine/Creatinine,MRto,Pt,Ser/Plas,Qn,,CHEM,2.42,DISCOURAGED,1,Observation,,,"Carnitine/Creatinine [Mass Ratio] in Serum or Plasma",,1.0,false,Carnitine/Creatinine:MRto:Pt:Ser/Plas:Qn:
104539-2,Creatine/Creatinine,SRto,Pt,Ser/Plas,Qn,,CHEM,2.78,ACTIVE,1,Both,,"mmol/mol creatinine","Creatine/Creatinine [Molar ratio] in Serum or Plasma",mmol/mol{creat},2.78,false,Creatine/Creatinine:SRto:Pt:Ser/Plas:Qn:
40248-7,Creatinine^baseline,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ACTIVE,1,Observation,,mg/dL,"Creatinine [Mass/volume] in Serum or Plasma --baseline",mg/dL,2.15,false,Creatinine^baseline:MCnc:Pt:Ser/Plas:Qn:
40264-4,Creatinine^baseline,SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,umol/L,"Creatinine [Moles/volume] in Serum or Plasma --baseline",umol/L,2.15,false,Creatinine^baseline:SCnc:Pt:Ser/Plas:Qn:
30154-9,Protein/Creatinine,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,"g/g creatinine","Protein/Creatinine [Mass Ratio] in Serum or Plasma",g/g{creat},2.04,false,Protein/Creatinine:MRto:Pt:Ser/Plas:Qn:
