LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
33857-4,"Sezary cells/Leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Sezary cells/Leukocytes in Blood by Manual count",%,2.09,false,"Sezary cells/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
24104-2,"Lymphoma cells/Leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Lymphoma cells/Leukocytes in Blood by Manual count",%,1.0o,false,"Lymphoma cells/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
51586-6,"Other cells/Leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Other cells/Leukocytes in Blood by Manual count",%,2.24,false,"Other cells/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
33837-6,"Malignant cells/Leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Malignant cells/Leukocytes in Blood by Manual count",%,2.09,false,"Malignant cells/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
51384-6,"Mononuclear cells/Leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Mononuclear cells/Leukocytes in Blood by Manual count",%,2.22,false,"Mononuclear cells/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
79426-3,"Plasma cells/Leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Plasma cells/Leukocytes in Blood by Manual count",%,2.54,false,"Plasma cells/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
14912-0,"Smudge cells/Leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Smudge cells/Leukocytes in Blood by Manual count",%,1.0k,false,"Smudge cells/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
71664-7,"Smudge cells/Leukocytes",NFr.DF,Pt,Bld,Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Smudge cells/Leukocytes [Pure number fraction] in Blood by Manual count",,2.42,false,"Smudge cells/Leukocytes:NFr.DF:Pt:Bld:Qn:Manual count"
44095-8,"Unidentified cells/Leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Unidentified cells/Leukocytes in Blood by Manual count",%,2.17,false,"Unidentified cells/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
44096-6,"Unidentified cells/Leukocytes",NFr,Pt,Bld,Qn,"Automated count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Unidentified cells/Leukocytes in Blood by Automated count",%,2.17,false,"Unidentified cells/Leukocytes:NFr:Pt:Bld:Qn:Automated count"
24106-7,"Hairy cells/Leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Hairy cells/Leukocytes in Blood by Manual count",%,1.0o,false,"Hairy cells/Leukocytes:NFr:Pt:Bld:Qn:Manual count"
58409-4,"Other cells/Leukocytes",NFr,Pt,Bld,Qn,"Automated count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Other cells/Leukocytes in Blood by Automated count",%,2.30,false,"Other cells/Leukocytes:NFr:Pt:Bld:Qn:Automated count"
