LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
10533-8,Propoxyphene+Acetaminophen,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.44,MIN,,ACTIVE,,1,,,,,Y,ACET; Acetamidophenol; Acetaminoph; Acetominophen; Algaphan; APAP; c209; C55; Cosalgesic; Cotonal-65; Darvon; Depronal; Dextrogesic; Dextropropoxyphene; Distalgesic; Dolasan; Doloxene; D-propoxyphene; DRUG/TOXICOLOGY; Drugs; Hepatology; Hydroxyacetanilide; Level; Liver; Mass Concentration; N-(4-Hydroxyphenyl)acetanilide; N-Acetyl-p-aminophenol; Napsalgesic; p-Acetamidophenol; Paracetamol; p-Hydroxyacetanilide; Pl; Plasma; Plsm; Point in time; Propoxyph+APAP; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tylenol; u209,Propoxyph+APAP SerPl-mCnc,Both,,,ng/mL,Propoxyphene+Acetaminophen [Mass/volume] in Serum or Plasma,ng/mL,,,,0,0,,,,,,1.0i,,Propoxyphene+Acetaminophen [Mass/Vol]
110769-7,Acetaminophen,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,ACET; Acetamidophenol; Acetaminoph; Acetominophen; APAP; c209; C55; Hydroxyacetanilide; Lab orders; Msmt; N-(4-Hydroxyphenyl)acetanilide; N-Acetyl-p-aminophenol; p-Acetamidophenol; Paracetamol; p-Hydroxyacetanilide; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tylenol; u209,APAP Msmt SerPl,Order,,,,Acetaminophen [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Acetaminophen [Measurement]
14581-3,Acetaminophen,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,ACET; Acetamidophenol; Acetaminoph; Acetominophen; Addiction; APAP; c209; C55; DRUG/TOXICOLOGY; Drugs; Drugs of abuse; Hepatology; Hydroxyacetanilide; Illicit; Level; Liver; N-(4-Hydroxyphenyl)acetanilide; N-Acetyl-p-aminophenol; p-Acetamidophenol; Paracetamol; p-Hydroxyacetanilide; Pl; Plasma; Plsm; Point in time; PotentialForAbuse; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; Tylenol; u209,APAP SerPl-sCnc,Both,,,umol/L,Acetaminophen [Moles/volume] in Serum or Plasma,umol/L,,,,12196,0,,,,,,1.0k,,Acetaminophen [Moles/Vol]
3297-9,Acetaminophen,PrThr,Pt,Ser/Plas,Ord,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,,ACET; Acetamidophenol; Acetaminoph; Acetominophen; Addiction; APAP; c209; C55; DRUG/TOXICOLOGY; Drugs; Drugs of abuse; Hepatology; Hydroxyacetanilide; Illicit; Liver; N-(4-Hydroxyphenyl)acetanilide; N-Acetyl-p-aminophenol; Ordinal; p-Acetamidophenol; Paracetamol; p-Hydroxyacetanilide; Pl; Plasma; Plsm; Point in time; PotentialForAbuse; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tylenol; u209; UniversalLabOrders,APAP SerPl Ql,Both,,,,Acetaminophen [Presence] in Serum or Plasma,,,,"The Property has been changed from ACnc to reflect the new model for ordinal terms where results are based on a cut-off value.; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",17084,0,,,,,,1.0,,Acetaminophen Ql
3298-7,Acetaminophen,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,ACET; Acetamidophenol; Acetaminoph; Acetominophen; Addiction; APAP; c209; C55; DRUG/TOXICOLOGY; Drugs; Drugs of abuse; Hepatology; Hydroxyacetanilide; Illicit; Level; Liver; Mass Concentration; N-(4-Hydroxyphenyl)acetanilide; N-Acetyl-p-aminophenol; p-Acetamidophenol; Paracetamol; p-Hydroxyacetanilide; Pl; Plasma; Plsm; Point in time; PotentialForAbuse; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tylenol; u209; UniversalLabOrders,APAP SerPl-mCnc,Both,,,ug/mL,Acetaminophen [Mass/volume] in Serum or Plasma,ug/mL,,,,369,0,,,,,,1.0,,Acetaminophen [Mass/Vol]
35595-8,Acetaminophen,MCnc,Pt,Ser/Plas,Qn,Screen,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,N,ACET; Acetamidophenol; Acetaminoph; Acetominophen; Addiction; APAP; c209; C55; DRUG/TOXICOLOGY; Drugs; Drugs of abuse; Hepatology; Hydroxyacetanilide; Illicit; Level; Liver; Mass Concentration; N-(4-Hydroxyphenyl)acetanilide; N-Acetyl-p-aminophenol; p-Acetamidophenol; Paracetamol; p-Hydroxyacetanilide; Pl; Plasma; Plsm; Point in time; PotentialForAbuse; QNT; Quan; Quant; Quantitative; Random; Scn; Scr; Scrn; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tylenol; u209; UniversalLabOrders,APAP SerPl Scn-mCnc,Both,,,ug/mL,Acetaminophen [Mass/volume] in Serum or Plasma by Screen method,ug/mL,,,,14517,0,,,,,,2.13,,Acetaminophen Screen [Mass/Vol]
43719-4,Acetaminophen+oxyCODONE,PrThr,Pt,Ser/Plas,Ord,,DRUG/TOX,2.56,MIN,,ACTIVE,,1,,,,,N,ACET; Acetamidophenol; Acetamin+oxyCODONE; Acetaminoph; Acetominophen; Addiction; APAP; c209; C55; DRUG/TOXICOLOGY; Drugs; Drugs of abuse; Endocet; Hepatology; Hydroxyacetanilide; Illicit; Liver; Lortab; Magnacet; N-(4-Hydroxyphenyl)acetanilide; N-Acetyl-p-aminophenol; Narvox; Ordinal; OxyContin; p-Acetamidophenol; Paracetamol; Percocet; Percodan; p-Hydroxyacetanilide; Pl; Plasma; Plsm; Point in time; PotentialForAbuse; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tylenol; u209; Vicodin,Acetamin+oxyCODONE SerPl Ql,Both,,,,Acetaminophen+oxyCODONE [Presence] in Serum or Plasma,,,,"The Property has been changed from ACnc to reflect the new model for ordinal terms where results are based on a cut-off value.; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.17,,Acetaminophen+oxyCODONE Ql
43720-2,Acetaminophen+Codeine,PrThr,Pt,Ser/Plas,Ord,,DRUG/TOX,2.56,MIN,,ACTIVE,,1,,,,,N,ACET; Acetamidophenol; Acetamin+Codeine; Acetaminoph; Acetominophen; APAP; c209; c260; C300; C55; DRUG/TOXICOLOGY; Drugs; Hepatology; Hydroxyacetanilide; Liver; Methylmorphine; Morphine methyl ether; N-(4-Hydroxyphenyl)acetanilide; N-Acetyl-p-aminophenol; Ordinal; p-Acetamidophenol; Paracetamol; p-Hydroxyacetanilide; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tylenol; u209,Acetamin+Codeine SerPl Ql,Both,,,,Acetaminophen+Codeine [Presence] in Serum or Plasma,,,,"The Property has been changed from ACnc to reflect the new model for ordinal terms where results are based on a cut-off value.; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.17,,Acetaminophen+Codeine Ql
6711-6,Acetaminophen Ab.IgE,ACnc,Pt,Ser,Qn,,ALLERGY,2.44,MIN,,ACTIVE,,1,,,,,Y,ABS; Aby; ACET; Acetamidophenol; Acetaminoph; Acetominophen; Allergen; Allergens; ALLERGY TESTING; Antby; Anti; Antibodies; Antibody; APAP; Arbitrary Concentration; Autoantibodies; Autoantibody; c209; C55; Hydroxyacetanilide; Immune globulin E; Immunoglobulin E; N-(4-Hydroxyphenyl)acetanilide; N-Acetyl-p-aminophenol; p-Acetamidophenol; Paracetamol; p-Hydroxyacetanilide; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR; Tylenol; u209,APAP IgE Qn,Both,,,kIU/L,Acetaminophen IgE Ab [Units/volume] in Serum,k[IU]/L,,,,0,0,,,,,,1.0g,,Acetaminophen IgE Qn (S)
70198-7,Acetaminophen,SCnc,Pt,Ser/Plas,Qn,Screen,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,N,ACET; Acetamidophenol; Acetaminoph; Acetominophen; Addiction; APAP; c209; C55; DRUG/TOXICOLOGY; Drugs; Drugs of abuse; Hepatology; Hydroxyacetanilide; Illicit; Level; Liver; N-(4-Hydroxyphenyl)acetanilide; N-Acetyl-p-aminophenol; p-Acetamidophenol; Paracetamol; p-Hydroxyacetanilide; Pl; Plasma; Plsm; Point in time; PotentialForAbuse; QNT; Quan; Quant; Quantitative; Random; Scn; Scr; Scrn; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; Tylenol; u209,APAP SerPl Scn-sCnc,Both,,,umol/L,Acetaminophen [Moles/volume] in Serum or Plasma by Screen method,umol/L,,,,0,0,,,,,,2.40,,Acetaminophen Screen [Moles/Vol]
