LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100738-4,Alanine aminotransferase.macromolecular,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.73,ADD,,ACTIVE,,1,,,,,N,Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; ALT Macro; Chemistry; Glutamic-pyruvic transferase; L-alanine; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGPT; SR,ALT Macro SerPl Ql,Observation,,,,Alanine aminotransferase.macromolecular [Presence] in Serum or Plasma,,,,,0,0,,,,,,2.73,,ALT.macromolecular Ql
110094-0,Alanine aminotransferase,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; Glutamic-pyruvic transferase; Lab orders; L-alanine; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGPT; SR,ALT Msmt SerPl,Order,,,,Alanine aminotransferase [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,ALT [Measurement]
16325-3,Alanine aminotransferase/Aspartate aminotransferase,CRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; Catalytic Concentration Ratio; Catalytic Ratio; CCrto; Chemistry; Enzymatic activity ratio; Glutamic oxaloacetic transaminase; Glutamic-pyruvic transferase; L-alanine; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SGPT; SR,ALT/AST SerPl-cRto,Both,,,U/U,Alanine aminotransferase/Aspartate aminotransferase [Enzymatic activity ratio] in Serum or Plasma,U/U,,,,5662,0,,,,,,1.0l,,ALT/Aspartate aminotransferase [Catalytic ratio]
1742-6,Alanine aminotransferase,CCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; Catalytic Concentration; Chemistry; Glutamic-pyruvic transferase; Hepatology; L-alanine; Liver; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGPT; SR; UniversalLabOrders,ALT SerPl-cCnc,Both,,,arb U/L,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,U/L,,,,24,80,,,,,,1.0,,ALT [Catalytic activity/Vol]
1743-4,Alanine aminotransferase,CCnc,Pt,Ser/Plas,Qn,With P-5'-P,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; Catalytic Concentration; Chemistry; Glutamic-pyruvic transferase; Hepatology; L-alanine; Liver; P prime; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGPT; SR; w P-5'-P,ALT SerPl w P-5'-P-cCnc,Both,,,arb U/L,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,U/L,,,,216,0,,,,,,1.0,,ALT With P-5'-P [Catalytic activity/Vol]
1744-2,Alanine aminotransferase,CCnc,Pt,Ser/Plas,Qn,No addition of P-5'-P,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; Catalytic Concentration; Chemistry; Glutamic-pyruvic transferase; Hepatology; L-alanine; Liver; P prime; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGPT; SR; w/o P-5'-P,ALT SerPl w/o P-5'-P-cCnc,Both,,,arb U/L,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,U/L,,,"Changed Method from 'Without P-5'-P' to 'No addition of P-5'-P' to clarify that no additional P-5'-P is added when running this test, but that any naturally occurring P-5'-P that was already in the patient's serum is not removed.",234,0,,,,,,1.0,,ALT No additional P-5'-P [Catalytic activity/Vol]
1916-6,Aspartate aminotransferase/Alanine aminotransferase,CRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; Catalytic Concentration Ratio; Catalytic Ratio; CCrto; Chemistry; Enzymatic activity ratio; Glutamic oxaloacetic transaminase; Glutamic-pyruvic transferase; L-alanine; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SGPT; SR,AST/ALT SerPl-cRto,Observation,,,U/U,Aspartate aminotransferase/Alanine aminotransferase [Enzymatic activity ratio] in Serum or Plasma,U/U,,,,5462,0,,,,,,1.0,,AST/Alanine aminotransferase [Catalytic ratio]
44785-4,Alanine aminotransferase,CCnc,Stdy^max,Ser/Plas,Qn,No addition of P-5'-P,CHEM,2.68,MIN,,ACTIVE,,1,,,,,N,Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; Catalytic Concentration; Chemistry; Glutamic-pyruvic transferase; Hepatology; L-alanine; Liver; Maximum; P prime; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGPT; SR; Studies; Study; Sutdies; w/o P-5'-P,ALT (Study max) SerPl w/o P-5'-P-cCnc,Observation,,,arb U/L,Alanine aminotransferase [Enzymatic activity/volume] (Maximum value during study) in Serum or Plasma by No addition of P-5'-P,U/L,,,"Changed Method from 'Without P-5'-P' to 'No addition of P-5'-P' to clarify that no additional P-5'-P is added when running this test, but that any naturally occurring P-5'-P that was already in the patient's serum is not removed.",0,0,,,,,,2.17,,ALT No additional P-5'-P (Stdy maximum) [Catalytic activity/Vol]
48134-1,Alanine aminotransferase.macromolecular,CCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; ALT Macro; Catalytic Concentration; Chemistry; Glutamic-pyruvic transferase; Hepatology; L-alanine; Liver; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGPT; SR,ALT Macro SerPl-cCnc,Both,,,arb U/L,Alanine aminotransferase.macromolecular [Enzymatic activity/volume] in Serum or Plasma,U/L,,,,0,0,,,,,,2.21,,ALT.macromolecular [Catalytic activity/Vol]
77144-4,Alanine aminotransferase,CCnc,Pt,Ser/Plas/Bld,Qn,,CHEM,2.68,MIN,,ACTIVE,,1,,,,,,"Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; Blood; Catalytic Concentration; Chemistry; Glutamic-pyruvic transferase; Hepatology; L-alanine; LimitedUseLabOrders; Liver; Pl; PlasBld; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; SerPlBld; Serum; Serum or plasma; Serum, plasma or whole blood; SGPT; SR; WB; Whole blood",ALT SerPlBld-cCnc,Both,,,arb U/L,"Alanine aminotransferase [Enzymatic activity/volume] in Serum, Plasma or Blood",U/L,,,Release 2.68: DefinitionDescription: Moved to Mapping Guidance section.,0,0,,,,,,2.52,,ALT (S/P/Bld) [Catalytic activity/Vol]
