LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
108029-0,Albumin,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Alb; Lab orders; Msmt; Protein.albumin; UA; UR; Urn,Albumin Msmt Ur,Order,,,,Albumin [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Albumin (U) [Measurement]
111467-7,Albumin/Creatinine,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Alb; CR; Crea; Creat; Lab orders; Msmt; Protein.albumin; UA; UCr; UR; Urn,Albumin/Creat Msmt Ur,Order,,,,Albumin/Creatinine [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Albumin/Creatinine (U) [Measurement]
13705-9,Albumin/Creatinine,MRto,24H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Alb; Chemistry; CR; Crea; Creat; Kidney; Mass concentration ratio; Mass ratio; MCRto; Nephrology; Protein.albumin; QNT; Quan; Quant; Quantitative; Renal; UA; UCr; UR; Urn,Albumin/Creat 24h Ur,Both,,,mg/g creatinine,Albumin/Creatinine [Mass Ratio] in 24 hour Urine,mg/g{creat},,,,8552,0,,,,,,1.0k,,Albumin/Creatinine (24H U) [Mass ratio]
13986-5,Albumin/Protein.total,MFr,24H,Urine,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Alb; Albumin fraction; Albumin%; Chemistry; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Kidney; Mass Fraction; Nephrology; Percent; PEUR; PR; Prot; Protein.albumin; QNT; Quan; Quant; Quantitative; Renal; Tot; Totl; TP; UA; UPEP; UR; Urn,Albumin 24h MFr Ur Elph,Observation,,,%,Albumin/Protein.total in 24 hour Urine by Electrophoresis,%,,,,4049,0,,,,,,1.0k,,Albumin Elph (24H U) [Mass fraction]
13992-3,Albumin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alb; Albumin fraction; Albumin%; Chemistry; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Kidney; Mass Fraction; Nephrology; Percent; PEUR; Point in time; PR; Prot; Protein.albumin; QNT; Quan; Quant; Quantitative; Random; Renal; Tot; Totl; TP; UA; UPEP; UR; Urn,Albumin MFr Ur Elph,Observation,,,%,Albumin/Protein.total in Urine by Electrophoresis,%,,,,1822,0,,,,,,1.0k,,Albumin Elph (U) [Mass fraction]
14585-4,Albumin/Creatinine,SRto,Pt,Urine,Qn,,CHEM,2.42,MIN,,ACTIVE,,1,,,,,Y,Alb; Chemistry; CR; Crea; Creat; Kidney; Nephrology; Point in time; Protein.albumin; QNT; Quan; Quant; Quantitative; Random; Renal; Scrto; Substance concentration ratio; Substance ratio; UA; UCr; UR; Urn,Albumin/Creat Ur-sRto,Both,,,mmol/mol creatinine,Albumin/Creatinine [Molar ratio] in Urine,mmol/mol{creat},,,,0,0,,,,,,1.0k,,Albumin/Creatinine (U) [Molar ratio]
1753-3,Albumin,PrThr,Pt,Urine,Ord,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,,Alb; Chemistry; Kidney; Nephrology; Ordinal; Point in time; PR; Protein.albumin; QL; Qual; Qualitative; Random; Renal; Screen; UA; UR; Urn,Albumin Ur Ql,Both,,,,Albumin [Presence] in Urine,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",199,0,,,,,,1.0,,Albumin Ql (U)
1754-1,Albumin,MCnc,Pt,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alb; Chemistry; Kidney; Level; Mass concentration; Nephrology; Point in time; Protein.albumin; QNT; Quan; Quant; Quantitative; Random; Renal; UA; UR; Urn,Albumin Ur-mCnc,Both,,,mg/L;mcg/mL,Albumin [Mass/volume] in Urine,g/dL,,,,272,0,,,,,,1.0,,Albumin (U) [Mass/Vol]
1755-8,Albumin,MRat,24H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Alb; Chemistry; Kidney; Mass Rate; mRate; Nephrology; Protein.albumin; QNT; Quan; Quant; Quantitative; Renal; UA; UR; Urn,Albumin 24h Ur-mRate,Observation,,,mg/24 H,Albumin [Mass/time] in 24 hour Urine,mg/(24.h),,,,3931,0,,,,,,1.0,,Albumin (24H U) [Mass/Time]
1757-4,Albumin renal clearance,VRat,24H,Urine+Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Alb; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; Flow; Kidney; Nephrology; Pl; Plasma; Plsm; Protein.albumin; QNT; Quan; Quant; Quantitative; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UR; Ur+SerPl; Urn; Volume rate; vRate,Albumin Cl 24h Ur+SerPl-vRate,Both,,,mL/min,Albumin renal clearance in 24 hour Urine and Serum or Plasma,mL/min,,,,5125,0,,,,,,1.0,,Albumin renal clearance (24H U+S/P) [Vol/Time]
17819-4,Albumin/Protein.total,MFr,XXX,Urine,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,?Tm; Alb; Albumin fraction; Albumin%; Chemistry; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Kidney; Mass Fraction; Nephrology; Percent; PEUR; PR; Prot; Protein.albumin; QNT; Quan; Quant; Quantitative; Renal; Tot; Totl; TP; UA; UPEP; UR; Urn,Albumin ?Tm MFr Ur Elph,Observation,,,%,Albumin/Protein.total by Electrophoresis in Urine collected for unspecified duration,%,,,,3706,0,,,,,,1.0l,,Albumin Unsp time Elph (U) [Mass fraction]
20621-9,Albumin/Creatinine,MRto,Pt,Urine,SemiQn,Test strip,CHEM,2.82,MAJ,,ACTIVE,,1,,,,,,Alb; Chemistry; CR; Crea; Creat; Dip stick; Dipstick; Kidney; Mass concentration ratio; Mass ratio; MCRto; Nephrology; Point in time; Protein.albumin; Random; Renal; SmQn; UA; UCr; UR; Urn,Albumin/Creat Ur Strip,Both,,,,Albumin/Creatinine [Mass Ratio] in Urine by Test strip,,,,"Release 2.77: SCALE_TYP: Updated the Scale back to Ord as these were inadvertently set to SemiQn during the 2.75 release when we added SemiQn.; Previous Releases: The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",16375,0,,,,,,1.0m,,Albumin/Creatinine Test strip (U) [Mass ratio]
21059-1,Albumin,MCnc,24H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Alb; Chemistry; Kidney; Level; Mass concentration; Nephrology; Protein.albumin; QNT; Quan; Quant; Quantitative; Renal; UA; UR; Urn,Albumin 24h Ur-mCnc,Both,,,mg/dL,Albumin [Mass/volume] in 24 hour Urine,mg/dL,,,,5178,0,,,,,,1.0m,,Albumin (24H U) [Mass/Vol]
29946-1,Albumin,PrThr,24H,Urine,Ord,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,1 day; 24 hours; 24HR; Alb; Chemistry; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Kidney; Nephrology; Ordinal; PR; Protein.albumin; QL; Qual; Qualitative; Renal; Screen; UA; UR; Urn,Albumin 24h Ur Ql Elph,Both,,,,Albumin [Presence] in 24 hour Urine by Electrophoresis,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",4308,0,,,,,,2.04,,Albumin Elph Ql (24H U)
32294-1,Albumin/Creatinine,Ratio,Pt,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Alb; Chemistry; CR; Crea; Creat; Kidney; Nephrology; Point in time; Protein.albumin; QNT; Quan; Quant; Quantitative; Random; Ratios; Renal; Rto; UA; UCr; UR; Urn,Albumin/Creat Ur-Rto,Both,,,mg/mmol creatinine,Albumin/Creatinine [Ratio] in Urine,mg/mmol{creat},,,,3620,0,,,,,,2.07,,Albumin/Creatinine (U) [Ratio]
44293-9,Albumin/Globulin,MRto,Pt,Urine,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Alb; Chemistry; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; GLB; Glob; Glob%; Globul; Globulins; Kidney; Mass concentration ratio; Mass ratio; MCRto; Nephrology; Point in time; Protein.albumin; QNT; Quan; Quant; Quantitative; Random; Renal; UA; UR; Urn,Albumin/Glob Ur Elph,Both,,,ratio,Albumin/Globulin [Mass Ratio] in Urine by Electrophoresis,{ratio},,,,5620,0,,,,,,2.17,,Albumin/Globulin Elph (U) [Mass ratio]
44294-7,Albumin/Globulin,MRto,24H,Urine,Qn,Electrophoresis,CHEM,2.44,MIN,,ACTIVE,,1,,,,,N,1 day; 24 hours; 24HR; Alb; Chemistry; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; GLB; Glob; Glob%; Globul; Globulins; Kidney; Mass concentration ratio; Mass ratio; MCRto; Nephrology; Protein.albumin; QNT; Quan; Quant; Quantitative; Renal; UA; UR; Urn,Albumin/Glob 24h Ur Elph,Both,,,ratio,Albumin/Globulin [Mass Ratio] in 24 hour Urine by Electrophoresis,{ratio},,,,0,0,,,,,,2.17,,Albumin/Globulin Elph (24H U) [Mass ratio]
49002-9,Albumin,MRat,XXX,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,The albumin excretiion in urine is 30 µg/minute.,,,N,?Tm; Alb; Chemistry; Kidney; Mass Rate; mRate; Nephrology; Protein.albumin; QNT; Quan; Quant; Quantitative; Renal; UA; UR; Urn,Albumin ?Tm Ur-mRate,Both,,,,Albumin [Mass/time] in Urine collected for unspecified duration,,,,,9754,0,,,,,,2.21,,Albumin Unsp time (U) [Mass/Time]
50209-6,Albumin^supine,MRat,XXX,Urine,Qn,,CHAL,2.68,MIN,,ACTIVE,,1,,3 µg/minute.,,,N,?Tm; Alb; CHEMISTRY.CHALLENGE TESTING; Kidney; Lying; Mass rate; mRate; Nephrology; Protein.albumin; QNT; Quan; Quant; Quantitative; Renal; UA; UR; Urn,Albumin sup ?Tm Ur-mRate,Both,,,,Albumin [Mass/time] in Urine collected for unspecified duration --supine,,,,Release 2.68:  CLASS: Place supine and standing terms consistently in CHAL class,0,0,,,,,,2.22,,Albumin supine Unsp time (U) [Mass/Time]
50949-7,Albumin,PrThr,Pt,Urine,Ord,Test strip,CHEM,2.77,MAJ,,ACTIVE,,1,,,,,N,Alb; Chemistry; Dip stick; Dipstick; Kidney; Nephrology; Ordinal; Point in time; PR; Protein.albumin; QL; Qual; Qualitative; Random; Renal; Screen; UA; UR; Urn,Albumin Ur Ql Strip,Both,,,,Albumin [Presence] in Urine by Test strip,,,,"Release 2.77: SCALE_TYP: Updated the Scale back to Ord as these were inadvertently set to SemiQn during the 2.75 release when we added SemiQn.; Previous Releases: The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",8534,0,,,,,,2.22,,Albumin Test strip Ql (U)
