LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
103560-9,Aldosterone/Renin,Ratio,Pt,Ser/Plas,Qn,,CHEM,2.77,ADD,,ACTIVE,,1,,,,,N,Angiotensin forming enzyme; Angiotensinogenase; Chemistry; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Ratios; Rto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Aldost/Renin SerPl-Rto,Both,,,{ratio},Aldosterone/Renin [Ratio] in Serum or Plasma,{ratio},,,,0,0,,,,,,2.77,,Aldosterone/Renin [Ratio]
110770-5,Aldosterone,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Aldost Msmt SerPl,Order,,,,Aldosterone [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Aldosterone [Measurement]
13852-9,Aldosterone^1H post 250 ug corticotropin IM,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p 250 ug ACTH; 1h p 250 ug ACTH IM; 60 min; 60 minutes; 60M; 60min; ACTH; Adrenocorticotrophic hormone; Adrenocorticotropin; After; c206; c74; CHEMISTRY.CHALLENGE TESTING; Cortrosyn; Endocrine; Endocrinology; Level; Mass concentration; mcg; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Rc206; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,Aldost 1h p 250 ug ACTH IM SerPl-mCnc,Observation,,,ng/dL,Aldosterone [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IM,ng/dL,,,,19743,0,,,,,,1.0k,,Aldosterone 1 Hr post 250 ug corticotropin IM [Mass/Vol]
13853-7,Aldosterone^1H post 25 mg captopril PO,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,MIN,,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p 25 mg Cpl PO; 60 min; 60 minutes; 60M; 60min; After; c246; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Level; Mass concentration; p 25 mg Cpl PO; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Aldost 1h p 25 mg Cpl PO SerPl-mCnc,Observation,,,ng/dL,Aldosterone [Mass/volume] in Serum or Plasma --1 hour post 25 mg captopril PO,ng/dL,,,,0,0,,,,,,1.0k,,Aldosterone 1 Hr post 25 mg captopril PO [Mass/Vol]
13854-5,Aldosterone^2H post 25 mg captopril PO,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,MIN,,ACTIVE,,1,,,,,Y,120 min; 120 minutes; 120min; 2 hours; 2h p 25 mg Cpl PO; After; c246; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Level; Mass concentration; p 25 mg Cpl PO; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Aldost 2h p 25 mg Cpl PO SerPl-mCnc,Observation,,,ng/dL,Aldosterone [Mass/volume] in Serum or Plasma --2 hours post 25 mg captopril PO,ng/dL,,,,0,0,,,,,,1.0k,,Aldosterone 2 Hr post 25 mg captopril PO [Mass/Vol]
13855-2,Aldosterone^30M post 250 ug corticotropin IM,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,MIN,,ACTIVE,,1,,,,,Y,30M p 250 ug ACTH; 30M p 250 ug ACTH IM; ACTH; Adrenocorticotrophic hormone; Adrenocorticotropin; After; c206; c74; CHEMISTRY.CHALLENGE TESTING; Cortrosyn; Endocrine; Endocrinology; Level; Mass concentration; mcg; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Rc206; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,Aldost 30M p 250 ug ACTH IM SerPl-mCnc,Observation,,,ng/dL,Aldosterone [Mass/volume] in Serum or Plasma --30 minutes post 250 ug corticotropin IM,ng/dL,,,,0,0,,,,,,1.0k,,Aldosterone 30 Min post 250 ug corticotropin IM [Mass/Vol]
14586-2,Aldosterone,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Endocrine; Endocrinology; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Aldost SerPl-sCnc,Both,,,pmol/L,Aldosterone [Moles/volume] in Serum or Plasma,pmol/L,,,,10670,0,,,,,,1.0k,,Aldosterone [Moles/Vol]
15011-0,Aldosterone^supine,SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,MIN,,ACTIVE,,1,,,,,Y,CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Level; Lying; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Aldost sup SerPl-sCnc,Both,,,pmol/L,Aldosterone [Moles/volume] in Serum or Plasma --supine,pmol/L,,,Release 2.68:  CLASS: Place supine and standing terms consistently in CHAL class,0,0,,,,,,1.0k,,Aldosterone supine [Moles/Vol]
15012-8,Aldosterone^upright,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Endocrine; Endocrinology; Erect; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Standing; Substance concentration; Upr; Uprt,Aldost upr SerPl-sCnc,Both,,,pmol/L,Aldosterone [Moles/volume] in Serum or Plasma --upright,pmol/L,,,,0,0,,,,,,1.0k,,Aldosterone upright [Moles/Vol]
15345-2,Aldosterone^1H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p chal; 60 min; 60 minutes; 60M; 60min; After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Aldost 1h p chal SerPl-mCnc,Both,,,ng/dL,Aldosterone [Mass/volume] in Serum or Plasma --1 hour post XXX challenge,ng/dL,,,,13610,0,,,,,,1.0k,,Aldosterone 1 Hr post Unsp challenge [Mass/Vol]
15346-0,Aldosterone^30M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,MIN,,ACTIVE,,1,,,,,Y,30M p chal; After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Aldost 30M p chal SerPl-mCnc,Observation,,,ng/dL,Aldosterone [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge,ng/dL,,,,0,0,,,,,,1.0k,,Aldosterone 30 Min post Unsp challenge [Mass/Vol]
16147-1,Aldosterone^3rd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp3; sp3 p chal; Spec; SR,Aldost sp3 p chal SerPl-mCnc,Observation,,,ng/dL,Aldosterone [Mass/volume] in Serum or Plasma --3rd specimen post XXX challenge,ng/dL,,,,15750,0,,,,,,1.0l,,Aldosterone 3rd specimen post Unsp challenge [Mass/Vol]
16148-9,Aldosterone^4th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp4; sp4 p chal; Spec; SR,Aldost sp4 p chal SerPl-mCnc,Observation,,,ng/dL,Aldosterone [Mass/volume] in Serum or Plasma --4th specimen post XXX challenge,ng/dL,,,,16712,0,,,,,,1.0l,,Aldosterone 4th specimen post Unsp challenge [Mass/Vol]
16149-7,Aldosterone^5th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp5; sp5 p chal; Spec; SR,Aldost sp5 p chal SerPl-mCnc,Observation,,,ng/dL,Aldosterone [Mass/volume] in Serum or Plasma --5th specimen post XXX challenge,ng/dL,,,,0,0,,,,,,1.0l,,Aldosterone 5th specimen post Unsp challenge [Mass/Vol]
16329-5,Aldosterone^6th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp6; sp6 p chal; Spec; SR,Aldost sp6 p chal SerPl-mCnc,Observation,,,ng/dL,Aldosterone [Mass/volume] in Serum or Plasma --6th specimen post XXX challenge,ng/dL,,,,0,0,,,,,,1.0l,,Aldosterone 6th specimen post Unsp challenge [Mass/Vol]
16330-3,Aldosterone^7th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,^7th spec pst XXX chal; After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp7; sp7 p chal; Spec; SR,Aldost sp7 p chal SerPl-mCnc,Observation,,,ng/dL,Aldosterone [Mass/volume] in Serum or Plasma --7th specimen post XXX challenge,ng/dL,,,,0,0,,,,,,1.0l,,Aldosterone 7th specimen post Unsp challenge [Mass/Vol]
