LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100737-6,Alkaline phosphatase.macromolecular,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.73,ADD,,ACTIVE,,1,,,,,N,Alk; Alk phos; Alkaline phos; Alkaline phosphatase.total; ALKP; ALP; AP; AP Macro; Chemistry; Ordinal; Phos; Phosphtase; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,AP Macro SerPl Ql,Observation,,,,Alkaline phosphatase.macromolecular [Presence] in Serum or Plasma,,,,,0,0,,,,,,2.73,,Alkaline phosphatase.macromolecular Ql
109088-5,Alkaline phosphatase.bone,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Alk; Alk phos; Alkaline phos; Alkaline phosphatase.total; ALKP; ALP; ALP Bone; ALP-2; AP; B-ALP; BALPase; BAP; Lab orders; Msmt; Phos; Phosphtase; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,ALP Bone Msmt SerPl,Order,,,,Alkaline phosphatase.bone [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,ALP Bone [Measurement]
12805-8,Alkaline phosphatase isoenzyme,ACnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alk; Alk phos; Alkaline phos; Alkaline phosphatase.total; ALKP; ALP; ALP Iso; AP; Arbitrary concentration; Chemistry; Hepatology; ISO; Isoen; Isoenzymes; Liver; Phos; Phosphtase; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,ALP Iso SerPl-aCnc,Both,,,arb U/L,Alkaline phosphatase isoenzyme [Units/volume] in Serum or Plasma,[arb'U]/L,,,,1391,0,,,,,,1.0j-a,,ALP Iso Qn
12806-6,Alkaline phosphatase.lung,CCnc,Pt,Ser/Plas,Qn,,CHEM,2.68,MIN,,ACTIVE,,1,,,,,Y,Alk; Alk phos; Alkaline phos; Alkaline phosphatase.pulmonary; Alkaline phosphatase.total; ALKP; ALP; ALP Lung; AP; Catalytic Concentration; Chemistry; Phos; Phosphtase; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,ALP Lung SerPl-cCnc,Observation,,,arb U/L,Alkaline phosphatase.lung [Enzymatic activity/volume] in Serum or Plasma,U/L,,,,0,0,,,,,,1.0j-a,,ALP Lung [Catalytic activity/Vol]
13874-3,Alkaline phosphatase.liver 1,CCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alk; Alk phos; Alkaline phos; Alkaline phosphatase.total; ALKP; ALP; ALP Liver; ALP Liver 1; ALP-1; AP; Catalytic Concentration; Chemistry; Hepatology; i; Liver; Phos; Phosphtase; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,ALP Liver 1 SerPl-cCnc,Observation,,,arb U/L,Alkaline phosphatase.liver 1 [Enzymatic activity/volume] in Serum or Plasma,U/L,,,,2902,0,,,,,,1.0k,,ALP Liver 1 [Catalytic activity/Vol]
13875-0,Alkaline phosphatase.liver 2,CCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alk; Alk phos; Alkaline phos; Alkaline phosphatase.total; ALKP; ALP; ALP Liver; ALP Liver 2; ALP-1; AP; Catalytic Concentration; Chemistry; Hepatology; II; Liver; Phos; Phosphtase; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,ALP Liver 2 SerPl-cCnc,Observation,,,arb U/L,Alkaline phosphatase.liver 2 [Enzymatic activity/volume] in Serum or Plasma,U/L,,,,2903,0,,,,,,1.0k,,ALP Liver 2 [Catalytic activity/Vol]
14588-8,Alkaline phosphatase isoenzymes,Imp,Pt,Ser/Plas,Nom,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,,Alk; Alk phos; Alkaline phos; Alkaline phosphatase.total; ALKP; ALP; ALP Isos; AP; Chemistry; Hepatology; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; ISO; Isoen; Isoenzyme; Liver; Nominal; Phos; Phosphtase; Pl; Plasma; Plsm; Point in time; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,ALP Isos SerPl-Imp,Observation,,,,Alkaline phosphatase isoenzymes [Interpretation] in Serum or Plasma,,,,,8896,0,,,,,,1.0k,,ALP Isos [Interp]
15013-6,Alkaline phosphatase.bone/Alkaline phosphatase.total,CFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alk; Alk phos; Alkaline phos; Alkaline phosphatase.total; ALKP; ALP; ALP Bone; ALP-2; AP; B-ALP; BALPase; BAP; Catalytic Fraction; Chemistry; Percent; Phos; Phosphtase; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,ALP Bone CFr SerPl,Observation,,,%,Alkaline phosphatase.bone/Alkaline phosphatase.total in Serum or Plasma,%,,,,2320,0,,,,,,1.0k,,ALP Bone [Catalytic fraction]
15014-4,Alkaline phosphatase.intestinal/Alkaline phosphatase.total,CFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alk; Alk phos; Alkaline phos; Alkaline phosphatase.GI; Alkaline phosphatase.total; ALKP; ALP; ALP Intest; ALP-3; ALPI; AP; Catalytic Fraction; Chemistry; IAP; Intest; Intestine; Percent; Phos; Phosphtase; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,ALP Intest CFr SerPl,Observation,,,%,Alkaline phosphatase.intestinal/Alkaline phosphatase.total in Serum or Plasma,%,,,,2457,0,,,,,,1.0k,,ALP Intest [Catalytic fraction]
15015-1,Alkaline phosphatase.liver/Alkaline phosphatase.total,CFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alk; Alk phos; Alkaline phos; Alkaline phosphatase.total; ALKP; ALP; ALP Liver; ALP-1; AP; Catalytic Fraction; Chemistry; Hepatology; Liver; Percent; Phos; Phosphtase; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,ALP Liver CFr SerPl,Observation,,,%,Alkaline phosphatase.liver/Alkaline phosphatase.total in Serum or Plasma,%,,,,3319,0,,,,,,1.0k,,ALP Liver [Catalytic fraction]
