LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
109094-3,Alpha-1-Fetoprotein.tumor marker,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,A1; AFP; AFP-TM; Alfa; Alpha fetoprotein; Alphafetoprotein; Feto; i; Lab orders; Mark; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,AFP-TM Msmt SerPl,Order,,,,Alpha-1-fetoprotein.tumor marker [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,AFP.tumor marker [Measurement]
111004-8,Alpha-1-Fetoprotein,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,A1; AFP; Alfa; Alpha fetoprotein; Alphafetoprotein; Feto; i; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,AFP Msmt SerPl,Order,,,,Alpha-1-Fetoprotein [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,AFP [Measurement]
1834-1,Alpha-1-Fetoprotein,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,A1; AFP; Alfa; Alpha fetoprotein; Alphafetoprotein; Chemistry; Feto; i; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker; UniversalLabOrders,AFP SerPl-mCnc,Both,,,ug/L;ng/mL,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,ng/mL,,,,502,203,,,,,,1.0,,AFP [Mass/Vol]
19176-7,Alpha-1-Fetoprotein,ACnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,A1; AFP; Alfa; Alpha fetoprotein; Alphafetoprotein; Arbitrary concentration; Chemistry; Feto; i; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,AFP SerPl-aCnc,Both,,,arb U/mL,Alpha-1-Fetoprotein [Units/volume] in Serum or Plasma,[IU]/mL,,,,2439,0,,,,,,1.0l,,AFP Qn
19177-5,Alpha-1-Fetoprotein,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.40,MIN,,ACTIVE,,1,,,,,Y,A1; AFP; Alfa; Alpha fetoprotein; Alphafetoprotein; Chemistry; Feto; i; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; Tumor marker,AFP SerPl-sCnc,Both,,,umol/L,Alpha-1-Fetoprotein [Moles/volume] in Serum or Plasma,umol/L,,,,0,0,,,,,,1.0l,,AFP [Moles/Vol]
20450-3,Alpha-1-Fetoprotein,MoM,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,A1; AFP; Alfa; Alpha fetoprotein; Alphafetoprotein; Chemistry; Feto; i; MoM; Multiple of the median; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,AFP MoM SerPl,Observation,,,M.o.M,Alpha-1-Fetoprotein [Multiple of the median] in Serum or Plasma,{M.o.M},,,,1766,0,,,,,,1.0m,,AFP [MoM]
23811-3,Alpha-1-Fetoprotein^^adjusted,MoM,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,A1; adj; AFP; Alfa; Alpha fetoprotein; Alphafetoprotein; Chemistry; Feto; i; MoM; Multiple of the median; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,AFP adj MoM SerPl,Observation,,,M.o.M,Alpha-1-Fetoprotein [Multiple of the median] adjusted in Serum or Plasma,{M.o.M},,,,1615,0,,,,,,1.0n,,AFP adjusted [MoM]
23812-1,Alpha-1-Fetoprotein^^unadjusted,MoM,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,DISCOURAGED,,1,,,,,Y,A1; AFP; Alfa; Alpha fetoprotein; Alphafetoprotein; Chemistry; Feto; i; MoM; Multiple of the median; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,AFP unadj MoM SerPl,Observation,,,M.o.M,Alpha-1-Fetoprotein [Multiple of the median] unadjusted in Serum or Plasma,{M.o.M},,This term really has the same meaning as 20450-3,,11048,0,,,,,,1.0n,,AFP unadjusted [MoM]
31993-9,Alpha-1-Fetoprotein,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,A1; AFP; Alfa; Alpha fetoprotein; Alphafetoprotein; Chemistry; Feto; i; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,AFP SerPl Ql,Both,,,,Alpha-1-Fetoprotein [Presence] in Serum or Plasma,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",8401,0,,,,,,2.07,,AFP Ql
41274-2,Alpha-1-Fetoprotein interpretation,Imp,Pt,Ser/Plas,Nom,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,A1; AFP; AFP Interp; Alfa; Alpha fetoprotein; Alphafetoprotein; Chemistry; Feto; i; Impression; Impression/interpretation of study; Impressions; Interp; Interpret; Interpretation; Interpt; Intrp; Nominal; Pl; Plasma; Plsm; Point in time; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,AFP Interp SerPl-Imp,Observation,,,,Alpha-1-Fetoprotein interpretation in Serum or Plasma,,,,,1729,0,,,,,,2.15,,AFP interpretation [Interp]
