LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100740-0,Amylase.macromolecular,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.73,ADD,,ACTIVE,,1,,,,,N,Alpha amylase; Ams; Amyl; Amylase Macro; Chemistry; Diastase; k87; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Amylase Macro SerPl Ql,Observation,,,-,Amylase.macromolecular [Presence] in Serum or Plasma,,,,,0,0,,,,,,2.73,,Amylase.macromolecular Ql
103009-7,Amylase Ab.IgE,PrThr,Pt,Ser,SemiQn,RAST,ALLERGY,2.75,ADD,,ACTIVE,,1,,,,,N,ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Alpha amylase; Ams; Amyl; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Diastase; Immune globulin E; Immunoglobulin E; k87; Point in time; PR; Radioallergosorbent test; Random; Serum; SmQn; SR,Amylase IgE RAST,Observation,,,,Amylase IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),,,,,16669,0,,,,,,2.75,,Amylase IgE RAST (S) [Presence]
14589-6,Amylase isoenzymes,Imp,Pt,Ser/Plas,Nom,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,,Alpha amylase; Ams; Amyl; Amylase Isos; Chemistry; Diastase; Gastro; Gastroenterology; GI; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; ISO; Isoamy; Isoamylase; Isoen; Isoenzyme; k87; Nominal; Pl; Plasma; Plsm; Point in time; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Amylase Isos SerPl-Imp,Observation,,,,Amylase isoenzymes [Interpretation] in Serum or Plasma,,,,,16091,0,,,,,,1.0k,,Amylase isoenzymes [Interp]
15020-1,Amylase.P1/Amylase.total,CFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alpha amylase; Ams; Amyl; Amylase P1; Catalytic Fraction; Chemistry; Diastase; Gastro; Gastroenterology; GI; k87; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,Amylase P1 CFr SerPl,Observation,,,%,Amylase.P1/Amylase.total in Serum or Plasma,%,,,,12205,0,,,,,,1.0k,,Amylase.P1 [Catalytic fraction]
15021-9,Amylase.P2/Amylase.total,CFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alpha amylase; Ams; Amyl; Amylase P2; Catalytic Fraction; Chemistry; Diastase; Gastro; Gastroenterology; GI; k87; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,Amylase P2 CFr SerPl,Observation,,,%,Amylase.P2/Amylase.total in Serum or Plasma,%,,,,12206,0,,,,,,1.0k,,Amylase.P2 [Catalytic fraction]
15022-7,Amylase.P3/Amylase.total,CFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alpha amylase; Ams; Amyl; Amylase P3; Catalytic Fraction; Chemistry; Diastase; Gastro; Gastroenterology; GI; k87; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,Amylase P3 CFr SerPl,Observation,,,%,Amylase.P3/Amylase.total in Serum or Plasma,%,,,,12207,0,,,,,,1.0k,,Amylase.P3 [Catalytic fraction]
15023-5,Amylase.S1/Amylase.total,CFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alpha amylase; Ams; Amyl; Amylase S1; Catalytic Fraction; Chemistry; Diastase; Gastro; Gastroenterology; GI; k87; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,Amylase S1 CFr SerPl,Observation,,,%,Amylase S1/Amylase.total in Serum or Plasma,%,,,,12208,0,,,,,,1.0k,,Amylase S1 [Catalytic fraction]
15024-3,Amylase.S2/Amylase.total,CFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alpha amylase; Ams; Amyl; Amylase S2; Catalytic Fraction; Chemistry; Diastase; Gastro; Gastroenterology; GI; k87; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,Amylase S2 CFr SerPl,Observation,,,%,Amylase S2/Amylase.total in Serum or Plasma,%,,,,12209,0,,,,,,1.0k,,Amylase S2 [Catalytic fraction]
15025-0,Amylase.S3/Amylase.total,CFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alpha amylase; Ams; Amyl; Amylase S3; Catalytic Fraction; Chemistry; Diastase; Gastro; Gastroenterology; GI; k87; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,Amylase S3 CFr SerPl,Observation,,,%,Amylase S3/Amylase.total in Serum or Plasma,%,,,,12210,0,,,,,,1.0k,,Amylase S3 [Catalytic fraction]
15238-9,(Amylase+Glycine max+Sitophilus granarius+Triticum sativum) Ab.IgE,PrThr,Pt,Ser,Ord,Multidisk,ALLERGY,2.65,MIN,,ACTIVE,,1,,,,,,ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Allerscan; Alpha amylase; Ams; Amyl; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Diastase; f014; f14; Gly; Grain Weevel; Grain weevil; i202; Immune globulin E; Immunoglobulin E; k87; Largest; Maximal; Maximum; Occup Allerg Mix4; Ordinal; pax4; Peak; Point in time; PR; QL; Qual; Qualitative; Random; Ri202; Screen; Serum; Soja hispida; Soy bean; Soya bean; Soyabean; Soybean; SR,Occup Allerg Mix4 IgE Ql,Both,,,,Occupational Allergen Mix 4 (Amylase+Soybean+Grain weevel+Wheat) IgE Ab [Presence] in Serum by Multidisk,,,,"The Property has been changed from ACnc to Threshold to reflect the new model for ordinal terms where results are based on a cut-off value.; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.; Updated Answer list type from NORMATIVE to EXAMPLE because the Answers in the list (Positive, Negative) are only examples of possible answers and not an exclusive list",0,0,,,,,,1.0k,,Amylase+Soybean+Grain weevel+Wheat IgE Multidisk Ql (S)
