LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
107493-9,Androstenedione,MCnc,Pt,Ser/Plas,Qn,LC/MS/MS,CHEM,2.81,ADD,,ACTIVE,,1,,,,,N,Chemistry; gamma-4-Androstenedione; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Androst SerPl LC/MS/MS-mCnc,Both,,,ug/dL,Androstenedione [Mass/volume] in Serum or Plasma by LC/MS/MS,ug/dL,,,,0,0,,,,,,2.81,,Androstenedione LC/MS/MS [Mass/Vol]
110768-9,Androstenedione,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,gamma-4-Androstenedione; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Androst Msmt SerPl,Order,,,,Androstenedione [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Androstenedione [Measurement]
13856-0,Androstenedione^15M post 250 ug corticotropin IM,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,MIN,,ACTIVE,,1,,,,,Y,15M p 250 ug ACTH; 15M p 250 ug ACTH IM; ACTH; Adrenocorticotrophic hormone; Adrenocorticotropin; After; c206; c74; CHEMISTRY.CHALLENGE TESTING; Cortrosyn; gamma-4-Androstenedione; Level; Mass concentration; mcg; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Rc206; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,Androst 15M p 250 ug ACTH IM SerPl-mCnc,Observation,,,ng/dL,Androstenedione [Mass/volume] in Serum or Plasma --15 minutes post 250 ug corticotropin IM,ng/dL,,,,0,0,,,,,,1.0k,,Androstenedione 15 Min post 250 ug corticotropin IM [Mass/Vol]
13857-8,Androstenedione^1H post 250 ug corticotropin IM,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p 250 ug ACTH; 1h p 250 ug ACTH IM; 60 min; 60 minutes; 60M; 60min; ACTH; Adrenocorticotrophic hormone; Adrenocorticotropin; After; c206; c74; CHEMISTRY.CHALLENGE TESTING; Cortrosyn; gamma-4-Androstenedione; Level; Mass concentration; mcg; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Rc206; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,Androst 1h p 250 ug ACTH IM SerPl-mCnc,Observation,,,ng/dL,Androstenedione [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IM,ng/dL,,,,11617,0,,,,,,1.0k,,Androstenedione 1 Hr post 250 ug corticotropin IM [Mass/Vol]
13858-6,Androstenedione^30M post 250 ug corticotropin IM,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,MIN,,ACTIVE,,1,,,,,Y,30M p 250 ug ACTH; 30M p 250 ug ACTH IM; ACTH; Adrenocorticotrophic hormone; Adrenocorticotropin; After; c206; c74; CHEMISTRY.CHALLENGE TESTING; Cortrosyn; gamma-4-Androstenedione; Level; Mass concentration; mcg; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Rc206; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,Androst 30M p 250 ug ACTH IM SerPl-mCnc,Observation,,,ng/dL,Androstenedione [Mass/volume] in Serum or Plasma --30 minutes post 250 ug corticotropin IM,ng/dL,,,,0,0,,,,,,1.0k,,Androstenedione 30 Min post 250 ug corticotropin IM [Mass/Vol]
14603-5,Androstenedione,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; gamma-4-Androstenedione; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Androst SerPl-sCnc,Both,,,nmol/L,Androstenedione [Moles/volume] in Serum or Plasma,nmol/L,,,,11959,0,,,,,,1.0k,,Androstenedione [Moles/Vol]
16378-2,Androstenedione^2nd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Convalescent; gamma-4-Androstenedione; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; Post immunization; PST; QNT; Quan; Quant; Quantitative; Random; Second; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp2; sp2 p chal; Spec; SR,Androst sp2 p chal SerPl-mCnc,Observation,,,ng/dL,Androstenedione [Mass/volume] in Serum or Plasma --2nd specimen post XXX challenge,ng/dL,,,,18315,0,,,,,,1.0l,,Androstenedione 2nd specimen post Unsp challenge [Mass/Vol]
16379-0,Androstenedione^3rd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; gamma-4-Androstenedione; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp3; sp3 p chal; Spec; SR,Androst sp3 p chal SerPl-mCnc,Observation,,,ng/dL,Androstenedione [Mass/volume] in Serum or Plasma --3rd specimen post XXX challenge,ng/dL,,,,18027,0,,,,,,1.0l,,Androstenedione 3rd specimen post Unsp challenge [Mass/Vol]
16380-8,Androstenedione^4th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; gamma-4-Androstenedione; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp4; sp4 p chal; Spec; SR,Androst sp4 p chal SerPl-mCnc,Observation,,,ng/dL,Androstenedione [Mass/volume] in Serum or Plasma --4th specimen post XXX challenge,ng/dL,,,,0,0,,,,,,1.0l,,Androstenedione 4th specimen post Unsp challenge [Mass/Vol]
16381-6,Androstenedione^5th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; gamma-4-Androstenedione; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp5; sp5 p chal; Spec; SR,Androst sp5 p chal SerPl-mCnc,Observation,,,ng/dL,Androstenedione [Mass/volume] in Serum or Plasma --5th specimen post XXX challenge,ng/dL,,,,0,0,,,,,,1.0l,,Androstenedione 5th specimen post Unsp challenge [Mass/Vol]
