LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
13462-7,Apolipoprotein A-I/Apolipoprotein B,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,APO; Apo A; Apo A-I; Apo B; ApoA1; ApoB; Apolipo; Apolipoprot; Apolipoprotein A1; Apolipoproteins; Cardio; Cardiology; Chemistry; Heart Disease; Mass concentration ratio; Mass ratio; MCRto; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Apo A-I/Apo B SerPl,Observation,,,ratio,Apolipoprotein A-I/Apolipoprotein B [Mass Ratio] in Serum or Plasma,{ratio},,,,7607,0,,,,,,1.0j-a,,Apolipoprotein A-I/Apolipoprotein B [Mass ratio]
1871-3,Apolipoprotein B-100,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,APO; Apo B; Apo B100; ApoB; Apolipo; Apolipoprot; Apolipoproteins; Cardio; Cardiology; Chemistry; Heart Disease; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Apo B100 SerPl-mCnc,Both,,,mg/dL,Apolipoprotein B-100 [Mass/volume] in Serum or Plasma,mg/dL,,,Changed Order_Obs from 'Observation only' to accommodate the current order use cases.,3402,0,,,,,,1.0,,Apolipoprotein B-100 [Mass/Vol]
1872-1,Apolipoprotein B-150,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.40,MIN,,ACTIVE,,1,,,,,Y,APO; Apo B; Apo B150; ApoB; Apolipo; Apolipoprot; Apolipoproteins; Chemistry; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Apo B150 SerPl-mCnc,Observation,,,mg/dL,Apolipoprotein B-150 [Mass/volume] in Serum or Plasma,mg/dL,,,,0,0,,,,,,1.0,,Apolipoprotein B-150 [Mass/Vol]
1873-9,Apolipoprotein B-48,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.40,MIN,,ACTIVE,,1,,,,,Y,APO; Apo B; Apo B48; ApoB; Apolipo; Apolipoprot; Apolipoproteins; Chemistry; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Apo B48 SerPl-mCnc,Observation,,,mg/dL,Apolipoprotein B-48 [Mass/volume] in Serum or Plasma,mg/dL,,,,0,0,,,,,,1.0,,Apolipoprotein B-48 [Mass/Vol]
1874-7,Apolipoprotein B/Apolipoprotein A-I,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,APO; Apo A; Apo A-I; Apo B; ApoA1; ApoB; Apolipo; Apolipoprot; Apolipoprotein A1; Apolipoproteins; Chemistry; Mass concentration ratio; Mass ratio; MCRto; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Apo B/Apo A-I SerPl,Observation,,,Ratio,Apolipoprotein B/Apolipoprotein A-I [Mass Ratio] in Serum or Plasma,{Ratio},,,,4477,0,,,,,,1.0,,Apolipoprotein B/Apolipoprotein A-I [Mass ratio]
1884-6,Apolipoprotein B,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,APO; Apo B; ApoB; Apolipo; Apolipoprot; Apolipoproteins; Chemistry; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Apo B SerPl-mCnc,Both,,,g/L;mg/dL,Apolipoprotein B [Mass/volume] in Serum or Plasma,mg/dL,,,,1664,0,,,,,,1.0,,Apolipoprotein B [Mass/Vol]
44711-0,Cholesterol.in LDL/Apolipoprotein B,MRto,Pt,Ser/Plas,Qn,,CHEM,2.42,MIN,,ACTIVE,,1,,,,,N,APO; Apo B; ApoB; Apolipo; Apolipoprot; Apolipoproteins; Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; Heart Disease; LDLc; LDL-C; Lipid; Low density lipoprotein cholesterol; Low density lipoprotein cholesterols; Mass concentration ratio; Mass ratio; MCRto; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,LDLc/Apo B SerPl,Observation,,,,Cholesterol in LDL/Apolipoprotein B [Mass Ratio] in Serum or Plasma,,,,,0,0,,,,,,2.17,,Cholesterol in LDL/Apolipoprotein B [Mass ratio]
48089-7,Cholesterol/Apolipoprotein B,SRto,Pt,Ser/Plas,Qn,,CHEM,2.42,MIN,,ACTIVE,,1,,,,,N,APO; Apo B; ApoB; Apolipo; Apolipoprot; Apolipoproteins; Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; Heart Disease; Lipid; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Scrto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration ratio; Substance ratio,Cholest/Apo B SerPl-sRto,Observation,,,,Cholesterol/Apolipoprotein B [Molar ratio] in Serum or Plasma,,,,,0,0,,,,,,2.21,,Cholesterol/Apolipoprotein B [Molar ratio]
56036-7,Apolipoprotein B/Cholesterol.in LDL,MRto,Pt,Ser/Plas,Qn,,CHEM,2.44,MIN,,ACTIVE,,1,,,,,N,APO; Apo B; ApoB; Apolipo; Apolipoprot; Apolipoproteins; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; LDLc; LDL-C; Lipid; Low density lipoprotein cholesterol; Low density lipoprotein cholesterols; Mass concentration ratio; Mass ratio; MCRto; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Apo B/LDLc SerPl,Both,,,Ratio,Apolipoprotein B/Cholesterol in LDL [Mass Ratio] in Serum or Plasma,{Ratio},,,,0,0,,,,,,2.29,,Apolipoprotein B/Cholesterol in LDL [Mass ratio]
6685-2,Apolipoprotein B/Apolipoprotein A-I,MCrto,Pt,Ser/Plas,Qn,,CHEM,2.36,DEL,,DEPRECATED,,1,,,,,,APO; Apo A; Apo A-I; Apo B; ApoA1; ApoB; Apolipo; Apolipoprot; Apolipoprotein A1; Apolipoproteins; Chemistry; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Deprecated Apo B/Apo A-I SerPl-mRto,,,,,Deprecated Apolipoprotein B/Apolipoprotein A-I [Mass ratio] in Serum or Plasma,,Duplicate,,,0,0,,,,,,1.0g,,Apolipoprotein B/Apolipoprotein A-I [Mass conc ratio]
