LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100739-2,Aspartate aminotransferase.macromolecular,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.73,ADD,,ACTIVE,,1,,,,,N,Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; AST Macro; Chemistry; Glutamic oxaloacetic transaminase; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SR,AST Macro SerPl Ql,Observation,,,,Aspartate aminotransferase.macromolecular [Presence] in Serum or Plasma,,,,,0,0,,,,,,2.73,,AST.macromolecular Ql
110764-8,Aspartate aminotransferase,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; Glutamic oxaloacetic transaminase; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SR,AST Msmt SerPl,Order,,,,Aspartate aminotransferase [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,AST [Measurement]
16325-3,Alanine aminotransferase/Aspartate aminotransferase,CRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; Catalytic Concentration Ratio; Catalytic Ratio; CCrto; Chemistry; Enzymatic activity ratio; Glutamic oxaloacetic transaminase; Glutamic-pyruvic transferase; L-alanine; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SGPT; SR,ALT/AST SerPl-cRto,Both,,,U/U,Alanine aminotransferase/Aspartate aminotransferase [Enzymatic activity ratio] in Serum or Plasma,U/U,,,,5662,0,,,,,,1.0l,,ALT/Aspartate aminotransferase [Catalytic ratio]
1916-6,Aspartate aminotransferase/Alanine aminotransferase,CRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; Catalytic Concentration Ratio; Catalytic Ratio; CCrto; Chemistry; Enzymatic activity ratio; Glutamic oxaloacetic transaminase; Glutamic-pyruvic transferase; L-alanine; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SGPT; SR,AST/ALT SerPl-cRto,Observation,,,U/U,Aspartate aminotransferase/Alanine aminotransferase [Enzymatic activity ratio] in Serum or Plasma,U/U,,,,5462,0,,,,,,1.0,,AST/Alanine aminotransferase [Catalytic ratio]
1920-8,Aspartate aminotransferase,CCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; Catalytic Concentration; Chemistry; Glutamic oxaloacetic transaminase; Hepatology; Liver; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SR; UniversalLabOrders,AST SerPl-cCnc,Both,,,arb U/L,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,U/L,,,,27,102,,,,,,1.0,,AST [Catalytic activity/Vol]
2325-9,Gamma glutamyl transferase/Aspartate aminotransferase,CRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; Catalytic Concentration Ratio; Catalytic Ratio; CCrto; Chemistry; Enzymatic activity ratio; Gamma glutamyl transpeptidase; Gamma-GTP; GGT; GGTP; Glutamic oxaloacetic transaminase; GT; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SR,GGT/AST SerPl-cRto,Observation,,,,Gamma glutamyl transferase/Aspartate aminotransferase [Enzymatic activity ratio] in Serum or Plasma,,,,,12020,0,,,,,,1.0,,Gamma glutamyl transferase/Aspartate aminotransferase [Catalytic ratio]
27344-1,Aspartate aminotransferase,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,,Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; Chemistry; Glutamic oxaloacetic transaminase; Hepatology; Liver; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SR,AST SerPl Ql,Both,,,,Aspartate aminotransferase [Presence] in Serum or Plasma,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",16027,0,,,,,,2.00,,AST Ql
30239-8,Aspartate aminotransferase,CCnc,Pt,Ser/Plas,Qn,With P-5'-P,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; Catalytic Concentration; Chemistry; Glutamic oxaloacetic transaminase; Hepatology; Liver; P prime; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SR; w P-5'-P,AST SerPl w P-5'-P-cCnc,Both,,,arb U/L,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,U/L,,,,202,0,,,,,,2.04,,AST With P-5'-P [Catalytic activity/Vol]
44786-2,Aspartate aminotransferase,CCnc,Stdy^max,Ser/Plas,Qn,,CHEM,2.68,MIN,,ACTIVE,,1,,,,,N,Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; Catalytic Concentration; Chemistry; Glutamic oxaloacetic transaminase; Hepatology; Liver; Maximum; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SR; Studies; Study; Sutdies,AST (Study max) SerPl-cCnc,Observation,,,arb U/L,Aspartate aminotransferase [Enzymatic activity/volume] (Maximum value during study) in Serum or Plasma,U/L,,,,0,0,,,,,,2.17,,AST (Stdy maximum) [Catalytic activity/Vol]
48136-6,Aspartate aminotransferase.macromolecular,CCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; AST Macro; Catalytic Concentration; Chemistry; Glutamic oxaloacetic transaminase; Hepatology; Liver; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SR,AST Macro SerPl-cCnc,Both,,,arb U/L,Aspartate aminotransferase.macromolecular [Enzymatic activity/volume] in Serum or Plasma,U/L,,,,17601,0,,,,,,2.21,,AST.macromolecular [Catalytic activity/Vol]
