LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
104728-1,Base excess^^standard,SCnc,Pt,BldV,Qn,,CHEM,2.79,DEL,,DEPRECATED,,1,,,,,N,Base ex; BE; Bld ven; Bld venous; Blood - venous; Blood ven; Blood venus; BSE; Chemistry; EXS; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; SBE; std; Substance Concentration; Venous,Deprecated Base excess std BldV-sCnc,Observation,,,mmol/L,Deprecated Base excess standard in Venous blood,mmol/L,Duplicate,,Release 2.79: Status: The concept should have a method of calculated and was created erroneously.  Use 19237-7 instead;,0,0,,,,,,2.78,,Base excess standard (BldV) [Moles/Vol]
104764-6,Base excess,SCnc,Pt,Bld,Qn,,HEM/BC,2.79,DEL,,DEPRECATED,,1,,,,,N,Base ex; BE; Blood; BSE; EXS; HEMATOLOGY/CELL COUNTS; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; Substance concentration; WB; Whole blood,Deprecated Base excess Bld-sCnc,Observation,,,umol/L,Deprecated Base excess in Blood,umol/L,Duplicate,,Release 2.79: LONG_COMMON_NAME: The concept should have a method of calculated and was created erroneously.;,0,0,,,,,,2.78,,Base excess (Bld) [Moles/Vol]
104797-6,Base excess^^standard,SCnc,Pt,BldA,Qn,,CHEM,2.79,DEL,A standard base excess in arterial blood used as a parent code for those with specified methods.,DEPRECATED,,1,,,,,N,ABE; ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Base ex; BE; Blood arterial; BSE; Chemistry; EXS; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; SBE; std; Substance Concentration,Deprecated Base excess std BldA-sCnc,Observation,,,mmol/L,Deprecated Base excess standard in Arterial blood,mmol/L,Duplicate,,Release 2.79: Status: The concept should have a method of calculated and was created erroneously.;,0,0,,,,,,2.78,,Base excess standard (BldA) [Moles/Vol]
104812-3,Base excess,SCnc,Pt,BldCoV,Qn,,CHEM,2.78,ADD,A base excess in venous cord blood used as a parent code for those with pre-coordinated methods.,ACTIVE,,1,,,,,N,Base ex; BE; Bld cord; BSE; Chemistry; Cord BldV; Cord venous blood; EXS; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; Substance concentration,Base excess BldCoV-sCnc,Observation,,,mmol/L,Base excess in Venous cord blood,mmol/L,,,,0,0,,,,,,2.78,,Base excess (BldCoV) [Moles/Vol]
105092-1,Base excess,SCnc,Pt,BldV,Qn,,CHEM,2.79,DEL,,DEPRECATED,,1,,,,,N,Base ex; BE; Bld ven; Bld venous; Blood - venous; Blood ven; Blood venus; BSE; Chemistry; EXS; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; Substance concentration; Venous,Deprecated Base excess BldV-sCnc,Observation,,,mmol/L,Deprecated Base excess in Venous blood,mmol/L,Duplicate,,Release 2.79: SHORTNAME: The concept should have a method of calculated and was created erroneously.;,0,0,,,,,,2.78,,Base excess (BldV) [Moles/Vol]
11555-0,Base excess,SCnc,Pt,Bld,Qn,Calculated,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Base ex; BE; Blood; BSE; Calc; Calculation; Chemistry; EXS; Level; Lung; Point in time; Pulmonary; Pulmonology; QNT; Quan; Quant; Quantitative; Random; Respiratory; Substance Concentration; WB; Whole blood,Base excess Bld Calc-sCnc,Observation,,,mmol/L,Base excess in Blood by calculation,mmol/L,,,,262,0,,,,,,1.0j-a,,Base excess Calc (Bld) [Moles/Vol]
19234-4,Base excess,SCnc,Pt,BldMV,Qn,Calculated,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Base ex; BE; Bld mixed venous; Blood - mixed venous; BSE; Calc; Calculation; Chemistry; EXS; Level; Lung; Point in time; Pulmonary; Pulmonology; QNT; Quan; Quant; Quantitative; Random; Respiratory; Substance Concentration,Base excess BldMV Calc-sCnc,Observation,,,mmol/L,Base excess in Mixed venous blood by calculation,mmol/L,,,,2419,0,,,,,,1.0l,,Base excess Calc (BldMV) [Moles/Vol]
19235-1,Base excess^^standard,SCnc,Pt,BldA,Qn,Calculated,CHEM,2.73,MIN,the base excess of extracellular fluid,ACTIVE,,1,,,,,Y,ABE; ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Base ex; BE; Blood arterial; BSE; Calc; Calculation; Chemistry; EXS; Level; Lung; Point in time; Pulmonary; Pulmonology; QNT; Quan; Quant; Quantitative; Random; Respiratory; SBE; std; Substance Concentration,Base excess std BldA Calc-sCnc,Observation,,,mmol/L,Base excess standard in Arterial blood by calculation,mmol/L,,,,819,0,,,,,,1.0l,,Base excess standard Calc (BldA) [Moles/Vol]
19236-9,Base excess^^standard,SCnc,Pt,BldC,Qn,Calculated,CHEM,2.73,MIN,the base excess of extracellular fluid,ACTIVE,,1,,,,,Y,Base ex; BE; Blood - capillary; BSE; Calc; Calculation; Cap bld; Cap blood; Capillary bld; Capillary blood; Chemistry; EXS; Finger stick; Level; Lung; Point in time; Pulmonary; Pulmonology; QNT; Quan; Quant; Quantitative; Random; Respiratory; SBE; std; Substance Concentration,Base excess std BldC Calc-sCnc,Observation,,,mmol/L,Base excess standard in Capillary blood by calculation,mmol/L,,,,5642,0,,,,,,1.0l,,Base excess standard Calc (BldC) [Moles/Vol]
19237-7,Base excess^^standard,SCnc,Pt,BldV,Qn,Calculated,CHEM,2.73,MIN,the base excess of extracellular fluid,ACTIVE,,1,,,,,Y,Base ex; BE; Bld ven; Bld venous; Blood - venous; Blood ven; Blood venus; BSE; Calc; Calculation; Chemistry; EXS; Level; Lung; Point in time; Pulmonary; Pulmonology; QNT; Quan; Quant; Quantitative; Random; Respiratory; SBE; std; Substance Concentration; Venous,Base excess std BldV Calc-sCnc,Observation,,,mmol/L,Base excess standard in Venous blood by calculation,mmol/L,,,,1060,0,,,,,,1.0l,,Base excess standard Calc (BldV) [Moles/Vol]
