LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
108015-9,Bilirubin,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Bili; Bilirubins; Billirubin; Lab orders; Msmt; TBIL; UA; UR; Urn,Bilirub Msmt Ur,Order,,,,Bilirubin.total [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Bilirubin (U) [Measurement]
1969-5,Bilirubin renal clearance,VRat,24H,Urine+Ser/Plas,Qn,,CHEM,2.66,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Bili; Bilirubins; Billirubin; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; Flow; Kidney; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TBIL; UA; UR; Ur+SerPl; Urn; Volume rate; vRate,Bilirub Cl 24h Ur+SerPl-vRate,Both,,,mL/min,Bilirubin.total renal clearance in 24 hour Urine and Serum or Plasma,mL/min,,,,0,0,,,,,,1.0,,Bilirubin renal clearance (24H U+S/P) [Vol/Time]
1977-8,Bilirubin,PrThr,Pt,Urine,Ord,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,,Bili; Bilirubins; Billirubin; Chemistry; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; TBIL; UA; UniversalLabOrders; UR; Urn,Bilirub Ur Ql,Both,,,,Bilirubin.total [Presence] in Urine,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",201,0,,,,,,1.0,,Bilirubin Ql (U)
1978-6,Bilirubin,MCnc,Pt,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Bili; Bilirubins; Billirubin; Chemistry; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; TBIL; UA; UniversalLabOrders; UR; Urn,Bilirub Ur-mCnc,Both,,,mg/dL,Bilirubin.total [Mass/volume] in Urine,mg/dL,,,,279,0,,,,,,1.0,,Bilirubin (U) [Mass/Vol]
20505-4,Bilirubin,MCnc,Pt,Urine,SemiQn,Test strip,UA,2.75,MAJ,,ACTIVE,,1,,,,,Y,Bili; Bilirubins; Billirubin; Dip stick; Dipstick; Level; Mass concentration; Point in time; Random; SmQn; TBIL; UA; UR; URINALYSIS; Urn,Bilirub Ur Strip-mCnc,Observation,,,mg/dL,Bilirubin.total [Mass/volume] in Urine by Test strip,mg/dL,,,,340,0,,,,,,1.0m,,Bilirubin Test strip (U) [Mass/Vol]
25146-2,Bilirubin crystals,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF,UA,2.70,MIN,,ACTIVE,,1,,,,,Y,#/area; Bili; Bilirub Cry; Bilirubins; Billirubin; Crys; Cryst; Crystal; Kidney; LM; Micro; Micros; Microscopic; Nephrology; Number areic; Point in time; QNT; Quan; Quant; Quantitative; Random; Renal; TBIL; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS,Bilirub Cry #/area UrnS HPF,Observation,,,/HPF,Bilirubin crystals [#/area] in Urine sediment by Microscopy high power field,/[HPF],,,,0,0,,,,,,2.00,,Bilirubin crystals LM.HPF (Urine sed) [#/Area]
33236-1,Bilirubin crystals,PrThr,Pt,Urine,Ord,Computer assisted,UA,2.70,MIN,,ACTIVE,,1,,"None, Few, Moderate, Many, Etc",,,N,Artificial Intelligence; Automated detection; Bili; Bilirub Cry; Bilirubins; Billirubin; Comp Assist; Crys; Cryst; Crystal; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; TBIL; UA; UR; URINALYSIS; Urn,Bilirub Cry Ur Ql Comp Assist,Observation,,,,Bilirubin crystals [Presence] in Urine by Computer assisted method,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.09,,Bilirubin crystals Computer assisted Ql (U)
38442-0,Bilirubin crystals,Naric,Pt,Urine sed,Qn,Microscopy.light.LPF,UA,2.70,MIN,,ACTIVE,,1,,,,,N,#/area; Bili; Bilirub Cry; Bilirubins; Billirubin; Crys; Cryst; Crystal; Kidney; LM; Micro; Micros; Microscopic; Nephrology; Number areic; Point in time; QNT; Quan; Quant; Quantitative; Random; Renal; TBIL; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS,Bilirub Cry #/area UrnS LPF,Observation,,,/lpf,Bilirubin crystals [#/area] in Urine sediment by Microscopy low power field,/[LPF],,,,0,0,,,,,,2.14,,Bilirubin crystals LM.LPF (Urine sed) [#/Area]
41016-7,Bilirubin,SCnc,Pt,Urine,SemiQn,Test strip,UA,2.75,MAJ,,ACTIVE,,1,,,,,N,Bili; Bilirubins; Billirubin; Dip stick; Dipstick; Level; Point in time; Random; SmQn; Substance Concentration; TBIL; UA; UR; URINALYSIS; Urn,Bilirub Ur Strip-sCnc,Both,,,umol/L,Bilirubin.total [Moles/volume] in Urine by Test strip,umol/L,,,,5459,0,,,,,,2.15,,Bilirubin Test strip (U) [Moles/Vol]
44033-9,Bilirubin,PrThr,24H,Urine,Ord,Test strip,UA,2.73,MIN,,ACTIVE,,1,,,,,N,1 day; 24 hours; 24HR; Bili; Bilirubins; Billirubin; Dip stick; Dipstick; Ordinal; PR; QL; Qual; Qualitative; Screen; TBIL; UA; UR; URINALYSIS; Urn,Bilirub 24h Ur Ql Strip,Both,,,,Bilirubin.total [Presence] in 24 hour Urine by Test strip,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",10139,0,,,,,,2.17,,Bilirubin Test strip Ql (24H U)
