LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
108141-3,C peptide^5th specimen,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.81,ADD,,ACTIVE,,1,,,,,N,Chemistry; Connecting peptide of insulin; Level; Mass concentration; Pept; Pl; Plasma; Plsm; Point in time; Pro-insulin c peptide; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp5; Spec; SR,C peptide sp5 SerPl-mCnc,Both,,,mg/dL,C peptide [Mass/volume] in Serum or Plasma --5th specimen,mg/dL,,,,0,0,,,,,,2.81,,C peptide 5th specimen [Mass/Vol]
108142-1,C peptide^4th specimen,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.81,ADD,,ACTIVE,,1,,,,,N,Chemistry; Connecting peptide of insulin; Level; Mass concentration; Pept; Pl; Plasma; Plsm; Point in time; Pro-insulin c peptide; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp4; Spec; SR,C peptide sp4 SerPl-mCnc,Both,,,mg/dL,C peptide [Mass/volume] in Serum or Plasma --4th specimen,mg/dL,,,,0,0,,,,,,2.81,,C peptide spec 4 [Mass/Vol]
108143-9,C peptide^3rd specimen,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.81,ADD,,ACTIVE,,1,,,,,N,Chemistry; Connecting peptide of insulin; Level; Mass concentration; Pept; Pl; Plasma; Plsm; Point in time; Pro-insulin c peptide; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp3; Spec; SR,C peptide sp3 SerPl-mCnc,Both,,,mg/dL,C peptide [Mass/volume] in Serum or Plasma --3rd specimen,mg/dL,,,,0,0,,,,,,2.81,,C peptide spec 3 [Mass/Vol]
108144-7,C peptide^1st specimen,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.81,ADD,,ACTIVE,,1,,,,,N,Acute specimen; Chemistry; Connecting peptide of insulin; First; Level; Mass concentration; Pept; Pl; Plasma; Plsm; Point in time; Pre immunization; Pro-insulin c peptide; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp1; Spec; SR,C peptide sp1 SerPl-mCnc,Both,,,mg/dL,C peptide [Mass/volume] in Serum or Plasma --1st specimen,mg/dL,,,,0,0,,,,,,2.81,,C peptide spec 1 [Mass/Vol]
109075-2,C peptide,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Connecting peptide of insulin; Lab orders; Msmt; Pept; Pl; Plasma; Plsm; Pro-insulin c peptide; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,C peptide Msmt SerPl,Order,,,,C peptide [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,C peptide [Measurement]
13032-8,C peptide^2nd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Connecting peptide of insulin; Convalescent; Level; Mass concentration; p chal; Pept; Pl; Plasma; Plsm; Point in time; Post immunization; Pro-insulin c peptide; PST; QNT; Quan; Quant; Quantitative; Random; Second; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp2; sp2 p chal; Spec; SR,C peptide sp2 p chal SerPl-mCnc,Observation,,,ng/mL,C peptide [Mass/volume] in Serum or Plasma --2nd specimen post XXX challenge,ng/mL,,,,12263,0,,,,,,1.0j-a,,C peptide 2nd specimen post Unsp challenge [Mass/Vol]
13033-6,C peptide^3rd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Connecting peptide of insulin; Level; Mass concentration; p chal; Pept; Pl; Plasma; Plsm; Point in time; Pro-insulin c peptide; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp3; sp3 p chal; Spec; SR,C peptide sp3 p chal SerPl-mCnc,Observation,,,ng/mL,C peptide [Mass/volume] in Serum or Plasma --3rd specimen post XXX challenge,ng/mL,,,,13105,0,,,,,,1.0j-a,,C peptide 3rd specimen post Unsp challenge [Mass/Vol]
13034-4,C peptide^4th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Connecting peptide of insulin; Level; Mass concentration; p chal; Pept; Pl; Plasma; Plsm; Point in time; Pro-insulin c peptide; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp4; sp4 p chal; Spec; SR,C peptide sp4 p chal SerPl-mCnc,Observation,,,ng/mL,C peptide [Mass/volume] in Serum or Plasma --4th specimen post XXX challenge,ng/mL,,,,13501,0,,,,,,1.0j-a,,C peptide 4th specimen post Unsp challenge [Mass/Vol]
13035-1,C peptide^5th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Connecting peptide of insulin; Level; Mass concentration; p chal; Pept; Pl; Plasma; Plsm; Point in time; Pro-insulin c peptide; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp5; sp5 p chal; Spec; SR,C peptide sp5 p chal SerPl-mCnc,Observation,,,ng/mL,C peptide [Mass/volume] in Serum or Plasma --5th specimen post XXX challenge,ng/mL,,,,15244,0,,,,,,1.0j-a,,C peptide 5th specimen post Unsp challenge [Mass/Vol]
13036-9,C peptide^6th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Connecting peptide of insulin; Level; Mass concentration; p chal; Pept; Pl; Plasma; Plsm; Point in time; Pro-insulin c peptide; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp6; sp6 p chal; Spec; SR,C peptide sp6 p chal SerPl-mCnc,Observation,,,ng/mL,C peptide [Mass/volume] in Serum or Plasma --6th specimen post XXX challenge,ng/mL,,,,15245,0,,,,,,1.0j-a,,C peptide 6th specimen post Unsp challenge [Mass/Vol]
