LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
105126-7,C reactive protein,MCnc,Pt,Ser/Plas/Bld,Qn,,CHEM,2.78,ADD,,ACTIVE,,1,,,,,N,"Blood; Chemistry; CRP; Level; Mass concentration; Pl; PlasBld; Plasma; Plsm; Point in time; PR; Prot; QNT; Quan; Quant; Quantitative; Random; Reac; React; SerP; SerPl; SerPlas; SerPlBld; Serum; Serum or plasma; Serum, plasma or whole blood; SR; WB; Whole blood",CRP SerPlBld-mCnc,Both,,,mg/dL,"C reactive protein [Mass/volume] in Serum, Plasma or Blood",mg/dL,,,,0,0,,,,,,2.78,,CRP (S/P/Bld) [Mass/Vol]
106736-2,C reactive protein,MCnc,Pt,Ser/Plas/Bld,Qn,IA.rapid,CHEM,2.79,ADD,,ACTIVE,,1,,,,,N,"Blood; Chemistry; CRP; EIA; ELFA; ELISA; Enzyme immunoassay; IAA; Level; Mass concentration; MEIA; Pl; PlasBld; Plasma; Plsm; Point in time; PR; Prot; QNT; Quan; Quant; Quantitative; Random; Reac; React; SerP; SerPl; SerPlas; SerPlBld; Serum; Serum or plasma; Serum, plasma or whole blood; SR; SUDS; WB; Whole blood",CRP SerPlBld IA.rapid-mCnc,Both,,,mg/L;μg/mL;mg/dL,"C reactive protein [Mass/volume] in Serum, Plasma or Blood by Rapid immunoassay",mg/L;ug/mL;mg/dL,,,,0,0,,,,,,2.79,,CRP IA.rapid (S/P/Bld) [Mass/Vol]
11039-5,C reactive protein,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,,Chemistry; CRP; Ordinal; Pl; Plasma; Plsm; Point in time; PR; Prot; QL; Qual; Qualitative; Random; Reac; React; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,CRP SerPl Ql,Both,,,,C reactive protein [Presence] in Serum or Plasma,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",4489,0,,,,,,1.0j-a,,CRP Ql
111006-3,C reactive protein,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,CRP; Lab orders; Msmt; Pl; Plasma; Plsm; PR; Prot; Reac; React; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,CRP Msmt SerPl,Order,,,,C reactive protein [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,CRP [Measurement]
14634-0,C reactive protein,Titr,Pt,Ser/Plas,SemiQn,,CHEM,2.75,MAJ,,ACTIVE,,1,,,,,Y,Chemistry; CRP; Dilution factor; Dilution Factor (Titer); Pl; Plasma; Plsm; Point in time; PR; Prot; Random; Reac; React; SerP; SerPl; SerPlas; Serum; Serum or plasma; SmQn; SR; Titer; Titered; Titre; Ttr,CRP Titr SerPl,Both,,,titer,C reactive protein [Titer] in Serum or Plasma,{titer},,,,816,0,,,,,,1.0k,,CRP [Titer]
1988-5,C reactive protein,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; CRP; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; PR; Prot; QNT; Quan; Quant; Quantitative; Random; Reac; React; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,CRP SerPl-mCnc,Both,,,mg/L;mcg/mL; mg/dL,C reactive protein [Mass/volume] in Serum or Plasma,mg/L,,,,128,117,,,,,95405-7,1.0,,CRP [Mass/Vol]
30522-7,C reactive protein,MCnc,Pt,Ser/Plas,Qn,High sensitivity,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Cardiac CRP; Cardio; Cardiology; Chemistry; CRP; Heart Disease; HS; hsCRP; hs-CRP; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; PR; Prot; QNT; Quan; Quant; Quantitative; Random; Reac; React; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,CRP SerPl HS-mCnc,Both,,,mcg/mL; mg/dL; mg/L,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,mg/L,,,,473,273,,,,,95405-7,2.04,,CRP High sensitivity method [Mass/Vol]
35648-5,C reactive protein,Quintile,Pt,Ser/Plas,Qn,High sensitivity,CHEM,2.73,MIN,Patient is classified into one of 5 groups based on CRP level.,ACTIVE,,1,,"1,2,3,4,5",,,N,Cardiac CRP; Cardio; Cardiology; Chemistry; CRP; Heart Disease; HS; hsCRP; hs-CRP; Pl; Plasma; Plsm; Point in time; PR; Prot; QNT; Quan; Quant; Quantitative; Random; Reac; React; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,CRP Quint SerPl Qn HS,Observation,,,,C reactive protein [Quintile] in Serum or Plasma by High sensitivity method,,,,,12037,0,,,,,,2.13,,CRP High sensitivity method [Quintile]
76485-2,C reactive protein,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.68,MIN,"This term was created for, but not limited in use to, the cobas C-Reactive Protein Gen.3 test kit.",ACTIVE,,1,,,,,,Chemistry; CRP; Level; Pl; Plasma; Plsm; Point in time; PR; Prot; QNT; Quan; Quant; Quantitative; Random; Reac; React; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,CRP SerPl-sCnc,Both,,,nmol/L,C reactive protein [Moles/volume] in Serum or Plasma,nmol/L,,,,0,0,,,,,95405-7,2.52,,CRP [Moles/Vol]
76486-0,C reactive protein,SCnc,Pt,Ser/Plas,Qn,High sensitivity,CHEM,2.68,MIN,"High sensitivity measurement of CRP may be used to assess the risk of future coronary heart disease, and as an additional independent indicator of recurrent event prognosis in patients with stable coronary disease or acute coronary disease. This term was created for, but not limited in use to, the cobas Cardiac C-Reactive Protein (Latex) High Sensitive test kit.",ACTIVE,,1,,,,,,Cardiac CRP; Cardio; Cardiology; Chemistry; CRP; Heart Disease; HS; hsCRP; hs-CRP; Level; Pl; Plasma; Plsm; Point in time; PR; Prot; QNT; Quan; Quant; Quantitative; Random; Reac; React; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,CRP SerPl HS-sCnc,Both,,,nmol/L,C reactive protein [Moles/volume] in Serum or Plasma by High sensitivity method,nmol/L,,,,0,0,,,,,95405-7,2.52,,CRP High sensitivity method [Moles/Vol]
