LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
108014-2,Calcium,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,TRIAL,1,Order,,,"Calcium [Measurement] in Urine",,2.81,false,Calcium:{Measurement}:-:Urine:-:
29276-3,Calcium,PrThr,Pt,Urine,Ord,,CHEM,2.73,ACTIVE,1,Both,,,"Calcium [Presence] in Urine",,2.03,false,Calcium:PrThr:Pt:Urine:Ord:
110536-0,Calcium/Creatinine,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,TRIAL,1,Order,,,"Calcium/Creatinine [Measurement] in Urine",,2.81,false,Calcium/Creatinine:{Measurement}:-:Urine:-:
17862-4,Calcium,MCnc,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Urine",mg/dL,1.0l,false,Calcium:MCnc:Pt:Urine:Qn:
2004-0,Calcium,SCnc,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Urine",mmol/L,1.0,false,Calcium:SCnc:Pt:Urine:Qn:
35247-6,Calcium,MSCnc,Pt,Urine,Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Calcium [Mass or Moles/volume] in Urine",,2.11,false,Calcium:MSCnc:Pt:Urine:Qn:
35675-8,Calcium,MCnc,XXX,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/L,"Calcium [Mass/volume] in Urine collected for unspecified duration",mg/L,2.13,false,Calcium:MCnc:XXX:Urine:Qn:
71790-0,Calcium,SCnc,XXX,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Urine collected for unspecified duration",mmol/L,2.40,false,Calcium:SCnc:XXX:Urine:Qn:
57335-2,Calcium,MCnc,12H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in 12 hour Urine",mg/dL,2.29,false,Calcium:MCnc:12H:Urine:Qn:
18186-7,Calcium,MRat,12H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/12 H","Calcium [Mass/time] in 12 hour Urine",mg/(12.h),1.0l,false,Calcium:MRat:12H:Urine:Qn:
