LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
101976-9,Voltage-gated calcium channel PQ type binding Ab,MCnc,Pt,Ser,Qn,IA,SERO,2.75,ADD,,ACTIVE,,1,,,,,N,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Bind; Ca; Cal; EIA; ELFA; ELISA; Enzyme immunoassay; IAA; Lamblia intestinalis; LEMS; Level; Mass concentration; MEIA; Point in time; QNT; Quan; Quant; Quantitative; Random; Serology; Serum; SR; SUDS; VDCC; VG; V-G; VGCC; VGCC-P/Q Bind; Voltage-dependent calcium channels,VGCC-P/Q Bind Ab Ser IA-mCnc,Both,,,g/dL,Voltage-gated calcium channel P/Q type binding Ab [Mass/volume] in Serum by Immunoassay,g/dL,,,,0,0,,,,,,2.75,,Voltage-gated calcium channel P/Q type binding Ab IA (S) [Mass/Vol]
105269-5,Fractional excretion of calcium,Ratio,XXX,Urine+Ser/Plas,Qn,,CHEM,2.78,ADD,,ACTIVE,,1,,,,,N,?Tm; Ca; Cal; Chemistry; Fracti excret of Ca; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Ratios; Rto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UR; Ur+SerPl; Urn,Fracti excret of Ca ?Tm Ur+SerPl-Rto,Observation,,,%,Fractional excretion of calcium [Ratio] in Urine and Serum or Plasma collected for unspecified duration,%,,,,0,0,,,,,,2.78,,Fractional excretion of calcium Unsp time (U+S/P) [Ratio]
108758-4,Calcium,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Ca; Cal; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Calcium Msmt SerPl,Order,,,,Calcium [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Calcium [Measurement]
109124-8,Voltage-gated calcium channel PQ type binding Ab,{Measurement},-,Ser,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Bind; Ca; Cal; Lab orders; Lamblia intestinalis; LEMS; Msmt; Serum; SR; VDCC; VG; V-G; VGCC; VGCC-P/Q Bind; Voltage-dependent calcium channels,VGCC-P/Q Bind Ab Msmt Ser,Order,,,,Voltage-gated calcium channel P/Q type binding Ab [Measurement] in Serum,,,,,0,0,,,,,,2.81,,Voltage-gated calcium channel P/Q type binding Ab (S) [Measurement]
109125-5,Voltage-gated calcium channel Ab.IgG,{Measurement},-,Ser,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Ca; Cal; Immune globulin G; Immunoglobulin G; Lab orders; Lamblia intestinalis; LEMS; Msmt; Serum; SR; VDCC; VG; V-G; VGCC; VGCCA; Voltage-dependent calcium channels,VGCC IgG Msmt Ser,Order,,,,Voltage-gated calcium channel IgG Ab [Measurement] in Serum,,,,,0,0,,,,,,2.81,,Voltage-gated calcium channel IgG (S) [Measurement]
111005-5,Calcium.ionized,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Ca; Ca-I; Cal; Calcium active; Calcium free; Coagulation factor I; ICA; Ion; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Ca-I Msmt SerPl,Order,,,,Calcium.ionized [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Calcium.ionized [Measurement]
12180-6,Calcium.ionized,SCnc,Pt,Ser/Plas,Qn,ISE,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Ca; Ca-I; Cal; Calcium active; Calcium free; Chemistry; Coagulation factor I; ICA; Ion; Ion selective membrane electode; Ion selective membrane electrode; Ion-selective electrode; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Ca-I SerPl ISE-sCnc,Both,,,mmol/L,Calcium.ionized [Moles/volume] in Serum or Plasma by Ion-selective membrane electrode (ISE),mmol/L,,,,314,0,,,,,,1.0j-a,,Calcium.ionized ISE [Moles/Vol]
12724-1,Voltage-gated calcium channel Ab.IgG,ACnc,Pt,Ser,Qn,,SERO,2.69,MIN,,ACTIVE,,1,,,,,Y,ABS; Aby; Antby; Anti; Antibodies; Antibody; Arbitrary concentration; Autoantibodies; Autoantibody; Ca; Cal; Immune globulin G; Immunoglobulin G; Lamblia intestinalis; LEMS; Point in time; QNT; Quan; Quant; Quantitative; Random; Serology; Serum; SR; VDCC; VG; V-G; VGCC; VGCCA; Voltage-dependent calcium channels,VGCC IgG Ser-aCnc,Both,,,,Voltage-gated calcium channel IgG Ab [Units/volume] in Serum,[arb'U]/mL,,,,0,0,,,,,,1.0j-a,,Voltage-gated calcium channel IgG Qn (S)
13444-5,Calcium/Albumin,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alb; Ca; Cal; Chemistry; Mass concentration ratio; Mass ratio; MCRto; Pl; Plasma; Plsm; Point in time; Protein.albumin; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Calcium/Alb SerPl,Observation,,,,Calcium/Albumin [Mass Ratio] in Serum or Plasma,,,,,7018,0,,,,,,1.0j-a,,Calcium/Albumin [Mass ratio]
13448-6,Calcium/Osmolality,Ratio,Pt,Ser/Plas,Qn,,CHEM,2.69,MAJ,,ACTIVE,,1,,,,,Y,Ca; Cal; Chemistry; Osmo; Osmol; osmolarity; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Ratios; Rto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Calcium/Osmolality SerPl-Rto,Observation,,,,Calcium/Osmolality [Ratio] in Serum or Plasma,,,,"Release 2.69: PROPERTY: Corrected Property from ""MRto"" because it's a ratio of two measurements with different properties.;",0,0,,,,,,1.0j-a,,Calcium/Osmolality [Ratio]
