LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
110766-3,carBAMazepine,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Carbamazapine; Carbamezapine; Carbazepine; CRBM; Epitol; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tegretol; Teril,carBAMazepine Msmt SerPl,Order,,,,carBAMazepine [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,carBAMazepine [Measurement]
14056-6,"carBAMazepine 10,11-Epoxide.free",MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Carbamazapine; Carbamazepine EP; Carbamazepine EP Free; Carbamazepine metabolite; Carbamezapine; Carbazepine; CRBM; DRUG/TOXICOLOGY; Drugs; Epitol; FR; Level; Mass concentration; Neuro; Neurology; Non-protein bound; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tegretol; Teril,Carbamazepine EP Free SerPl-mCnc,Both,,,ug/mL,"Carbamazepine 10,11-epoxide free [Mass/volume] in Serum or Plasma",ug/mL,,,,11510,0,,,,,,1.0k,,"Carbamazepine 10,11-epoxide free [Mass/Vol]"
14639-9,carBAMazepine,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Carbamazapine; Carbamezapine; Carbazepine; CRBM; DRUG/TOXICOLOGY; Drugs; Epitol; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; Tegretol; Teril,carBAMazepine SerPl-sCnc,Both,,,umol/L,carBAMazepine [Moles/volume] in Serum or Plasma,umol/L,,,,13487,0,,,,,,1.0k,,carBAMazepine [Moles/Vol]
18270-9,"carBAMazepine 10,11-Epoxide",SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.34,MIN,,ACTIVE,,1,,,,,Y,Carbamazapine; Carbamazepine EP; Carbamazepine metabolite; Carbamezapine; Carbazepine; CRBM; DRUG/TOXICOLOGY; Drugs; Epitol; Level; Neuro; Neurology; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; Tegretol; Teril,Carbamazepine EP SerPl-sCnc,Both,,,umol/L,"Carbamazepine 10,11-Epoxide [Moles/volume] in Serum or Plasma",umol/L,,,,0,0,,,,,,1.0l,,"Carbamazepine 10,11-Epoxide [Moles/Vol]"
29147-6,"carBAMazepine 10,11-Epoxide.bound",MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,N,Associated; bnd; Carbamazapine; Carbamazepine EP; Carbamazepine EP Bnd; Carbamazepine metabolite; Carbamezapine; Carbazepine; CRBM; DRUG/TOXICOLOGY; Drugs; Epitol; Level; Mass concentration; Neuro; Neurology; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tegretol; Teril,Carbamazepine EP Bnd SerPl-mCnc,Both,,,ug/mL,"Carbamazepine 10,11-Epoxide.bound [Mass/volume] in Serum or Plasma",ug/mL,,,,12926,0,,,,,,2.03,,"Carbamazepine 10,11-Epoxide.bound [Mass/Vol]"
29148-4,carBAMazepine.bound,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,N,Associated; bnd; Carbamazapine; carBAMazepine Bnd; Carbamezapine; Carbazepine; CRBM; DRUG/TOXICOLOGY; Drugs; Epitol; Level; Mass concentration; Neuro; Neurology; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tegretol; Teril,carBAMazepine Bnd SerPl-mCnc,Both,,,ug/mL,carBAMazepine.bound [Mass/volume] in Serum or Plasma,ug/mL,,,,11890,0,,,,,,2.03,,carBAMazepine.bound [Mass/Vol]
32058-0,carBAMazepine.free,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.70,MIN,,ACTIVE,,1,,,,,N,Carbamazapine; carBAMazepine free; Carbamezapine; Carbazepine; CRBM; DRUG/TOXICOLOGY; Drugs; Epitol; FR; Level; Neuro; Neurology; Non-protein bound; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; Tegretol; Teril,carBAMazepine free SerPl-sCnc,Both,,,umol/L,carBAMazepine free [Moles/volume] in Serum or Plasma,umol/L,,,,0,0,,,,,,2.07,,carBAMazepine free [Moles/Vol]
32852-6,carBAMazepine.free/carBAMazepine.total,MFr,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,N,Carbamazapine; carBAMazepine free; Carbamezapine; Carbazepine; CRBM; DRUG/TOXICOLOGY; Drugs; Epitol; FR; Mass fraction; Neuro; Neurology; Non-protein bound; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tegretol; Teril; Tot; Totl,carBAMazepine free MFr SerPl,Observation,,,%,carBAMazepine free/carBAMazepine.total in Serum or Plasma,%,,,,7584,0,,,,,,2.09,,carBAMazepine free/carBAMazepine.total [Mass fraction]
3431-4,carBAMazepine,PrThr,Pt,Ser/Plas,Ord,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,,Carbamazapine; Carbamezapine; Carbazepine; CRBM; DRUG/TOXICOLOGY; Drugs; Epitol; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tegretol; Teril,carBAMazepine SerPl Ql,Both,,,,carBAMazepine [Presence] in Serum or Plasma,,,,"The Property has been changed from ACnc to reflect the new model for ordinal terms where results are based on a cut-off value.; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",15584,0,,,,,,1.0,,carBAMazepine Ql
3432-2,carBAMazepine,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Carbamazapine; Carbamezapine; Carbazepine; CRBM; DRUG/TOXICOLOGY; Drugs; Epitol; Level; Mass concentration; Neuro; Neurology; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tegretol; Teril; UniversalLabOrders,carBAMazepine SerPl-mCnc,Both,,,ug/mL,carBAMazepine [Mass/volume] in Serum or Plasma,ug/mL,,,,1093,229,,,,,,1.0,,carBAMazepine [Mass/Vol]
