LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
108420-1,Catecholamines/Creatinine,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Cate; Catec; Catech; Catechol; Catecholamine; Catecholamines.total; Catechols; CR; Crea; Creat; Epinephrine+norepinephrine+dopamine; Lab orders; Msmt; UA; UCr; UR; Urn,Catechols/Creat Msmt Ur,Order,,,,Catecholamines/Creatinine [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Catecholamines/Creatinine (U) [Measurement]
110415-7,Catecholamines.free,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Cate; Catec; Catech; Catechol; Catecholamine; Catecholamines.total; Catechols; Epinephrine+norepinephrine+dopamine; FCA; FR; Lab orders; Msmt; Non-protein bound; UA; UR; Urn,FCA Msmt Ur,Order,,,,Catecholamines Free [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Catecholamines Free (U) [Measurement]
11133-6,Catecholamines.free,MCnc,Pt,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Cate; Catec; Catech; Catechol; Catecholamine; Catecholamines.total; Catechols; Chemistry; Epinephrine+norepinephrine+dopamine; FCA; FR; Level; Mass concentration; Non-protein bound; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,FCA Ur-mCnc,Both,,,ug/L,Catecholamines Free [Mass/volume] in Urine,ug/L,,,,13963,0,,,,,,1.0j-a,,Catecholamines Free (U) [Mass/Vol]
111395-0,Catecholamines,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Cate; Catec; Catech; Catechol; Catecholamine; Catecholamines.total; Catechols; Epinephrine+norepinephrine+dopamine; Lab orders; Msmt; UA; UR; Urn,Catechols Msmt Ur,Order,,,,Catecholamines [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Catecholamines (U) [Measurement]
12516-1,Catecholamines^2nd specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.50,MIN,,ACTIVE,,1,,,,,Y,After; Cate; Catec; Catech; Catechol; Catecholamine; Catecholamines.total; Catechols; CHEMISTRY.CHALLENGE TESTING; Convalescent; Epinephrine+norepinephrine+dopamine; Level; Mass concentration; p chal; Point in time; Post immunization; PST; QNT; Quan; Quant; Quantitative; Random; Second; sp2; sp2 p chal; Spec; UA; UR; Urn,Catechols sp2 p chal Ur-mCnc,Observation,,,pg/mL,Catecholamines [Mass/volume] in Urine --2nd specimen post XXX challenge,pg/mL,,,,0,0,,,,,,1.0j-a,,Catecholamines 2nd specimen post Unsp challenge (U) [Mass/Vol]
12517-9,Catecholamines^3rd specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.50,MIN,,ACTIVE,,1,,,,,Y,After; Cate; Catec; Catech; Catechol; Catecholamine; Catecholamines.total; Catechols; CHEMISTRY.CHALLENGE TESTING; Epinephrine+norepinephrine+dopamine; Level; Mass concentration; p chal; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp3; sp3 p chal; Spec; UA; UR; Urn,Catechols sp3 p chal Ur-mCnc,Observation,,,pg/mL,Catecholamines [Mass/volume] in Urine --3rd specimen post XXX challenge,pg/mL,,,,0,0,,,,,,1.0j-a,,Catecholamines 3rd specimen post Unsp challenge (U) [Mass/Vol]
12518-7,Catecholamines^4th specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.50,MIN,,ACTIVE,,1,,,,,Y,After; Cate; Catec; Catech; Catechol; Catecholamine; Catecholamines.total; Catechols; CHEMISTRY.CHALLENGE TESTING; Epinephrine+norepinephrine+dopamine; Level; Mass concentration; p chal; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp4; sp4 p chal; Spec; UA; UR; Urn,Catechols sp4 p chal Ur-mCnc,Observation,,,pg/mL,Catecholamines [Mass/volume] in Urine --4th specimen post XXX challenge,pg/mL,,,,0,0,,,,,,1.0j-a,,Catecholamines 4th specimen post Unsp challenge (U) [Mass/Vol]
12519-5,Catecholamines^5th specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.50,MIN,,ACTIVE,,1,,,,,Y,After; Cate; Catec; Catech; Catechol; Catecholamine; Catecholamines.total; Catechols; CHEMISTRY.CHALLENGE TESTING; Epinephrine+norepinephrine+dopamine; Level; Mass concentration; p chal; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp5; sp5 p chal; Spec; UA; UR; Urn,Catechols sp5 p chal Ur-mCnc,Observation,,,pg/mL,Catecholamines [Mass/volume] in Urine --5th specimen post XXX challenge,pg/mL,,,,0,0,,,,,,1.0j-a,,Catecholamines 5th specimen post Unsp challenge (U) [Mass/Vol]
12520-3,Catecholamines^6th specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.50,MIN,,ACTIVE,,1,,,,,Y,After; Cate; Catec; Catech; Catechol; Catecholamine; Catecholamines.total; Catechols; CHEMISTRY.CHALLENGE TESTING; Epinephrine+norepinephrine+dopamine; Level; Mass concentration; p chal; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp6; sp6 p chal; Spec; UA; UR; Urn,Catechols sp6 p chal Ur-mCnc,Observation,,,pg/mL,Catecholamines [Mass/volume] in Urine --6th specimen post XXX challenge,pg/mL,,,,0,0,,,,,,1.0j-a,,Catecholamines 6th specimen post Unsp challenge (U) [Mass/Vol]
12521-1,Catecholamines^7th specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.50,MIN,,ACTIVE,,1,,,,,Y,^7th spec pst XXX chal; After; Cate; Catec; Catech; Catechol; Catecholamine; Catecholamines.total; Catechols; CHEMISTRY.CHALLENGE TESTING; Epinephrine+norepinephrine+dopamine; Level; Mass concentration; p chal; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp7; sp7 p chal; Spec; UA; UR; Urn,Catechols sp7 p chal Ur-mCnc,Observation,,,pg/mL,Catecholamines [Mass/volume] in Urine --7th specimen post XXX challenge,pg/mL,,,,0,0,,,,,,1.0j-a,,Catecholamines 7th specimen post Unsp challenge (U) [Mass/Vol]
