LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
21197-9,"Cholesterol esters/Cholesterol.total",MFr,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,%,"Cholesterol esters/Cholesterol.total in Serum or Plasma",%,1.0m,false,"Cholesterol esters/Cholesterol.total:MFr:Pt:Ser/Plas:Qn:"
47228-2,"Cholesterol.non HDL/Cholesterol.total",MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,,"Cholesterol non HDL/Cholesterol.total [Mass Ratio] in Serum or Plasma",,2.19,false,"Cholesterol.non HDL/Cholesterol.total:MRto:Pt:Ser/Plas:Qn:"
13459-3,"Cholesterol.in LDL/Cholesterol.total",MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,,"Cholesterol in LDL/Cholesterol.total [Mass Ratio] in Serum or Plasma",,1.0j-a,false,"Cholesterol.in LDL/Cholesterol.total:MRto:Pt:Ser/Plas:Qn:"
2095-8,"Cholesterol.in HDL/Cholesterol.total",MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,ratio,"Cholesterol in HDL/Cholesterol.total [Mass Ratio] in Serum or Plasma",{ratio},1.0,false,"Cholesterol.in HDL/Cholesterol.total:MRto:Pt:Ser/Plas:Qn:"
70200-1,"Cholesterol.in HDL/Cholesterol.total",SRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,mmol/mol,"Cholesterol in HDL/Cholesterol.total [Molar ratio] in Serum or Plasma",mmol/mol,2.40,false,"Cholesterol.in HDL/Cholesterol.total:SRto:Pt:Ser/Plas:Qn:"
74435-9,Cholesterol.non-esterified/Cholesterol.total,SFr,Pt,Ser/Plas,Qn,GC,CHEM,2.46,ACTIVE,1,Observation,,%,"Cholesterol.non-esterified/Cholesterol.total in Serum or Plasma by Gas chromatography",%,2.46,false,Cholesterol.non-esterified/Cholesterol.total:SFr:Pt:Ser/Plas:Qn:GC
9322-9,"Cholesterol.total/Cholesterol.in HDL",Prctl,Pt,Ser/Plas,SemiQn,,CHEM,2.75,ACTIVE,1,Observation,,,"Cholesterol.total/Cholesterol in HDL [Percentile]",,1.0i,false,"Cholesterol.total/Cholesterol.in HDL:Prctl:Pt:Ser/Plas:SemiQn:"
16615-7,"Cholesterol.total/Cholesterol.in LDL",MRto,Pt,Ser/Plas,Qn,,CHEM,2.42,ACTIVE,1,Observation,,,"Cholesterol.total/Cholesterol in LDL [Mass Ratio] in Serum or Plasma",,1.0l,false,"Cholesterol.total/Cholesterol.in LDL:MRto:Pt:Ser/Plas:Qn:"
9830-1,"Cholesterol.total/Cholesterol.in HDL",MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,ratio,"Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma",{ratio},1.0i,false,"Cholesterol.total/Cholesterol.in HDL:MRto:Pt:Ser/Plas:Qn:"
32309-7,"Cholesterol.total/Cholesterol.in HDL",SRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,,"Cholesterol.total/Cholesterol in HDL [Molar ratio] in Serum or Plasma",,2.07,false,"Cholesterol.total/Cholesterol.in HDL:SRto:Pt:Ser/Plas:Qn:"
