LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
2098-2,Cholinesterase,CCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Acylcholine acylhydrolase; BChE; Benzoyl cholinesterase; Benzoylcholinesterase; Butyrylcholine esterase; Catalytic Concentration; Che; Chemistry; Choline esterase II; CHS; Pl; Plasma; Plsm; Point in time; Pseudocho; Pseudocholinesterase; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Cholinesterase SerPl-cCnc,Both,,,U/L; U/mL,Cholinesterase [Enzymatic activity/volume] in Serum or Plasma,U/L,,,,6728,0,,,,,,1.0,,Cholinesterase [Catalytic activity/Vol]
34711-2,Cholinesterase,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.56,MIN,,ACTIVE,,1,,,,,N,Acylcholine acylhydrolase; BChE; Benzoyl cholinesterase; Benzoylcholinesterase; Butyrylcholine esterase; Che; Chemistry; Choline esterase II; CHS; Ordinal; Pl; Plasma; Plsm; Point in time; PR; Pseudocho; Pseudocholinesterase; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Cholinesterase SerPl Ql,Both,,,,Cholinesterase [Presence] in Serum or Plasma,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.11,,Cholinesterase Ql
39354-6,Cholinesterase^dibucaine/Cholinesterase,CFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Acylcholine acylhydrolase; BChE; Benzoyl cholinesterase; Benzoylcholinesterase; Butyrylcholine esterase; Catalytic Fraction; Che; Chemistry; Chincocaine; Choline esterase II; CHS; dibucaine/CHe; Nupercainal; Percent; Pl; Plasma; Plsm; Point in time; Pseudocho; Pseudocholinesterase; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Cholinesterase dibucaine/CHe CFr SerPl,Observation,,,%,Cholinesterase in Serum or Plasma --dibucaine/Cholinesterase,%{inhibition};%,,,Changed component from Cholinesterase.dibucaine inhibited to fit the current LOINC model for challenges,9001,0,,,,,,2.15,,Cholinesterase dibucaine/Cholinesterase [Catalytic fraction]
39355-3,Cholinesterase.fluoride inhibited/Cholinesterase,CFr,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,N,Acylcholine acylhydrolase; BChE; Benzoyl cholinesterase; Benzoylcholinesterase; Butyrylcholine esterase; Catalytic Fraction; CHe; Chemistry; Choline esterase II; CHS; Fl; Fluoride number; Percent; Pl; Plasma; Plsm; Point in time; Pseudocho; Pseudocholinesterase; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Fluoride Inhib/CHe CFr SerPl,Observation,,,%,Cholinesterase.fluoride inhibited/Cholinesterase in Serum or Plasma,%,,,,0,0,,,,,,2.15,,Cholinesterase.fluoride inhibited/Cholinesterase [Catalytic fraction]
39356-1,Cholinesterase.scoline inhibited/Cholinesterase,CFr,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,N,Acylcholine acylhydrolase; BChE; Benzoyl cholinesterase; Benzoylcholinesterase; Butyrylcholine esterase; Catalytic Fraction; CHe; Chemistry; Choline esterase II; CHS; Percent; Pl; Plasma; Plsm; Point in time; Pseudocho; Pseudocholinesterase; QNT; Quan; Quant; Quantitative; Random; Scoline number; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Scoline Inhib/CHe CFr SerPl,Observation,,,%,Cholinesterase.scoline inhibited/Cholinesterase in Serum or Plasma,%,,,,0,0,,,,,,2.15,,Cholinesterase.scoline inhibited/Cholinesterase [Catalytic fraction]
39357-9,Cholinesterase.chloride inhibited/Cholinesterase,CFr,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,N,Acylcholine acylhydrolase; BChE; Benzoyl cholinesterase; Benzoylcholinesterase; Butyrylcholine esterase; Catalytic Fraction; CHe; Chemistry; Chloride number; Choline esterase II; CHS; Cl; Cl-; Percent; Pl; Plasma; Plsm; Point in time; Pseudocho; Pseudocholinesterase; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Chloride Inhib/CHe CFr SerPl,Observation,,,%,Cholinesterase.chloride inhibited/Cholinesterase in Serum or Plasma,%,,,,0,0,,,,,,2.15,,Cholinesterase.chloride inhibited/Cholinesterase [Catalytic fraction]
39358-7,Cholinesterase.RO 020683 inhibited/Cholinesterase,CFr,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,N,Acylcholine acylhydrolase; BChE; Benzoyl cholinesterase; Benzoylcholinesterase; Butyrylcholine esterase; Catalytic Fraction; CHe; Chemistry; Choline esterase II; CHS; Percent; Pl; Plasma; Plsm; Point in time; Pseudocho; Pseudocholinesterase; QNT; Quan; Quant; Quantitative; Random; RO 020683 number; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,RO 020683 Inhib/CHe CFr SerPl,Observation,,,%,Cholinesterase.RO 020683 inhibited/Cholinesterase in Serum or Plasma,%,,,,0,0,,,,,,2.15,,Cholinesterase.RO 020683 inhibited/Cholinesterase [Catalytic fraction]
72566-3,Cholinesterase.scoline inhibited/Cholinesterase,CFr.DF,Pt,Ser/Plas,Qn,,CHEM,2.42,MIN,"Because of the confusion that occurs in countries that report results as both decimal fraction and percent, this property was created to represent decimal fractions that are reported without units.",ACTIVE,,1,,,,,,Acylcholine acylhydrolase; BChE; Benzoyl cholinesterase; Benzoylcholinesterase; Butyrylcholine esterase; Che; Chemistry; Choline esterase II; CHS; Pl; Plasma; Plsm; Point in time; Pseudocho; Pseudocholinesterase; QNT; Quan; Quant; Quantitative; Random; Scoline number; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Scoline Inhib/CHe CFr.DF SerPl,Observation,,,,Cholinesterase.scoline inhibited/Cholinesterase [Pure catalytic fraction] in Serum or Plasma,,,,,0,0,,,,,,2.42,,Cholinesterase.scoline inhibited/Cholinesterase [Pure catalytic fraction]
72567-1,Cholinesterase.RO 020683 inhibited/Cholinesterase,CFr.DF,Pt,Ser/Plas,Qn,,CHEM,2.42,MIN,"Because of the confusion that occurs in countries that report results as both decimal fraction and percent, this property was created to represent decimal fractions that are reported without units.",ACTIVE,,1,,,,,,Acylcholine acylhydrolase; BChE; Benzoyl cholinesterase; Benzoylcholinesterase; Butyrylcholine esterase; Che; Chemistry; Choline esterase II; CHS; Pl; Plasma; Plsm; Point in time; Pseudocho; Pseudocholinesterase; QNT; Quan; Quant; Quantitative; Random; RO 020683 number; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,RO 020683 Inhib/CHe CFr.DF SerPl,Observation,,,,Cholinesterase.RO 020683 inhibited/Cholinesterase [Pure catalytic fraction] in Serum or Plasma,,,,,0,0,,,,,,2.42,,Cholinesterase.RO 020683 inhibited/Cholinesterase [Pure catalytic fraction]
72568-9,Cholinesterase.fluoride inhibited/Cholinesterase,CFr.DF,Pt,Ser/Plas,Qn,,CHEM,2.42,MIN,"Because of the confusion that occurs in countries that report results as both decimal fraction and percent, this property was created to represent decimal fractions that are reported without units.",ACTIVE,,1,,,,,,Acylcholine acylhydrolase; BChE; Benzoyl cholinesterase; Benzoylcholinesterase; Butyrylcholine esterase; Che; Chemistry; Choline esterase II; CHS; Fl; Fluoride number; Pl; Plasma; Plsm; Point in time; Pseudocho; Pseudocholinesterase; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Fluoride Inhib/CHe CFr.DF SerPl,Observation,,,,Cholinesterase.fluoride inhibited/Cholinesterase [Pure catalytic fraction] in Serum or Plasma,,,,,0,0,,,,,,2.42,,Cholinesterase.fluoride inhibited/Cholinesterase [Pure catalytic fraction]
