LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
102109-6,Oxalate & Glycolate & Glyoxylate & Citrate,Imp,Pt,Urine,Nom,,CHEM,2.77,ADD,,ACTIVE,,1,,,,,N,Chemistry; Citric acid; Ethanedioate; Ethanedioic acid; Glycolic acid; Glyoxylic acid; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; Nominal; OX+Glyco+Glyox+Cit; Oxal; Oxalic acid; Oxoacetate; Oxoacetic acid; Point in time; Random; UA; UR; Urn,OX+Glyco+Glyox+Cit Ur-Imp,,,,,Oxalate and Glycolate and Glyoxylate and Citrate [Interpretation] in Urine,,,,,0,0,,,,,,2.77,,Oxalate and Glycolate and Glyoxylate and Citrate (U) [Interp]
110414-0,Citrate/Creatinine,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Citric acid; CR; Crea; Creat; Lab orders; Msmt; UA; UCr; UR; Urn,Citrate/Creat Msmt Ur,Order,,,,Citrate/Creatinine [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Citrate/Creatinine (U) [Measurement]
111452-9,Citrate,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Citric acid; Lab orders; Msmt; UA; UR; Urn,Citrate Msmt Ur,Order,,,,Citrate [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Citrate (U) [Measurement]
13722-4,Citrate/Creatinine,MRto,Pt,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Citric acid; CR; Crea; Creat; Mass concentration ratio; Mass ratio; MCRto; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UCr; UR; Urn,Citrate/Creat Ur,Both,,,mg/g creatinine,Citrate/Creatinine [Mass Ratio] in Urine,mg/g{creat},,,,7038,0,,,,,,1.0k,,Citrate/Creatinine (U) [Mass ratio]
14650-6,Citrate,SRat,24H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Chemistry; Citric acid; Kidney; Nephrology; QNT; Quan; Quant; Quantitative; Renal; sRate; Substance Rate; UA; UR; Urn,Citrate 24h Ur-sRate,Both,,,mmol/24 H,Citrate [Moles/time] in 24 hour Urine,mmol/(24.h),,,,14728,0,,,,,,1.0k,,Citrate (24H U) [Moles/Time]
21203-5,Citrate,MCnc,24H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Chemistry; Citric acid; Kidney; Level; Mass concentration; Nephrology; QNT; Quan; Quant; Quantitative; Renal; UA; UR; Urn,Citrate 24h Ur-mCnc,Both,,,mg/L,Citrate [Mass/volume] in 24 hour Urine,mg/L,,,,3015,0,,,,,,1.0m,,Citrate (24H U) [Mass/Vol]
2128-7,Citrate,MCnc,Pt,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Citric acid; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,Citrate Ur-mCnc,Both,,,ug/mL,Citrate [Mass/volume] in Urine,ug/mL,,,,6639,0,,,,,,1.0,,Citrate (U) [Mass/Vol]
25876-4,Citrate,SCnc,24H,Urine,Qn,,CHEM,2.42,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Chemistry; Citric acid; Kidney; Level; Nephrology; QNT; Quan; Quant; Quantitative; Renal; Substance Concentration; UA; UR; Urn,Citrate 24h Ur-sCnc,Both,,,nmol/L,Citrate [Moles/volume] in 24 hour Urine,nmol/L,,,,0,0,,,,,,2.00,,Citrate (24H U) [Moles/Vol]
27133-8,Citrate,PrThr,Pt,Urine,Ord,,CHEM,2.56,MIN,,ACTIVE,,1,,,,,,Chemistry; Citric acid; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Citrate Ur Ql,Both,,,,Citrate [Presence] in Urine,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.00,,Citrate Ql (U)
29527-9,Citrate/Creatinine,SRto,Pt,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Chemistry; Citric acid; CR; Crea; Creat; Point in time; QNT; Quan; Quant; Quantitative; Random; Scrto; Substance concentration ratio; Substance ratio; UA; UCr; UR; Urn,Citrate/Creat Ur-sRto,Both,,,mmol/mol creatinine,Citrate/Creatinine [Molar ratio] in Urine,mmol/mol{creat},,,,9221,0,,,,,,2.03,,Citrate/Creatinine (U) [Molar ratio]
