LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
101586-6,Cortisol,SCnc,Pt,Ser/Plas,Qn,LC/MS/MS,CHEM,2.75,ADD,,ACTIVE,,1,,,,,N,17-Hydroxycorticosterone; Chemistry; Compound F; Coritsol; Cort; F; hydrocortisone; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Cortis SerPl LC/MS/MS-sCnc,Both,,,umol/L,Cortisol [Moles/volume] in Serum or Plasma by LC/MS/MS,umol/L,,,,0,0,,,,,,2.75,,Cortisol LC/MS/MS [Moles/Vol]
101980-1,"Glucose, somatotropin and cortisol post insulin administration",-,Pt,Ser/Plas,-,,PANEL.CHAL,2.76,MAJ,,ACTIVE,,1,,,,,N,17-Hydroxycorticosterone; After; CHEMISTRY.CHALLENGE TESTING; Compound F; Coritsol; Cort; F; GH; Glu; Glu tol; Gluc; Gluc+som+cort p insu pnl; Glucose tolerance; Glucoseur; Growth hormone; GTT; HGH; HUM; Human growth hormone; Humulin; hydrocortisone; IH7; Insul; Lente; NPH; Pan; Panel; PANEL.CHALLENGE; Panl; Pl; Plasma; Plsm; Pnl; Point in time; PST; Random; Semilente; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sliding; Somatotropic hormone; SR; STH; Ultralente,Gluc+som+cort p insu pnl SerPl,Order,,,,"Glucose, somatotropin and cortisol post insulin administration in Serum or Plasma",,,,,0,0,,,Panel,,,2.75,,"Glucose, somatotropin and cortisol post insulin administration"
102023-9,Cortisol^30M post dose glucagon,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,17-Hydroxycorticosterone; 30M p Gc; After; CHEMISTRY.CHALLENGE TESTING; Compound F; Coritsol; Cort; F; HGF; hydrocortisone; Hyperglycemic factor; Level; Mass concentration; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Cortis 30M p Gc SerPl-mCnc,Both,,,mg/dL,Cortisol [[Mass/volume] in Serum or Plasma --30 minutes post dose glucagon,mg/dL,,,,0,0,,,,,,2.75,,Cortisol 30 Min post dose glucagon [Mass/Vol]
102024-7,Cortisol^60M post dose glucagon,SCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,17-Hydroxycorticosterone; After; CHEMISTRY.CHALLENGE TESTING; Compound F; Coritsol; Cort; F; HGF; hydrocortisone; Hyperglycemic factor; Level; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Cortis 60M post dose glucagon SerPl-sCnc,Both,,,mg/dL,Cortisol [Moles/volume] in Serum or Plasma --60M post dose glucagon,mg/dL,,,,0,0,,,,,,2.75,,Cortisol 60M post dose glucagon [Moles/Vol]
102025-4,Cortisol^1.5H post dose glucagon,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,1 1/2 hours; 1 1/2 HR; 1.5h p Gc; 1.5Hr; 17-Hydroxycorticosterone; 90 min; 90 minutes; 90M; 90min; After; CHEMISTRY.CHALLENGE TESTING; Compound F; Coritsol; Cort; F; HGF; hydrocortisone; Hyperglycemic factor; Level; Mass concentration; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Cortis 1.5h p Gc SerPl-mCnc,Both,,,mg/dL,Cortisol [Mass/volume] in Serum or Plasma --1.5 hours post dose glucagon,mg/dL,,,,0,0,,,,,,2.75,,Cortisol 1.5 Hr post dose glucagon [Mass/Vol]
102026-2,Cortisol^2H post dose glucagon,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,120 min; 120 minutes; 120min; 17-Hydroxycorticosterone; 2 hours; 2h p Gc; After; CHEMISTRY.CHALLENGE TESTING; Compound F; Coritsol; Cort; F; HGF; hydrocortisone; Hyperglycemic factor; Level; Mass concentration; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Cortis 2h p Gc SerPl-mCnc,Both,,,mg/dL,Cortisol [Mass/volume] in Serum or Plasma --2 hours post dose glucagon,mg/dL,,,,0,0,,,,,,2.75,,Cortisol 2 Hr post dose glucagon [Mass/Vol]
102027-0,Cortisol^2.5H post dose glucagon,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,17-Hydroxycorticosterone; 2.5h p Gc; After; CHEMISTRY.CHALLENGE TESTING; Compound F; Coritsol; Cort; F; HGF; hydrocortisone; Hyperglycemic factor; Level; Mass concentration; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Cortis 2.5h p Gc SerPl-mCnc,Both,,,mg/dL,Cortisol [Mass/volume] in Serum or Plasma --2.5 hours post dose glucagon,mg/dL,,,,0,0,,,,,,2.75,,Cortisol 2.5 Hr post dose glucagon [Mass/Vol]
102028-8,Cortisol^3H post dose glucagon,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,17-Hydroxycorticosterone; 3h p Gc; After; CHEMISTRY.CHALLENGE TESTING; Compound F; Coritsol; Cort; F; HGF; hydrocortisone; Hyperglycemic factor; Level; Mass concentration; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Cortis 3h p Gc SerPl-mCnc,Both,,,mg/dL,Cortisol [Mass/volume] in Serum or Plasma --3 hours post dose glucagon,mg/dL,,,,0,0,,,,,,2.75,,Cortisol 3 Hr post dose glucagon [Mass/Vol]
10332-5,Cortisol^pre 250 ug corticotropin IM,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,17-Hydroxycorticosterone; ACTH; Adrenocorticotrophic hormone; Adrenocorticotropin; Before; c206; c74; CHEMISTRY.CHALLENGE TESTING; Compound F; Coritsol; Cort; Cortrosyn; F; hydrocortisone; Level; Mass concentration; mcg; Pl; Plasma; Plsm; Point in time; pre 250 ug ACTH; pre 250 ug ACTH IM; QNT; Quan; Quant; Quantitative; Random; Rc206; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,Cortis pre 250 ug ACTH IM SerPl-mCnc,Observation,,,pg/mL;ug/dL,Cortisol [Mass/volume] in Serum or Plasma --pre 250 ug corticotropin IM,ug/dL,,,,9062,0,,,,,,1.0i,,Cortisol pre 250 ug corticotropin IM [Mass/Vol]
103647-4,Cortisol^2H post dose corticotropin,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.77,ADD,,ACTIVE,,1,,,,,N,120 min; 120 minutes; 120min; 17-Hydroxycorticosterone; 2 hours; ACTH; Adrenocorticotrophic hormone; Adrenocorticotropin; After; c206; c74; CHEMISTRY.CHALLENGE TESTING; Compound F; Coritsol; Cort; Cortrosyn; F; hydrocortisone; Level; Mass concentration; p ACTH; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Rc206; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tumor marker,Cortis 2h p ACTH SerPl-mCnc,Both,,,ug/dL,Cortisol [Mass/volume] in Serum or Plasma --2 hour post dose corticotropin,ug/dL,,,,0,0,,,,,,2.77,,Cortisol 2Hr post dose corticotropin [Mass/Vol]
