LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
101446-3,Creatine Kinase.MB,SCnc,Pt,Ser/Plas,Qn,IA,CHEM,2.82,MIN,,ACTIVE,,1,,,,,N,Chemistry; CK; CK 2; CK MB; CK-2; CKMB; CK-MB; CPK; Creatine phosphokinase; EIA; ELFA; ELISA; Enzyme immunoassay; IAA; Level; MEIA; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; SUDS,CK MB SerPl IA-sCnc,Both,,,nmol/L,Creatine kinase.MB [Moles/volume] in Serum or Plasma by Immunoassay,mmol/L,,,,0,0,,,,,,2.74,,CK.MB IA [Moles/Vol]
111058-4,Creatine kinase.MB,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,CK; CK 2; CK MB; CK-2; CKMB; CK-MB; CPK; Creatine phosphokinase; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,CK MB Msmt SerPl,Order,,,,Creatine kinase.MB [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,CK.MB [Measurement]
12187-1,Creatine kinase.MB/Creatine kinase.total,CFr,Pt,Ser/Plas,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Cardio; Cardiology; Catalytic Fraction; Chemistry; CK; CK 2; CK MB; CK-2; CKMB; CK-MB; CPK; Creatine phosphokinase; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Heart Disease; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,CK MB CFr SerPl Elph,Observation,,,%,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma by Electrophoresis,%,,,,1629,0,,,,,,1.0j-a,,CK.MB Elph [Catalytic fraction]
12189-7,Creatine kinase.MB/Creatine kinase.total,CFr,Pt,Ser/Plas,Qn,Calculated,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Calc; Calculation; Cardio; Cardiology; Catalytic Fraction; Chemistry; CK; CK 2; CK MB; CK-2; CKMB; CK-MB; CPK; Creatine phosphokinase; Heart Disease; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,CK MB CFr SerPl Calc,Observation,,,%,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma by calculation,%,,,,1174,0,,,,,,1.0j-a,,CK.MB Calc [Catalytic fraction]
13969-1,Creatine kinase.MB,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Cardio; Cardiology; Chemistry; CK; CK 2; CK MB; CK-2; CKMB; CK-MB; CPK; Creatine phosphokinase; Heart Disease; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,CK MB SerPl-mCnc,Both,,,ng/mL; ug/L,Creatine kinase.MB [Mass/volume] in Serum or Plasma,ng/mL,,,,470,25,,,,,,1.0k,,CK.MB [Mass/Vol]
14680-3,Creatine kinase isoenzymes,Imp,Pt,Ser/Plas,Nom,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,,Cardio; Cardiology; Chemistry; CK; CK Isos; CPK; Creatine phosphokinase; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Heart Disease; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; ISO; Isoen; Isoenzyme; Nominal; Pl; Plasma; Plsm; Point in time; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,CK Isos SerPl Elph-Imp,Observation,,,,Creatine kinase isoenzymes [Interpretation] in Serum or Plasma by Electrophoresis,,,,,7567,0,,,,,,1.0k,,CK isoenzymes Elph [Interp]
15048-2,Creatine kinase.BB/Creatine kinase.total,CFr,Pt,Ser/Plas,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Catalytic Fraction; Chemistry; CK; CK 1; CK BB; CK-BB; CPK; Creatine phosphokinase; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Neuro; Neurology; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,CK BB CFr SerPl Elph,Observation,,,%,Creatine kinase.BB/Creatine kinase.total in Serum or Plasma by Electrophoresis,%,,,,3030,0,,,,,,1.0k,,CK.BB Elph [Catalytic fraction]
15049-0,Creatine kinase.MM/Creatine kinase.total,CFr,Pt,Ser/Plas,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Cardio; Cardiology; Catalytic Fraction; Chemistry; CK; CK 3; CK MM; CK-MM; CPK; Creatine phosphokinase; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Heart Disease; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Rheum; Rheumatology; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,CK MM CFr SerPl Elph,Observation,,,%,Creatine kinase.MM/Creatine kinase.total in Serum or Plasma by Electrophoresis,%,,,,3285,0,,,,,,1.0k,,CK.MM Elph [Catalytic fraction]
20569-0,Creatine kinase.MB/Creatine kinase.total,CFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Cardio; Cardiology; Catalytic Fraction; Chemistry; CK; CK 2; CK MB; CK-2; CKMB; CK-MB; CPK; Creatine phosphokinase; Heart Disease; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,CK MB CFr SerPl,Observation,,,%,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma,%,,,,1510,0,,,,,,1.0m,,CK.MB [Catalytic fraction]
2152-7,Creatine kinase.BB,CCnc,Pt,Ser/Plas,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Catalytic Concentration; Chemistry; CK; CK 1; CK BB; CK-BB; CPK; Creatine phosphokinase; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Neuro; Neurology; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,CK BB SerPl Elph-cCnc,Both,,,arb U/L,Creatine kinase.BB [Enzymatic activity/volume] in Serum or Plasma by Electrophoresis,U/L,,,,7854,0,,,,,,1.0,,CK.BB Elph [Catalytic activity/Vol]
