LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
12195-4,Creatinine renal clearance/1.73 sq M,ArVRat,24H,Urine+Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; BSA; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; CR; Crea; Creat; Kidney; Nephrology; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; Square Meter; SR; UA; UCr; UR; Ur+SerPl; Urn; Volume rate/area; Volume Rate/Ratio,Creat Cl/1.73 sq M 24h Ur+SerPl-ArVRat,Observation,,,mL/s;mL/min/1.7,Creatinine renal clearance/1.73 sq M in 24 hour Urine and Serum or Plasma,mL/min/{1.73_m2},,,,4013,0,,,,,,1.0j-a,,Creatinine renal clearance/1.73 sq M (24H U+S/P) [Vol rate/Area]
13441-1,Creatinine renal clearance,VRat,4H,Urine+Ser/Plas,Qn,,CHEM,2.66,MIN,,ACTIVE,,1,,,,,Y,240 minutes; 4 hours; 4.0Hr; 4HR; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; CR; Crea; Creat; Flow; Kidney; Nephrology; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UCr; UR; Ur+SerPl; Urn; Volume rate; vRate,Creat Cl 4h Ur+SerPl-vRate,Both,,,mL/min,Creatinine renal clearance in 4 hour Urine and Serum or Plasma,mL/min,,,,0,0,,,,,,1.0j-a,,Creatinine renal clearance (4 hour U+S/P) [Vol/Time]
13442-9,Creatinine renal clearance,VRat,6H,Urine+Ser/Plas,Qn,,CHEM,2.66,MIN,,ACTIVE,,1,,,,,Y,6 hours; 6Hr; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; CR; Crea; Creat; Flow; Kidney; Nephrology; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UCr; UR; Ur+SerPl; Urn; Volume rate; vRate,Creat Cl 6h Ur+SerPl-vRate,Both,,,mL/min,Creatinine renal clearance in 6 hour Urine and Serum or Plasma,mL/min,,,,0,0,,,,,,1.0j-a,,Creatinine renal clearance (6H U+S/P) [Vol/Time]
13443-7,Creatinine renal clearance,VRat,8H,Urine+Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1/3 day; 8 hours; 8HR; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; CR; Crea; Creat; Flow; Kidney; Nephrology; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UCr; UR; Ur+SerPl; Urn; Volume rate; vRate,Creat Cl 8h Ur+SerPl-vRate,Both,,,mL/min,Creatinine renal clearance in 8 hour Urine and Serum or Plasma,mL/min,,,,18470,0,,,,,,1.0j-a,,Creatinine renal clearance (8H U+S/P) [Vol/Time]
13446-0,Creatinine renal clearance/1.73 sq M,ArVRat,4H,Urine+Ser/Plas,Qn,,CHEM,2.66,MIN,,ACTIVE,,1,,,,,Y,240 minutes; 4 hours; 4.0Hr; 4HR; BSA; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; CR; Crea; Creat; Kidney; Nephrology; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; Square Meter; SR; UA; UCr; UR; Ur+SerPl; Urn; Volume rate/area; Volume Rate/Ratio,Creat Cl/1.73 sq M 4h Ur+SerPl-ArVRat,Observation,,,mL/min,Creatinine renal clearance/1.73 sq M in 4 hour Urine and Serum or Plasma,mL/min,,,,0,0,,,,,,1.0j-a,,Creatinine renal clearance/1.73 sq M (4 hour U+S/P) [Vol rate/Area]
13447-8,Creatinine renal clearance/1.73 sq M,ArVRat,6H,Urine+Ser/Plas,Qn,,CHEM,2.66,MIN,,ACTIVE,,1,,,,,Y,6 hours; 6Hr; BSA; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; CR; Crea; Creat; Kidney; Nephrology; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; Square Meter; SR; UA; UCr; UR; Ur+SerPl; Urn; Volume rate/area; Volume Rate/Ratio,Creat Cl/1.73 sq M 6h Ur+SerPl-ArVRat,Observation,,,mL/min,Creatinine renal clearance/1.73 sq M in 6 hour Urine and Serum or Plasma,mL/min,,,,0,0,,,,,,1.0j-a,,Creatinine renal clearance/1.73 sq M (6H U+S/P) [Vol rate/Area]
13449-4,Creatinine renal clearance/1.73 sq M,ArVRat,8H,Urine+Ser/Plas,Qn,,CHEM,2.66,MIN,,ACTIVE,,1,,,,,Y,1/3 day; 8 hours; 8HR; BSA; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; CR; Crea; Creat; Kidney; Nephrology; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; Square Meter; SR; UA; UCr; UR; Ur+SerPl; Urn; Volume rate/area; Volume Rate/Ratio,Creat Cl/1.73 sq M 8h Ur+SerPl-ArVRat,Observation,,,mL/min,Creatinine renal clearance/1.73 sq M in 8 hour Urine and Serum or Plasma,mL/min,,,,0,0,,,,,,1.0j-a,,Creatinine renal clearance/1.73 sq M (8H U+S/P) [Vol rate/Area]
13450-2,Creatinine renal clearance/1.73 sq M,ArVRat,12H,Urine+Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,12 hours; 12HR; BSA; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; CR; Crea; Creat; Kidney; Nephrology; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; Square Meter; SR; UA; UCr; UR; Ur+SerPl; Urn; Volume rate/area; Volume Rate/Ratio,Creat Cl/1.73 sq M 12h Ur+SerPl-ArVRat,Observation,,,mL/min,Creatinine renal clearance/1.73 sq M in 12 hour Urine and Serum or Plasma,mL/min,,,,18031,0,,,,,,1.0j-a,,Creatinine renal clearance/1.73 sq M (12H U+S/P) [Vol rate/Area]
1811-9,Amylase/Creatinine renal clearance,Ratio,24H,Urine+Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Alpha amylase; Ams; Amyl; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; CR; Crea; Creat; Diastase; k87; Kidney; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Ratios; Rto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UCr; UR; Ur+SerPl; Urn,Amylase/Cr Cl 24h Ur+SerPl-Rto,Observation,,,,Amylase/Creatinine renal clearance [Ratio] in 24 hour Urine and Serum or Plasma,,,,,14901,0,,,,,,1.0,,Amylase/Creatinine renal clearance (24H U+S/P) [Ratio]
2163-4,Creatinine renal clearance,VRat,12H,Urine+Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,12 hours; 12HR; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; CR; Crea; Creat; Flow; Kidney; Nephrology; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UCr; UR; Ur+SerPl; Urn; Volume rate; vRate,Creat Cl 12h Ur+SerPl-vRate,Both,,,mL/min,Creatinine renal clearance in 12 hour Urine and Serum or Plasma,mL/min,,,,13366,0,,,,,,1.0,,Creatinine renal clearance (12H U+S/P) [Vol/Time]
