LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
101175-8,3-Methoxytyramine.free/Creatinine,SRto,Pt,Ser/Plas,Qn,,CHEM,2.75,MIN,,ACTIVE,,1,,,,,N,3Me-tyramine; Chemistry; CR; Crea; Creat; Dopamine metabolite; FR; Free 3-MT; III; Non-protein bound; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Scrto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration ratio; Substance ratio,Free 3-MT/Creat SerPl-sRto,Both,,,umol/mol,3-Methoxytyramine.free/Creatinine [Molar ratio] in Serum or Plasma,umol/mol,,,,0,0,,,,,,2.74,,3-Methoxytyramine.free/Creatinine [Molar ratio]
101176-6,Normetanephrine.free/Creatinine,SRto,Pt,Ser/Plas,Qn,,CHEM,2.75,MIN,,ACTIVE,,1,,,,,N,Chemistry; CR; Crea; Creat; FR; Non-protein bound; Normeta; Normetaneph; Normetaneph Free; Normetanephrn; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Scrto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration ratio; Substance ratio; Unconjugated normetanephrine,Normetaneph Free/Creat SerPl-sRto,Both,,,umol/mol,Normetanephrine Free/Creatinine [Molar ratio] in Serum or Plasma,umol/mol,,,,0,0,,,,,,2.74,,Normetanephrine Free/Creatinine [Molar ratio]
101177-4,Metanephrine.free/Creatinine,SRto,Pt,Ser/Plas,Qn,,CHEM,2.75,MIN,,ACTIVE,,1,,,,,N,Chemistry; CR; Crea; Creat; FR; Metaneph; Metaneph Free; Metanephrne; Metenephrine; Non-protein bound; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Scrto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration ratio; Substance ratio; Unconjugated metanephrine,Metaneph Free/Creat SerPl-sRto,Both,,,umol/mol,Metanephrine Free/Creatinine [Molar ratio] in Serum or Plasma,umol/mol,,,,0,0,,,,,,2.74,,Metanephrine Free/Creatinine [Molar ratio]
103616-9,Creatinine,SCnc,Pt,Ser/Plas,Qn,LC/MS/MS,CHEM,2.77,ADD,,ACTIVE,,1,,,,,N,Chemistry; CR; Crea; Creat; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Creat SerPl LC/MS/MS-sCnc,Both,,,umol/L,Creatinine [Moles/volume] in Serum or Plasma by LC/MS/MS,umol/L,,,,0,0,,,,,,2.77,,Creatinine LC/MS/MS [Moles/Vol]
104538-4,"Creatine, guanidinoacetate & creatinine pattern",Imp,Pt,Ser/Plas,Nar,,CHEM,2.78,ADD,,ACTIVE,,1,,,,,N,"Chemistry; CR; Cr, GAA and Creat pattern; Crea; Creat; GAA; glycocyamine; guanidinoacetic acid; guanidoacetic acid; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; Narrative; Pl; Plasma; Plsm; Point in time; Random; Report; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR","Cr, GAA and Creat pattern SerPl-Imp",Both,,,,"Creatine, guanidinoacetate and creatinine pattern [Interpretation] in Serum or Plasma Narrative",,,,,0,0,,,,,,2.78,,"Creatine, guanidinoacetate and creatinine pattern Nar [Interp]"
104539-2,Creatine/Creatinine,SRto,Pt,Ser/Plas,Qn,,CHEM,2.78,ADD,,ACTIVE,,1,,,,,N,Chemistry; CR; Crea; Creat; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Scrto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration ratio; Substance ratio,Creatine/Creat SerPl-sRto,Both,,,mmol/mol creatinine,Creatine/Creatinine [Molar ratio] in Serum or Plasma,mmol/mol{creat},,,,0,0,,,,,,2.78,,Creatine/Creatinine [Molar ratio]
104540-0,Guanidinoacetate/Creatinine,SRto,Pt,Ser/Plas,Qn,,CHEM,2.78,ADD,,ACTIVE,,1,,,,,N,Chemistry; CR; Crea; Creat; GAA; glycocyamine; guanidinoacetic acid; guanidoacetic acid; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Scrto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration ratio; Substance ratio,Guanidinoacetate/Creat SerPl-sRto,Both,,,umol/mmol creatinine,Guanidinoacetate/Creatinine [Molar ratio] in Serum or Plasma,umol/mmol{creat},,,,0,0,,,,,,2.78,,Guanidinoacetate/Creatinine [Molar ratio]
11041-1,Creatinine^post dialysis,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,After; Chemistry; CR; Crea; Creat; Dialy; Kidney; Level; Mass concentration; Nephrology; p dialysis; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Creat p dialysis SerPl-mCnc,Observation,,,mg/dL,Creatinine [Mass/volume] in Serum or Plasma --post dialysis,mg/dL,,,,13570,0,,,,,,1.0j-a,,Creatinine post dialysis [Mass/Vol]
11042-9,Creatinine^pre dialysis,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Before; Chemistry; CR; Crea; Creat; Dialy; Kidney; Level; Mass concentration; Nephrology; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Creat pre dial SerPl-mCnc,Observation,,,mg/dL,Creatinine [Mass/volume] in Serum or Plasma --pre dialysis,mg/dL,,,,19369,0,,,,,,1.0j-a,,Creatinine pre dialysis [Mass/Vol]
110658-2,Creatinine,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,CR; Crea; Creat; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Creat Msmt SerPl,Order,,,,Creatinine [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Creatinine [Measurement]
12195-4,Creatinine renal clearance/1.73 sq M,ArVRat,24H,Urine+Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; BSA; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; CR; Crea; Creat; Kidney; Nephrology; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; Square Meter; SR; UA; UCr; UR; Ur+SerPl; Urn; Volume rate/area; Volume Rate/Ratio,Creat Cl/1.73 sq M 24h Ur+SerPl-ArVRat,Observation,,,mL/s;mL/min/1.7,Creatinine renal clearance/1.73 sq M in 24 hour Urine and Serum or Plasma,mL/min/{1.73_m2},,,,4013,0,,,,,,1.0j-a,,Creatinine renal clearance/1.73 sq M (24H U+S/P) [Vol rate/Area]
13441-1,Creatinine renal clearance,VRat,4H,Urine+Ser/Plas,Qn,,CHEM,2.66,MIN,,ACTIVE,,1,,,,,Y,240 minutes; 4 hours; 4.0Hr; 4HR; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; CR; Crea; Creat; Flow; Kidney; Nephrology; Pl; Plasma; Plsm; QNT; Quan; Quant; Quantitative; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UCr; UR; Ur+SerPl; Urn; Volume rate; vRate,Creat Cl 4h Ur+SerPl-vRate,Both,,,mL/min,Creatinine renal clearance in 4 hour Urine and Serum or Plasma,mL/min,,,,0,0,,,,,,1.0j-a,,Creatinine renal clearance (4 hour U+S/P) [Vol/Time]
