LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100152-8,6-oxo-piperidine-2-carboxylate/Creatinine,SRto,Pt,Urine,Qn,,CHEM,2.72,ADD,,ACTIVE,,1,,,,,N,6-oxo-pipecolic acid; 6-oxo-piperidine-2-carb/Creatinine; 6-oxo-piperidine-2-carboxylic acid; Chemistry; CR; Crea; Creat; II; PDE-ALDH7A1; Point in time; Pyridoxine-dependent epilepsy; QNT; Quan; Quant; Quantitative; Random; Scrto; Substance concentration ratio; Substance ratio; UA; UCr; UR; Urn,6-oxo-PIP/Creat Ur-sRto,Observation,,,umol/mmol creatinine,6-oxo-piperidine-2-carboxylate/Creatinine [Molar ratio] in Urine,umol/mmol{creat},,,,0,0,,,,,,2.72,,6-oxo-piperidine-2-carboxylate/Creatinine (U) [Molar ratio]
100153-6,6(R+S)-oxo-propylpiperidine-2-carboxylate/Creatinine,SRto,Pt,Urine,Qn,,CHEM,2.72,ADD,,ACTIVE,,1,,,,,N,"2-OPP; 2-oxopropylpiperidine-2-carobylic acid; 2S,6S-/2S,6R-oxopropylpiperidine-2-carboxylic acid; 6(R+S)-OPP; 6(R+S)-oxo-propylpiperidine-2-carb/Creatinine; Chemistry; CR; Crea; Creat; II; PDE-ALDH7A1; Point in time; Pyridoxine-dependent epilepsy; QNT; Quan; Quant; Quantitative; R prime; Random; Right; S prime; Scrto; Substance concentration ratio; Substance ratio; UA; UCr; UR; Urn",6(R+S)-OPP/Creat Ur-sRto,Observation,,,umol/mmol creatinine,6(R+S)-oxo-propylpiperidine-2-carboxylate/Creatinine [Molar ratio] in Urine,umol/mmol{creat},,,,0,0,,,,,,2.72,,6(R+S)-oxo-propylpiperidine-2-carboxylate/Creatinine (U) [Molar ratio]
101115-4,Leukotriene E4/Creatinine,MRto,24H,Urine,Qn,,CHEM,2.75,MIN,,ACTIVE,,1,,,,,N,"1 day; 24 hours; 24HR; 7,9,11,14-Eicosatetraenoic acid, 6-((2-amino-2-carboxyethyl)thio)-5-hydroxy-, (5S-(5R*,6S*(S*),7E,9E,11Z,14Z)); Chemistry; CR; Crea; Creat; LTE4; Mass concentration ratio; Mass ratio; MCRto; QNT; Quan; Quant; Quantitative; UA; UCr; UR; Urn",LTE4/Creat 24h Ur,Both,,,pg/mg creatinine,Leukotriene E4/Creatinine [Mass Ratio] in 24 hour Urine,pg/mg{creat},,,,0,0,,,,,,2.74,,Leukotriene E4/Creatinine (24H U) [Mass ratio]
101155-0,Alpha hydroxyetizolam/Creatinine,MRto,Pt,Urine,Qn,Confirm,DRUG/TOX,2.75,MIN,,ACTIVE,,1,,,,,N,Alfa; A-OH-etizolam; A-OH-etizolam/Creatinine; Cfm; CNFR; CNFRM; Conf; Confirmation; Confirmatory; CR; Crea; Creat; DRUG/TOXICOLOGY; Drugs; GCMS; LC/MS/MS; Mass concentration ratio; Mass ratio; MCRto; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UCr; UR; Urn,A-OH-etizolam/Creat Ur Cfm,Both,,,ng/mg creatinine,Alpha hydroxyetizolam/Creatinine [Mass Ratio] in Urine by Confirmatory method,ng/mg{creat},,,,0,0,,,,,,2.74,,Alpha hydroxyetizolam/Creatinine Confirm (U) [Mass ratio]
101157-6,Flualprazolam/Creatinine,MRto,Pt,Urine,Qn,Confirm,DRUG/TOX,2.75,MIN,,ACTIVE,,1,,,,,N,Cfm; CNFR; CNFRM; Conf; Confirmation; Confirmatory; CR; Crea; Creat; DRUG/TOXICOLOGY; Drugs; flualprazolam; FWF5L8D2BE; GCMS; LC/MS/MS; Mass concentration ratio; Mass ratio; MCRto; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UCr; UNII-FWF5L8D2BE; UR; Urn,Flualprazolam/Creat Ur Cfm,Both,,,ng/mg creatinine,Flualprazolam/Creatinine [Mass Ratio] in Urine by Confirmatory method,ng/mg{creat},,,,0,0,,,,,,2.74,,Flualprazolam/Creatinine Confirm (U) [Mass ratio]
101159-2,Flubromazolam/Creatinine,MRto,Pt,Urine,Qn,Confirm,DRUG/TOX,2.75,MIN,,ACTIVE,,1,,,,,N,Cfm; CNFR; CNFRM; Conf; Confirmation; Confirmatory; CR; Crea; Creat; DRUG/TOXICOLOGY; Drugs; flubromazolam; GCMS; LC/MS/MS; Mass concentration ratio; Mass ratio; MCRto; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UCr; UR; Urn,Flubromazolam/Creat Ur Cfm,Both,,,ng/mg creatinine,Flubromazolam/Creatinine [Mass Ratio] in Urine by Confirmatory method,ng/mg{creat},,,,0,0,,,,,,2.74,,Flubromazolam/Creatinine Confirm (U) [Mass ratio]
101161-8,4-Fluorofentanyl/Creatinine,MRto,Pt,Urine,Qn,Confirm,DRUG/TOX,2.75,MIN,,ACTIVE,,1,,,,,N,4-Fluorofentanyl; C22H27FN2O; Cfm; CNFR; CNFRM; Conf; Confirmation; Confirmatory; CR; Crea; Creat; DRUG/TOXICOLOGY; Drugs; GCMS; LC/MS/MS; Mass concentration ratio; Mass ratio; MCRto; N-(4-fluorophenyl)-N-[1-(2-phenylethyl)piperidin-4-yl]propanamide; parafluorofentanyl; p-Fluorofentanyl; Point in time; QNT; Quan; Quant; Quantitative; Random; Synthetic opioid; UA; UCr; UR; Urn,4-Fluorofentanyl/Creat Ur Cfm,Both,,,ng/mg creatinine,p-Fluorofentanyl/Creatinine [Mass Ratio] in Urine by Confirmatory method,ng/mL,,,,0,0,,,,,,2.74,,4-Fluorofentanyl/Creatinine Confirm (U) [Mass ratio]
101164-2,Brorphine/Creatinine,MRto,Pt,Urine,Qn,Confirm,DRUG/TOX,2.75,MIN,,ACTIVE,,1,,,,,N,Cfm; CNFR; CNFRM; Conf; Confirmation; Confirmatory; CR; Crea; Creat; DRUG/TOXICOLOGY; Drugs; GCMS; LC/MS/MS; Mass concentration ratio; Mass ratio; MCRto; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UCr; UR; Urn,Brorphine/Creat Ur Cfm,Both,,,ng/mg creatinine,Brorphine/Creatinine [Mass Ratio] in Urine by Confirmatory method,ng/mg{creat},,,,0,0,,,,,,2.74,,Brorphine/Creatinine Confirm (U) [Mass ratio]
101167-5,Metonitazene/Creatinine,MRto,Pt,Urine,Qn,Confirm,DRUG/TOX,2.75,MIN,,ACTIVE,,1,,,,,N,Cfm; CNFR; CNFRM; Conf; Confirmation; Confirmatory; CR; Crea; Creat; DRUG/TOXICOLOGY; Drugs; GCMS; LC/MS/MS; Mass concentration ratio; Mass ratio; MCRto; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UCr; UR; Urn,Metonitazene/Creat Ur Cfm,Both,,,ng/mg creatinine,Metonitazene/Creatinine [Mass Ratio] in Urine by Confirmatory method,ng/mg{creat},,,,0,0,,,,,,2.74,,Metonitazene/Creatinine Confirm (U) [Mass ratio]
101171-7,2-Methyl AP-237/Creatinine,MRto,Pt,Urine,Qn,Confirm,DRUG/TOX,2.75,MIN,,ACTIVE,,1,,,,,N,2-methyl Bucinnazine; Anterio-Posterior; Anteroposterior; CAS 98608-61-8; Cfm; CNFR; CNFRM; Conf; Confirmation; Confirmatory; CR; Crea; Creat; DRUG/TOXICOLOGY; Drugs; GCMS; hydrochloride salt 98608-59-4; II; LC/MS/MS; Mass concentration ratio; Mass ratio; MCRto; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UCr; UR; Urn,2-methyl AP-237/Creat Ur Cfm,Both,,,ng/mg creatinine,2-methyl AP-237/Creatinine [Mass Ratio] in Urine by Confirmatory method,ng/mg{creat},,,,0,0,,,,,,2.74,,2-methyl AP-237/Creatinine Confirm (U) [Mass ratio]
