LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
10535-3,Digoxin,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Cardio; Cardiology; DGXN; DRUG/TOXICOLOGY; Drugs; Heart Disease; Lanoxin; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Digoxin SerPl-mCnc,Both,,,ng/mL,Digoxin [Mass/volume] in Serum or Plasma,ng/mL,,,,935,156,,,,,,1.0i,,Digoxin [Mass/Vol]
110653-3,Digoxin,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,DGXN; Lab orders; Lanoxin; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Digoxin Msmt SerPl,Order,,,,Digoxin [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Digoxin [Measurement]
14698-5,Digoxin,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Cardio; Cardiology; DGXN; DRUG/TOXICOLOGY; Drugs; Heart Disease; Lanoxin; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Digoxin SerPl-sCnc,Both,,,nmol/L,Digoxin [Moles/volume] in Serum or Plasma,nmol/L,,,,13406,0,,,,,,1.0k,,Digoxin [Moles/Vol]
32067-1,Digoxin.free,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.70,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; DGXN; Digoxin Free; DRUG/TOXICOLOGY; Drugs; FR; Heart Disease; Lanoxin; Level; Non-protein bound; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Digoxin Free SerPl-sCnc,Observation,,,nmol/L,Digoxin Free [Moles/volume] in Serum or Plasma,nmol/L,,,,0,0,,,,,,2.07,,Digoxin Free [Moles/Vol]
35244-3,Digoxin,MSCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.42,MIN,,DISCOURAGED,,1,,,,,N,Cardio; Cardiology; DGXN; DRUG/TOXICOLOGY; Drugs; Heart Disease; Lanoxin; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Digoxin SerPl-msCnc,Both,,,,Digoxin [Mass or Moles/volume] in Serum or Plasma,,,These were created for the sole purpose of facilitating use of LOINC for submissions for medication approval to the FDA and should not be used in routine laboratory reporting.,,0,0,,,,,,2.11,,Digoxin [Mass or moles/Vol]
3562-6,Digoxin.free,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Cardio; Cardiology; DGXN; Digoxin Free; DRUG/TOXICOLOGY; Drugs; FR; Heart Disease; Lanoxin; Level; Mass concentration; Non-protein bound; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Digoxin Free SerPl-mCnc,Observation,,,ng/mL,Digoxin Free [Mass/volume] in Serum or Plasma,ng/mL,,,,559,0,,,,,,1.0,,Digoxin Free [Mass/Vol]
3563-4,Digoxin>12H post dose,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,After; Cardio; Cardiology; DGXN; Digoxin&gt;12h p dose; DRUG/TOXICOLOGY; Drugs; Heart Disease; Lanoxin; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Digoxin>12h p dose SerPl-mCnc,Both,,,ng/mL,Digoxin>12 hours post dose [Mass/volume] in Serum or Plasma,ng/mL,,,,9468,0,,,,,,1.0,,Digoxin>12 Hrs post dose [Mass/Vol]
73418-6,Digoxin induced platelet Ab.IgG,PrThr,Pt,Ser/Plas,Ord,Flow cytometry,SERO,2.66,MIN,,ACTIVE,,1,,,,,,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Circulating platelet ab; DGXN; Dynamic; FC; Immune globulin G; Immunoglobulin G; ind plt Ab; ind plt IgG; Lanoxin; Ordinal; Pl; Plasma; Platelet ab.free; Platelet auto-antibodies; Platelets; Platelt; Plsm; Plt; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serology; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thrombocyte; Thrombocytes,Digoxin ind plt IgG SerPl Ql FC,Both,,,,Digoxin induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.44,,Digoxin induced platelet IgG FC Ql
73419-4,Digoxin induced platelet Ab.IgM,PrThr,Pt,Ser/Plas,Ord,Flow cytometry,SERO,2.66,MIN,,ACTIVE,,1,,,,,,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Circulating platelet ab; DGXN; Dynamic; FC; Immune globulin M; Immunoglobulin M; ind plt Ab; ind plt IgM; Lanoxin; Ordinal; Pl; Plasma; Platelet ab.free; Platelet auto-antibodies; Platelets; Platelt; Plsm; Plt; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serology; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thrombocyte; Thrombocytes,Digoxin ind plt IgM SerPl Ql FC,Both,,,,Digoxin induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.44,,Digoxin induced platelet IgM FC Ql
83093-5,Digoxin,MCnc,Pt,Ser/Plas,Qn,IA,DRUG/TOX,2.73,MIN,"This term was created for, but is not limited in use to, bioMerieux's VIDAS Digoxin assay, which is intended for the quantitative determination of digoxin in human serum or plasma.",ACTIVE,,1,,,,,,Cardio; Cardiology; DGXN; DRUG/TOXICOLOGY; Drugs; EIA; ELFA; ELISA; Enzyme immunoassay; Heart Disease; IAA; Lanoxin; Level; Mass concentration; MEIA; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; SUDS,Digoxin SerPl IA-mCnc,Both,,,ng/mL,Digoxin [Mass/volume] in Serum or Plasma by Immunoassay,ng/mL,,,,1960,0,,,,,,2.58,,Digoxin IA [Mass/Vol]
