LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
111267-1,Estradiol,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,17-beta estradiol; E2; Lab orders; Msmt; Oestradiol; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Estradiol Msmt SerPl,Order,,,,Estradiol (E2) [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,E2 [Measurement]
12213-5,Estradiol,MCnc,Pt,Ser,Qn,RIA,CHEM,2.70,MIN,,DEPRECATED,,1,,,,,,17-beta estradiol; Chemistry; E2; Level; Mass concentration; Oestradiol; Point in time; QNT; Quan; Quant; Quantitative; RADIOIMMUNOASSAY; Random; Serum; SR,Deprecated Estradiol Ser RIA-mCnc,,,,pg/mL,Deprecated Estradiol [Mass/volume] in Serum or Plasma by RIA,pg/mL,Duplicate,,,0,0,,,,,,1.0j-a,,E2 RIA (S) [Mass/Vol]
12214-3,Estradiol,MCnc,Pt,Ser,Qn,MEIA,CHEM,2.70,MIN,,DEPRECATED,,1,,,,,,17-beta estradiol; Chemistry; E2; Level; Mass concentration; Oestradiol; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR,Deprecated Estradiol Ser-mCnc,,,,pg/mL,Deprecated Estradiol [Mass/volume] in Serum or Plasma by MEIA,pg/mL,Duplicate,,,0,0,,,,,,1.0j-a,,E2 MEIA (S) [Mass/Vol]
12596-3,Estradiol^3H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.36,MIN,,ACTIVE,,1,,,,,Y,17-beta estradiol; 3h p chal; After; CHEMISTRY.CHALLENGE TESTING; E2; Level; Mass concentration; Oestradiol; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Estradiol 3h p chal SerPl-mCnc,Observation,,,pg/mL,Estradiol (E2) [Mass/volume] in Serum or Plasma --3 hours post XXX challenge,pg/mL,,,,0,0,,,,,,1.0j-a,,E2 3 Hr post Unsp challenge [Mass/Vol]
13883-4,Estradiol.bioavailable/Estradiol.total,MFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,17-beta estradiol; Chemistry; E2; Estradiol Bioavail; Gyn; Gynecology; Mass Fraction; OB; ObGyn; Obstetrics; Oestradiol; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,Estradiol Bioavail MFr SerPl,Observation,,,%,Estradiol (E2).bioavailable/Estradiol (E2).total in Serum or Plasma,%,,,,16372,0,,,,,,1.0k,,E2.bioavailable [Mass fraction]
13884-2,Estradiol.bioavailable,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,17-beta estradiol; Chemistry; E2; Estradiol Bioavail; Gyn; Gynecology; Level; Mass concentration; OB; ObGyn; Obstetrics; Oestradiol; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Estradiol Bioavail SerPl-mCnc,Both,,,pg/mL,Estradiol (E2).bioavailable [Mass/volume] in Serum or Plasma,pg/mL,,,,16377,0,,,,,,1.0k,,E2.bioavailable [Mass/Vol]
14715-7,Estradiol,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,17-beta estradiol; Chemistry; E2; Gyn; Gynecology; Level; OB; ObGyn; Obstetrics; Oestradiol; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Estradiol SerPl-sCnc,Both,,,pmol/L,Estradiol (E2) [Moles/volume] in Serum or Plasma,pmol/L,,,,10040,0,,,,,,1.0k,,E2 [Moles/Vol]
14960-9,Estradiol.free/Estradiol.total,MFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,17-beta estradiol; Chemistry; E2; Estradiol Free; Estradiol.non-protein bound; FR; Gyn; Gynecology; Mass Fraction; Non-protein bound; OB; ObGyn; Obstetrics; Oestradiol; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,Estradiol Free MFr SerPl,Observation,,,%,Estradiol (E2) Free/Estradiol (E2).total in Serum or Plasma,%,,,,6685,0,,,,,,1.0k,,Free E2 [Mass fraction]
17844-2,Estradiol.albumin bound,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.40,MIN,,ACTIVE,,1,,,,,Y,17-beta estradiol; Alb; Associated; bnd; Chemistry; E2; Estradiol Albumin Bnd; Gyn; Gynecology; Level; Mass concentration; OB; ObGyn; Obstetrics; Oestradiol; Pl; Plasma; Plsm; Point in time; Protein.albumin; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Estradiol Albumin Bnd SerPl-mCnc,Both,,,pg/mL,Estradiol (E2).albumin bound [Mass/volume] in Serum or Plasma,pg/mL,,,,0,0,,,,,,1.0l,,E2.albumin bound [Mass/Vol]
2240-0,Estradiol.free,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,17-beta estradiol; Chemistry; E2; Estradiol Free; Estradiol.non-protein bound; FR; Gyn; Gynecology; Level; Mass concentration; Non-protein bound; OB; ObGyn; Obstetrics; Oestradiol; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Estradiol Free SerPl-mCnc,Both,,,pg/mL,Estradiol (E2) Free [Mass/volume] in Serum or Plasma,pg/mL,,,,5430,0,,,,,,1.0,,Free E2 [Mass/Vol]
