LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
111062-6,Ethanol,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Alc; Alcohol; Ethyl alcohol; EtOH; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Ethanol Msmt SerPl,Order,,,,Ethanol [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Ethanol [Measurement]
14336-2,Ethanol,MCnc,Pt,Ser/Plas,Qn,GC,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Alc; Alcohol; DRUG/TOXICOLOGY; Drugs; Ethyl alcohol; EtOH; Gas chromatography; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Ethanol SerPl GC-mCnc,Both,,,mg/dL,Ethanol [Mass/volume] in Serum or Plasma by Gas chromatography,mg/dL,,,,3105,0,,,,,,1.0k,,Ethanol Gas chromatography [Mass/Vol]
14719-9,Ethanol,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Alc; Alcohol; DRUG/TOXICOLOGY; Drugs; Ethyl alcohol; EtOH; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Ethanol SerPl-sCnc,Both,,,mmol/L,Ethanol [Moles/volume] in Serum or Plasma,mmol/L,,,,11995,0,,,,,,1.0k,,Ethanol [Moles/Vol]
20470-1,Ethanol,PrThr,Pt,Ser/Plas,Ord,Screen,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,,Alc; Alcohol; DRUG/TOXICOLOGY; Drugs; Ethyl alcohol; EtOH; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Scn; Scr; Screen; Scrn; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Ethanol SerPl Ql Scn,Both,,,,Ethanol [Presence] in Serum or Plasma by Screen method,,,,"The Property has been changed from ACnc to reflect new model for ordinal terms; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",5177,0,,,,,,1.0m,,Ethanol Screen Ql
35240-1,Ethanol,MSCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.42,MIN,,DISCOURAGED,,1,,,,,N,Alc; Alcohol; DRUG/TOXICOLOGY; Drugs; Ethyl alcohol; EtOH; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Ethanol SerPl-msCnc,Both,,,,Ethanol [Mass or Moles/volume] in Serum or Plasma,,,These were created for the sole purpose of facilitating use of LOINC for submissions for medication approval to the FDA and should not be used in routine laboratory reporting.,,0,0,,,,,,2.11,,Ethanol [Mass or moles/Vol]
48342-0,Ethanol+Methanol+Isopropyl alcohol+Acetone,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.46,MIN,"The test screens for the presence of ethanol, methanol, isopropyl alcohol and acetone.",ACTIVE,,1,,,,,N,2-propanone; Alc; Alcohol; Alcohol.XXX; alcoholic; DRUG/TOXICOLOGY; Drugs; Ethyl alcohol; EtOH; Ketone bodies; Level; Me2CO; MeOH; Methyl alcohol; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Alcohol.XXX SerPl-sCnc,Both,,,nmol/L,Ethanol+Methanol+Isopropyl alcohol+Acetone [Moles/volume] in Serum or Plasma,nmol/L,,,,0,0,,,,,,2.21,,Ethanol+Methanol+Isopropyl alcohol+Acetone [Moles/Vol]
50022-3,Ethanol+Methanol+Isopropyl alcohol+Acetone,PrThr,Pt,Ser/Plas/Bld,Ord,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,"Positive or Negative. If positive it is quantitated out, but we don't know what units a positive would report in. The quantitation is reported in the NTE section of the HL7-only positive or negative is reported as the result of the OBX. (Scale is ORD)",,,N,"2-propanone; Alc; Alcohol; Alcohol.XXX; alcoholic; Blood; DRUG/TOXICOLOGY; Drugs; Ethyl alcohol; EtOH; Ketone bodies; Me2CO; MeOH; Methyl alcohol; Ordinal; Pl; PlasBld; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; SerPlBld; Serum; Serum or plasma; Serum, plasma or whole blood; SR; WB; Whole blood",Alcohol.XXX SerPlBld Ql,Both,,,,"Ethanol+Methanol+Isopropyl alcohol+Acetone [Presence] in Serum, Plasma or Blood",,,,"The Property has been changed from ACnc to reflect the new model for ordinal terms where results are based on a cut-off value.; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",14011,0,,,,,,2.22,,Ethanol+Methanol+Isopropyl alcohol+Acetone Ql (S/P/Bld)
5642-4,Ethanol,PrThr,Pt,Ser/Plas,Ord,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,,Alc; Alcohol; DRUG/TOXICOLOGY; Drugs; Ethyl alcohol; EtOH; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Ethanol SerPl Ql,Both,,,,Ethanol [Presence] in Serum or Plasma,,,,"The Property has been changed from ACnc to reflect the new model for ordinal terms where results are based on a cut-off value.; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",12140,0,,,,,,1.0,,Ethanol Ql
5643-2,Ethanol,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Alc; Alcohol; DRUG/TOXICOLOGY; Drugs; Ethyl alcohol; EtOH; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Ethanol SerPl-mCnc,Both,,,mg/dL,Ethanol [Mass/volume] in Serum or Plasma,mg/dL,,,,281,267,,,,,,1.0,,Ethanol [Mass/Vol]
74859-0,Ethanol,MCnc,Pt,Bld,Qn,Estimated from serum or plasma level,DRUG/TOX,2.73,MIN,"Alcohol whole blood equivalent is estimated from the serum or plasma level and reported as a percent. The alcohol level in serum or plasma is usually 1.09 to 1.18 times higher than that in whole blood because the cellular component of whole blood dilutes the concentration. [http://www.clinlabnavigator.com/alcohol-ethanol-ethyl-alcohol.html, accessed 20190923] Conversion factors for estimated blood level from serum or plasma level range from 1.10-1.20, and different states or countries may have different legally accepted conversion factors.",ACTIVE,,1,"Blood alcohol level = (Serum or plasma ethanol/conversion factor)/1000, where conversion factors range from 1.10-1.20)",,,,,Alc; Alcohol; Blood; DRUG/TOXICOLOGY; Drugs; Est; Est from SerPl; estimation; Ethyl alcohol; EtOH; Level; Levels; Levl; LV; LVL; Mass concentration; Point in time; predicted; QNT; Quan; Quant; Quantitative; Random; Ser; SR; WB; Whole blood,Bld Ethanol Est from SerPl-mCnc,Observation,,,%,Ethanol [Mass/volume] in Blood Estimated from serum or plasma level,%,,,"Release 2.67: FORMULA: Added ""serum"" to formula since blood alcohol level can be calculated from serum or plasma levels.; METHOD_TYP: Added ""or plasma"" to Method since blood alcohol levels can be estimated from serum or plasma.",18965,0,,,,,,2.48,,Ethanol Estimated from serum or plasma level (Bld) [Mass/Vol]
