LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
103226-7,Fibrin+Fibrinogen fragments,MCnc,Pt,PPP,Qn,LA,COAG,2.75,ADD,,ACTIVE,,1,,,,,N,COAGULATION; Coagulation factor I; FDP; FgDP; FGN; Fibrin degradation products; Fibrin split products; Fibrinogen degradation products; Fibrinogen Frg; Fibrinogen related antigens; Frag; Fragment; FSP; LAT; Latex agglutination; Level; Mass concentration; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; TDP,FSP PPP LA-mCnc,Both,,,ug/mL,Fibrin+Fibrinogen fragments [Mass/volume] in Platelet poor plasma by Latex agglutination,ug/mL,,,,0,0,,,,,,2.75,,Fibrin+Fibrinogen fragments LA (PPP) [Mass/Vol]
109851-6,Fibrin+Fibrinogen fragments,{Measurement},-,PPP,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Coagulation factor I; FDP; FgDP; FGN; Fibrin degradation products; Fibrin split products; Fibrinogen degradation products; Fibrinogen Frg; Fibrinogen related antigens; Frag; Fragment; FSP; Lab orders; Msmt; Plas; Platelet poor plasma; TDP,FSP Msmt PPP,Order,,,,Fibrin+Fibrinogen fragments [Measurement] in Platelet poor plasma,,,,,0,0,,,,,,2.81,,Fibrin+Fibrinogen fragments (PPP) [Measurement]
110888-5,Fibrinogen,{Measurement},-,PPP,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Coagulation factor I; FGN; Lab orders; Msmt; Plas; Platelet poor plasma,Fibrinogen Msmt PPP,Order,,,,Fibrinogen [Measurement] in Platelet poor plasma,,,,,0,0,,,,,,2.81,,Fibrinogen (PPP) [Measurement]
16859-1,Fibrinogen,PrThr,Pt,PPP,Ord,,COAG,2.73,MIN,,ACTIVE,,1,,,,,,COAGULATION; Coagulation factor I; FGN; Hematology; Heme; Ordinal; Plas; Platelet poor plasma; Point in time; PR; QL; Qual; Qualitative; Random; Screen,Fibrinogen PPP Ql,Both,,,,Fibrinogen [Presence] in Platelet poor plasma,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",1949,0,,,,,,1.0l,,Fibrinogen Ql (PPP)
21002-1,Fibrinogen,Imp,Pt,PPP,Nom,,COAG,2.26,MIN,,ACTIVE,,1,,,,,,COAGULATION; Coagulation factor I; FGN; Hematology; Heme; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; Nominal; Plas; Platelet poor plasma; Point in time; Random,Fibrinogen PPP-Imp,Observation,,,,Fibrinogen [Interpretation] in Platelet poor plasma,,,,,0,0,,,,,,1.0m,,Fibrinogen (PPP) [Interp]
27990-1,Fibrinogen fragments,MCnc,Pt,PPP,Qn,LA,COAG,2.70,MIN,,ACTIVE,,1,,,,,Y,COAGULATION; Coagulation factor I; FgDP; FGN; Fibrinogen Frg; Frag; Fragment; Hematology; Heme; LAT; Latex agglutination; Level; Mass concentration; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random,Fibrinogen Frg PPP LA-mCnc,Both,,,ug/mL,Fibrinogen fragments [Mass/volume] in Platelet poor plasma by Latex agglutination,ug/mL,,,,0,0,,,,,,2.00,,Fibrinogen fragments LA (PPP) [Mass/Vol]
30226-5,Fibrin+Fibrinogen fragments,MCnc,Pt,PPP,Qn,,COAG,2.73,MIN,,ACTIVE,,1,,,,,N,COAGULATION; Coagulation factor I; FDP; FgDP; FGN; Fibrin degradation products; Fibrin split products; Fibrinogen degradation products; Fibrinogen Frg; Fibrinogen related antigens; Frag; Fragment; FSP; Hematology; Heme; Level; Mass concentration; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; TDP,FSP PPP-mCnc,Both,,,ug/mL,Fibrin+Fibrinogen fragments [Mass/volume] in Platelet poor plasma,ug/mL,,,,4604,0,,,,,,2.04,,Fibrin+Fibrinogen fragments (PPP) [Mass/Vol]
30902-1,Fibrinogen,MCnc,Pt,PPP,Qn,Heat denaturation,COAG,2.73,MIN,,ACTIVE,,1,,Fibrinogen (heat denaturation method) : 2.50 g/L,,,N,COAGULATION; Coagulation factor I; FGN; Hematology; Heme; Level; Mass concentration; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random,Fibrinogen PPP Heat Denat-mCnc,Both,,,g/L,Fibrinogen [Mass/volume] in Platelet poor plasma by Heat denaturation,g/L,,,,17686,0,,,,,,2.04,,Fibrinogen Heat denaturation (PPP) [Mass/Vol]
31158-9,Fibrinogen Ag/Fibrinogen,MRto,Pt,PPP,Qn,,COAG,2.73,MIN,,ACTIVE,,1,,,,,N,Antigen; Antigens; COAGULATION; Coagulation factor I; FGN; Func; Hematology; Heme; Mass concentration ratio; Mass ratio; MCRto; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random,Fibrinogen Ag/Func PPP,Both,,,,Fibrinogen Ag/Fibrinogen [Mass Ratio] in Platelet poor plasma,,,,,14943,0,,,,,,2.07,,Fibrinogen Ag/Fibrinogen (PPP) [Mass ratio]
3251-6,Fibrin+Fibrinogen fragments,ACnc,Pt,PPP,Qn,LA,COAG,2.73,MIN,,ACTIVE,,1,,,,,Y,Arbitrary concentration; COAGULATION; Coagulation factor I; FDP; FgDP; FGN; Fibrin degradation products; Fibrin split products; Fibrinogen degradation products; Fibrinogen Frg; Fibrinogen related antigens; Frag; Fragment; FSP; Hematology; Heme; LAT; Latex agglutination; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; TDP,FSP PPP LA-aCnc,Both,,,,Fibrin+Fibrinogen fragments [Units/volume] in Platelet poor plasma by Latex agglutination,[arb'U]/mL,,,,7142,0,,,,,,1.0,,Fibrin+Fibrinogen fragments LA Qn (PPP)
