LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
101309-3,Glucose^2H post dose arginine,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,MIN,,ACTIVE,,1,,,,,N,120 min; 120 minutes; 120min; 2 hours; 2h p Arg; After; Arg; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Glucose 2h p Arg SerPl-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Serum or Plasma --2 hours post dose arginine,mg/dL,,,,0,0,,,,,,2.74,,Glucose 2 Hr post dose arginine [Mass/Vol]
101980-1,"Glucose, somatotropin and cortisol post insulin administration",-,Pt,Ser/Plas,-,,PANEL.CHAL,2.76,MAJ,,ACTIVE,,1,,,,,N,17-Hydroxycorticosterone; After; CHEMISTRY.CHALLENGE TESTING; Compound F; Coritsol; Cort; F; GH; Glu; Glu tol; Gluc; Gluc+som+cort p insu pnl; Glucose tolerance; Glucoseur; Growth hormone; GTT; HGH; HUM; Human growth hormone; Humulin; hydrocortisone; IH7; Insul; Lente; NPH; Pan; Panel; PANEL.CHALLENGE; Panl; Pl; Plasma; Plsm; Pnl; Point in time; PST; Random; Semilente; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sliding; Somatotropic hormone; SR; STH; Ultralente,Gluc+som+cort p insu pnl SerPl,Order,,,,"Glucose, somatotropin and cortisol post insulin administration in Serum or Plasma",,,,,0,0,,,Panel,,,2.75,,"Glucose, somatotropin and cortisol post insulin administration"
102018-9,Glucose^1H post dose glucagon,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,1 hour; 1.0Hr; 1h p Gc; 60 min; 60 minutes; 60M; 60min; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; HGF; Hyperglycemic factor; Level; Mass concentration; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Glucose 1h p Gc SerPl-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Serum or Plasma --1 hour post dose glucagon,mmol/L,,,,0,0,,,,,,2.75,,Glucose 1 Hr post dose glucagon [Mass/Vol]
102019-7,Glucose^1.5H post dose glucagon,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,1 1/2 hours; 1 1/2 HR; 1.5h p Gc; 1.5Hr; 90 min; 90 minutes; 90M; 90min; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; HGF; Hyperglycemic factor; Level; Mass concentration; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Glucose 1.5h p Gc SerPl-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Serum or Plasma --1.5 hours post dose glucagon,mg/dL,,,,0,0,,,,,,2.75,,Glucose 1.5 Hr post dose glucagon [Mass/Vol]
102020-5,Glucose^2H post dose glucagon,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,120 min; 120 minutes; 120min; 2 hours; 2h p Gc; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; HGF; Hyperglycemic factor; Level; Mass concentration; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Glucose 2h p Gc SerPl-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Serum or Plasma --2 hours post dose glucagon,mmol/L,,,,0,0,,,,,,2.75,,Glucose 2 Hr post dose glucagon [Mass/Vol]
102021-3,Glucose^2.5H post dose glucagon,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,2.5h p Gc; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; HGF; Hyperglycemic factor; Level; Mass concentration; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Glucose 2.5h p Gc SerPl-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Serum or Plasma --2.5 hours post dose glucagon,mmol/L,,,,0,0,,,,,,2.75,,Glucose 2.5 Hr post dose glucagon [Mass/Vol]
102022-1,Glucose^3H post dose glucagon,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,3h p Gc; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; HGF; Hyperglycemic factor; Level; Mass concentration; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Glucose 3h p Gc SerPl-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Serum or Plasma --3 hours post dose glucagon,mmol/L,,,,0,0,,,,,,2.75,,Glucose 3 Hr post dose glucagon [Mass/Vol]
102032-0,Glucose^2H post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,120 min; 120 minutes; 120min; 2 hours; 2h p Ins IV; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; HUM; Humulin; IH7; Insul; Lente; Level; Mass concentration; NPH; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Semilente; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sliding; SR; Ultralente,Glucose 2h p Ins IV SerPl-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Serum or Plasma --2 hours post dose insulin IV,mg/dL,,,,0,0,,,,,,2.75,,Glucose 2 Hr post dose insulin IV [Mass/Vol]
10449-7,Glucose^1H post meal,MCnc,Pt,Ser/Plas,Qn,,CHAL.ROUTINE,2.73,MIN,,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p meal; 60 min; 60 minutes; 60M; 60min; After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p meal; PC; Pl; Plasma; Plsm; Point in time; Post Pran; Post prandial; PP; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Glucose 1h p meal SerPl-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Serum or Plasma --1 hour post meal,mg/dL,,,"Changed Class from ""CHAL"" to ""CHAL.ROUTINE""",3381,0,,,,,,1.0i,,Glucose 1 Hr post meal [Mass/Vol]
10450-5,Glucose^post 10H CFst,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; Calorie Fast; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Fast; Fasting; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p 10h fast; PC; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Glucose p 10h fast SerPl-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Serum or Plasma --10 hours fasting,mg/dL,,,,12985,0,,,,,,1.0i,,Glucose post 10 Hr fast [Mass/Vol]
