LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
108027-4,Glucose,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Glu; Gluc; Glucoseur; Lab orders; Msmt; UA; UR; Urn,Glucose Msmt Ur,Order,,,,Glucose [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Glucose (U) [Measurement]
10966-0,Glucose^2.5H post 75 g glucose PO,PrThr,Pt,Urine,Ord,Test strip,CHAL,2.77,MAJ,,ACTIVE,,1,,,,,,2.5h p 75 g Glc PO; 75Gm; After; CHEMISTRY.CHALLENGE TESTING; Dip stick; Dipstick; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Ordinal; p 75 g Glc PO; Point in time; PR; PST; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Glucose 2.5h p 75 g Glc PO Ur Ql Strip,Observation,,,,Glucose [Presence] in Urine by Test strip --2.5 hours post 75 g glucose PO,,,,"Release 2.77: SCALE_TYP: Updated the Scale back to Ord as these were inadvertently set to SemiQn during the 2.75 release when we added SemiQn.; Previous Releases: The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,1.0j-a,,Glucose 2.5 Hr post 75 g glucose PO Test strip Ql (U)
10967-8,Glucose^3.5H post 75 g glucose PO,PrThr,Pt,Urine,Ord,Test strip,CHAL,2.77,MAJ,,ACTIVE,,1,,,,,,3.5h p 75 g Glc PO; 75Gm; After; CHEMISTRY.CHALLENGE TESTING; Dip stick; Dipstick; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Ordinal; p 75 g Glc PO; Point in time; PR; PST; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Glucose 3.5h p 75 g Glc PO Ur Ql Strip,Observation,,,,Glucose [Presence] in Urine by Test strip --3.5 hours post 75 g glucose PO,,,,"Release 2.77: SCALE_TYP: Updated the Scale back to Ord as these were inadvertently set to SemiQn during the 2.75 release when we added SemiQn.; Previous Releases: The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,1.0j-a,,Glucose 3.5 Hr post 75 g glucose PO Test strip Ql (U)
10968-6,Glucose^4.5H post 75 g glucose PO,PrThr,Pt,Urine,Ord,Test strip,CHAL,2.77,MAJ,,ACTIVE,,1,,,,,,270 min; 4 1/2 hours; 4.5h p 75 g Glc PO; 75Gm; After; CHEMISTRY.CHALLENGE TESTING; Dip stick; Dipstick; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Ordinal; p 75 g Glc PO; Point in time; PR; PST; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Glucose 4.5h p 75 g Glc PO Ur Ql Strip,Observation,,,,Glucose [Presence] in Urine by Test strip --4.5 hours post 75 g glucose PO,,,,"Release 2.77: SCALE_TYP: Updated the Scale back to Ord as these were inadvertently set to SemiQn during the 2.75 release when we added SemiQn.; Previous Releases: The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,1.0j-a,,Glucose 4.5 Hr post 75 g glucose PO Test strip Ql (U)
110522-0,Glucose/Creatinine,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,CR; Crea; Creat; Glu; Gluc; Glucoseur; Lab orders; Msmt; UA; UCr; UR; Urn,Glucose/Creat Msmt Ur,Order,,,,Glucose/Creatinine [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Glucose/Creatinine (U) [Measurement]
1491-0,Glucose^30M post 100 g glucose PO,MCnc,Pt,Urine,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,30M p 100 g Glc PO; After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p 100 g Glc PO; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,Glucose 30M p 100 g Glc PO Ur-mCnc,Observation,,,mg/dL,Glucose [Mass/volume] in Urine --30 minutes post 100 g glucose PO,mg/dL,,,,19954,0,,,,,,1.0,,Glucose 30 Min post 100 g glucose PO (U) [Mass/Vol]
1495-1,Glucose^1.5H post 100 g glucose PO,MCnc,Pt,Urine,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,1 1/2 hours; 1 1/2 HR; 1.5h p 100 g Glc PO; 1.5Hr; 90 min; 90 minutes; 90M; 90min; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p 100 g Glc PO; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,Glucose 1.5h p 100 g Glc PO Ur-mCnc,Observation,,,mg/dL,Glucose [Mass/volume] in Urine --1.5 hours post 100 g glucose PO,mg/dL,,,,0,0,,,,,,1.0,,Glucose 1.5 Hr post 100 g glucose PO (U) [Mass/Vol]
1503-2,Glucose^1H post 100 g glucose PO,MCnc,Pt,Urine,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p 100 g Glc PO; 60 min; 60 minutes; 60M; 60min; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p 100 g Glc PO; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,Glucose 1h p 100 g Glc PO Ur-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Urine --1 hour post 100 g glucose PO,mg/dL,,,,5712,0,,,,,,1.0,,Glucose 1 Hr post 100 g glucose PO (U) [Mass/Vol]
1505-7,Glucose^1H post 50 g glucose PO,MCnc,Pt,Urine,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p 50 g Glc PO; 60 min; 60 minutes; 60M; 60min; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p 50 g Glc; p 50 g Glc PO; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,Glucose 1h p 50 g Glc PO Ur-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Urine --1 hour post 50 g glucose PO,mg/dL,,,,5733,0,,,,,,1.0,,Glucose 1 Hr post 50 g glucose PO (U) [Mass/Vol]
15076-3,Glucose,SCnc,Pt,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Glu; Gluc; Glucoseur; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; Substance concentration; UA; UR; Urn,Glucose Ur-sCnc,Both,,,mmol/L,Glucose [Moles/volume] in Urine,mmol/L,,,,0,0,,,,,,1.0k,,Glucose (U) [Moles/Vol]
