LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
16616-5,Cholesterol.in HDL/Cholesterol.in LDL,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; HDLc; HDL-C; Heart Disease; High density lipoprotein cholesterols; LDLc; LDL-C; Lipid; Low density lipoprotein cholesterol; Low density lipoprotein cholesterols; Mass concentration ratio; Mass ratio; MCRto; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TCHHDL,HDLc/LDLc SerPl,Observation,,,,Cholesterol in HDL/Cholesterol in LDL [Mass Ratio] in Serum or Plasma,,,,,4640,0,,,,,,1.0l,,Cholesterol in HDL/Cholesterol in LDL [Mass ratio]
2095-8,Cholesterol.in HDL/Cholesterol.total,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; HDLc; HDL-C; Heart Disease; High density lipoprotein cholesterols; Lipid; Mass concentration ratio; Mass ratio; MCRto; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TC; TCHHDL; Tot; Totl,HDLc SerPl,Both,,,ratio,Cholesterol in HDL/Cholesterol.total [Mass Ratio] in Serum or Plasma,{ratio},,,,1234,0,,,,,,1.0,,Cholesterol in HDL/Total Cholesterol [Mass ratio]
47228-2,Cholesterol.non HDL/Cholesterol.total,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; Heart Disease; LDL + IDL + VLDL; Lipid; Mass concentration ratio; Mass ratio; MCRto; NonHDLc; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TC; Tot; Totl,NonHDLc SerPl,Observation,,,,Cholesterol non HDL/Cholesterol.total [Mass Ratio] in Serum or Plasma,,,,,2968,0,,,,,,2.19,,Cholesterol non HDL/Total Cholesterol [Mass ratio]
48090-5,Cholesterol.in HDL/Cholesterol.in HDL+Cholesterol.in VLDL,SRto,Pt,Ser/Plas,Qn,,CHEM,2.42,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; HDLc; HDL-C; HDLc+VLDLc; Heart Disease; High density lipoprotein cholesterols; Lipid; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Scrto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration ratio; Substance ratio; TCHHDL; Very low density lipoprotein cholesterols; VLDLc,HDLc/HDLc+VLDLc SerPl-sRto,Observation,,,,Cholesterol in HDL/Cholesterol in HDL+VLDL [Molar ratio] in Serum or Plasma,,,,,0,0,,,,,,2.21,,Cholesterol in HDL/Cholesterol in HDL+VLDL [Molar ratio]
54467-6,Cholesterol.in HDL 2a/Cholesterol.in HDL.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; HDLc; HDL-C; HDLc 2a; Heart Disease; High density lipoprotein cholesterols; Lipid; Mass fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TCHHDL; Tot; Totl,HDLc 2a MFr SerPl Elph,Observation,,,%,Cholesterol in HDL 2a/Cholesterol in total HDL in Serum or Plasma by Electrophoresis,%,,,,13161,0,,,,,,2.27,,Cholesterol in HDL 2a/Cholesterol in total HDL Elph [Mass fraction]
54468-4,Cholesterol.in HDL 2b/Cholesterol.in HDL.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; HDLc; HDL-C; HDLc 2b; Heart Disease; High density lipoprotein cholesterols; Lipid; Mass fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TCHHDL; Tot; Totl,HDLc 2b MFr SerPl Elph,Observation,,,%,Cholesterol in HDL 2b/Cholesterol in total HDL in Serum or Plasma by Electrophoresis,%,,,,13004,0,,,,,,2.27,,Cholesterol in HDL 2b/Cholesterol in total HDL Elph [Mass fraction]
54469-2,Cholesterol.in HDL 3a/Cholesterol.in HDL.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; HDLc; HDL-C; HDLc 3a; Heart Disease; High density lipoprotein cholesterols; Lipid; Mass fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TCHHDL; Tot; Totl,HDLc 3a MFr SerPl Elph,Observation,,,%,Cholesterol in HDL 3a/Cholesterol in total HDL in Serum or Plasma by Electrophoresis,%,,,,10764,0,,,,,,2.27,,Cholesterol in HDL 3a/Cholesterol in total HDL Elph [Mass fraction]
54470-0,Cholesterol.in HDL 3b/Cholesterol.in HDL.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; HDLc; HDL-C; HDLc 3b; Heart Disease; High density lipoprotein cholesterols; Lipid; Mass fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TCHHDL; Tot; Totl,HDLc 3b MFr SerPl Elph,Both,,,%,Cholesterol in HDL 3b/Cholesterol in total HDL in Serum or Plasma by Electrophoresis,%,,,,13246,0,,,,,,2.27,,Cholesterol in HDL 3b/Cholesterol in total HDL Elph [Mass fraction]
54471-8,Cholesterol.in HDL 3c/Cholesterol.in HDL.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; HDLc; HDL-C; HDLc 3c; Heart Disease; High density lipoprotein cholesterols; Lipid; Mass fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TCHHDL; Tot; Totl,HDLc 3c MFr SerPl Elph,Observation,,,%,Cholesterol in HDL 3c/Cholesterol in total HDL in Serum or Plasma by Electrophoresis,%,,,,13175,0,,,,,,2.27,,Cholesterol in HDL 3c/Cholesterol in total HDL Elph [Mass fraction]
70200-1,Cholesterol.in HDL/Cholesterol.total,SRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; HDLc; HDL-C; Heart Disease; High density lipoprotein cholesterols; Lipid; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Scrto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration ratio; Substance ratio; TC; TCHHDL; Tot; Totl,HDLc SerPl-sRto,Observation,,,mmol/mol,Cholesterol in HDL/Cholesterol.total [Molar ratio] in Serum or Plasma,mmol/mol,,,,16249,0,,,,,,2.40,,Cholesterol in HDL/Total Cholesterol [Molar ratio]
