LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
106634-9,Hemoglobin A1c/Hemoglobin.total,SRto,Pt,Bld,Qn,IFCC,CHEM,2.81,ADD,,DEPRECATED,,1,,,,,N,Blood; Chemistry; GHb; Glycated hemoglobin; Glycohaemogolobin; Glycohemogolobin; Glycosylated hemoglobin; HA1c; Haemoglobin; Hb; HbA1c; Hgb; Hgb A1c; International Federation of Clinical Chemistry and Laboratory Medicine; Point in time; QNT; Quan; Quant; Quantitative; Random; Scrto; Substance concentration ratio; Substance ratio; Tot; Totl; WB; Whole blood,Deprecated HbA1c Bld IFCC-sRto,Both,,,mmol/mol,Deprecated Hemoglobin A1c/Hemoglobin.total [Molar ratio] in Blood by IFCC protocol,mmol/mol,,Duplicate of 59261-8,,0,0,,,,,,2.81,,HbA1c IFCC protocol (Bld) [Molar fraction]
17855-8,Hemoglobin A1c/Hemoglobin.total,MFr,Pt,Bld,Qn,Calculated,CHEM,2.73,MIN,Changing from the property from Mass fraction to substance fraction has not effect on the meaning  when the  molecular weight of the numerator and the denominator are the same (for practical purposes).  These terms had had a property of MFR in the past and we changed to SFR because we thought the LOINC community preferred SFR for HbA1c. But we mis understood the preference is to use the MFR variant- so we have changed back.,ACTIVE,,1,(average glucose level [mg/dL]+46.7)/28.7,,,,Y,Blood; Calc; Calculation; Chemistry; Endocrine; Endocrinology; GHb; Glycated hemoglobin; Glycohaemogolobin; Glycohemogolobin; Glycosylated hemoglobin; HA1c; Haemoglobin; Hb; HbA1c; Hgb; Hgb A1c; Mass fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; Tot; Totl; WB; Whole blood,HbA1c MFr Bld Calc,Both,,,%,Hemoglobin A1c/Hemoglobin.total in Blood by calculation,%,,,"Release 2.70: CLASS: Hgb A1C was originally placed in the HEM class, but is more correctly classified in CHEM.;",2688,0,,,,,,1.0l,,HbA1c Calc (Bld) [Mass fraction]
17856-6,Hemoglobin A1c/Hemoglobin.total,MFr,Pt,Bld,Qn,HPLC,CHEM,2.73,MIN,Changing from the property from Mass fraction to substance fraction has not effect on the meaning  when the  molecular weight of the numerator and the denominator are the same (for practical purposes).  These terms had had a property of MFR in the past and we changed to SFR because we thought the LOINC community preferred SFR for HbA1c. But we mis understood the preference is to use the MFR variant- so we have changed back.,ACTIVE,,1,,,,,Y,Blood; Chemistry; Endocrine; Endocrinology; GHb; Glycated hemoglobin; Glycohaemogolobin; Glycohemogolobin; Glycosylated hemoglobin; HA1c; Haemoglobin; Hb; HbA1c; Hgb; Hgb A1c; High performance liquid chromatography; High pressure liquid chromatography; Mass Fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; Tot; Totl; UniversalLabOrders; WB; Whole blood,HbA1c MFr Bld HPLC,Both,,,%,Hemoglobin A1c/Hemoglobin.total in Blood by HPLC,%,,,Release 2.70: CLASS: Changed Class from HEM/BC to CHEM as A1C tests are more correctly classified in CHEM.;,136,50,,,,,,1.0l,,HbA1c HPLC (Bld) [Mass fraction]
41995-2,Hemoglobin A1c,MCnc,Pt,Bld,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Blood; Chemistry; Endocrine; Endocrinology; GHb; Glycated hemoglobin; Glycohaemogolobin; Glycohemogolobin; Glycosylated hemoglobin; HA1c; Haemoglobin; Hb; HbA1c; Hgb; Hgb A1c; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood,HbA1c Bld-mCnc,Both,,,g/dL,Hemoglobin A1c [Mass/volume] in Blood,g/dL,,,Release 2.70: CLASS: Changed Class from HEM/BC to CHEM as A1C tests are more correctly classified in CHEM.;,296,0,,,,,,2.16,,HbA1c (Bld) [Mass/Vol]
4548-4,Hemoglobin A1c/Hemoglobin.total,MFr,Pt,Bld,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Blood; Chemistry; Endocrine; Endocrinology; GHb; Glycated hemoglobin; Glycohaemogolobin; Glycohemogolobin; Glycosylated hemoglobin; HA1c; Haemoglobin; Hb; HbA1c; Hgb; Hgb A1c; Mass fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; Tot; Totl; WB; Whole blood,HbA1c MFr Bld,Both,,,%,Hemoglobin A1c/Hemoglobin.total in Blood,%,,,Release 2.70: CLASS: Changed Class from HEM/BC to CHEM as A1C tests are more correctly classified in CHEM.; Previous Releases: Changing from the property from Mass fraction to substance fraction has not effect on the meaning when the molecular weight of the numerator and the denominator are the same (for practical purposes). These terms had had a property of MFR in the past and we changed to SFR because we thought the LOINC community preferred SFR for HbA1c. But we mis understood the preference is to use the MFR variant- so we have changed back.,88,48,,,,,,1.0,,HbA1c (Bld) [Mass fraction]
4549-2,Hemoglobin A1c/Hemoglobin.total,MFr,Pt,Bld,Qn,Electrophoresis,CHEM,2.73,MIN,Changing from the property from Mass fraction to substance fraction has not effect on the meaning  when the  molecular weight of the numerator and the denominator are the same (for practical purposes).  These terms had had a property of MFR in the past and we changed to SFR because we thought the LOINC community preferred SFR for HbA1c. But we mis understood the preference is to use the MFR variant- so we have changed back.,ACTIVE,,1,,,,,Y,Blood; Chemistry; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Endocrine; Endocrinology; Ep; GHb; Glycated hemoglobin; Glycohaemogolobin; Glycohemogolobin; Glycosylated hemoglobin; HA1c; Haemoglobin; Hb; HbA1c; Hgb; Hgb A1c; Mass fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; Tot; Totl; WB; Whole blood,HbA1c MFr Bld Elph,Both,,,%,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,%,,,Release 2.70: CLASS: Changed Class from HEM/BC to CHEM as A1C tests are more correctly classified in CHEM.;,6089,0,,,,,,1.0,,HbA1c Elph (Bld) [Mass fraction]
55454-3,Hemoglobin A1c,-,Pt,Bld,-,,LABORDERS,2.66,DEL,"Created ONLY for ORDERING in response to request from Canada Health Infoway- a national standardization effort. The dashes in this case mean that the ordering provider does not care what property or scale is used in the observation performed in response to this order. LOINC is still pondering details about how this kind of item should be represented. So the representation might change in the future, but the term will still have the same usage and meaning.",DEPRECATED,,1,,,,,N,Blood; GHb; Glycated hemoglobin; Glycohaemogolobin; Glycohemogolobin; Glycosylated hemoglobin; HA1c; Haemoglobin; Hb; HbA1c; Hgb; Hgb A1c; Lab orders; LimitedUseLabOrders; Point in time; Random; WB; Whole blood,Deprecated Hgb A1c Bld,Order,,,,Deprecated Hemoglobin A1c in Blood,,,"Based on extensive review of mappings and usage across Canada, Canada Health Infoway found that the limited use LABORDER codes are not being used. CHI and the Laboratory LOINC Committee agreed that these codes should be deprecated in order to minimize inadvertent mapping of observations to these terms (as has been reported).",,0,0,,,,,,2.27,,HbA1c (Bld)
59261-8,Hemoglobin A1c/Hemoglobin.total^^standardized per IFCC-RMP for CDT,SFr,Pt,Bld,Qn,,CHEM,2.81,NAM,"This term is not proposed for use in the United States, who will continue to use the NGSP protocol and report the Hgb A1c as %.",ACTIVE,,1,,HbA1c (IFCC) 53 mmol/mol,,,N,Blood; Chemistry; Endocrine; Endocrinology; GHb; Glycated hemoglobin; Glycohaemogolobin; Glycohemogolobin; Glycosylated hemoglobin; HA1c; Haemoglobin; Hb; HbA1c; HbA1c /HbTotal per IFCC-RMP for CDT; Hgb; Hgb A1c; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; Substance fraction; Tot; Totl; WB; Whole blood,HbA1c per IFCC-RMP for CDT SFr Bld,Both,,,mmol/mol,Hemoglobin A1c/Hemoglobin.total standardized per IFCC-RMP for CDT in Blood,%,,,Release 2.70: CLASS: Changed Class from HEM/BC to CHEM as A1C tests are more correctly classified in CHEM.;,2804,0,,,,,,2.32,,HbA1c standardized per IFCC-RMP for CDT (Bld) [Molar fraction]
62388-4,Hemoglobin A1c/Hemoglobin.total,MFr,Pt,Bld,Qn,JDS/JSCC,CHEM,2.70,MIN,"Japan is the main country that uses this protocol, but not exclusively.",ACTIVE,,1,,,,,N,Blood; Chemistry; Endocrine; Endocrinology; GHb; Glycated hemoglobin; Glycohaemogolobin; Glycohemogolobin; Glycosylated hemoglobin; HA1c; Haemoglobin; Hb; HbA1c; Hgb; Hgb A1c; Japanese Diabetes Society/Japanese Society for Clinical Chemistry; Mass fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; Tot; Totl; WB; Whole blood,HbA1c MFr Bld JDS/JSCC,Both,,,%,Hemoglobin A1c/Hemoglobin.total in Blood by JDS/JSCC protocol,%,,,Release 2.70: CLASS: Changed Class from HEM/BC to CHEM as A1C tests are more correctly classified in CHEM.;,0,0,,,,,,2.34,,HbA1c JDS/JSCC protocol (Bld) [Mass fraction]
71875-9,Hemoglobin A1c/Hemoglobin.total,MFr.DF,Pt,Bld,Qn,,CHEM,2.73,MIN,"Because of the confusion that occurs in countries that report results as both decimal fraction and percent, this property was created to represent decimal fractions that are reported without units.",ACTIVE,,1,,,,,,Blood; Chemistry; Endocrine; Endocrinology; GHb; Glycated hemoglobin; Glycohaemogolobin; Glycohemogolobin; Glycosylated hemoglobin; HA1c; Haemoglobin; Hb; HbA1c; Hgb; Hgb A1c; Point in time; QNT; Quan; Quant; Quantitative; Random; Tot; Totl; WB; Whole blood,HbA1c MFr.DF Bld,Both,,,,Hemoglobin A1c/Hemoglobin.total [Pure mass fraction] in Blood,,,,Release 2.70: CLASS: Changed Class from HEM/BC to CHEM as A1C tests are more correctly classified in CHEM.;,3558,0,,,,,,2.40,,HbA1c (Bld) [Pure mass fraction]
