LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
10346-5,Hemoglobin A,ACnc,Pt,Bld,Qn,Electrophoresis,HEM/BC,2.73,MIN,,ACTIVE,,1,,,,,Y,Arbitrary concentration; Blood; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Haemoglobin; Hb; HbA; HEMATOLOGY/CELL COUNTS; Hgb; Hgb A; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood,Hgb A Bld Elph-aCnc,Observation,,,,Hemoglobin A [Units/volume] in Blood by Electrophoresis,[arb'U]/mL,,,,5871,0,,,,,,1.0i,,Hemoglobin A Elph Qn (Bld)
103750-6,Hemoglobin,SCnc,Pt,BldCoV,Qn,,HEM/BC,2.77,ADD,,ACTIVE,,1,,,,,N,Bld cord; Cord BldV; Cord venous blood; Haemoglobin; Hb; HEMATOLOGY/CELL COUNTS; Hgb; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; Substance concentration,Hgb BldCoV-SCnc,Order,,,,Hemoglobin [Moles/volume] in Venous cord blood,,,,,0,0,,,,,,2.77,,Hemoglobin (BldCoV) [Moles/Vol]
105040-0,Hemoglobin,MCnc,Pt,BldMV,Qn,Calculated,HEM/BC,2.78,ADD,,ACTIVE,,1,,,,,N,Bld mixed venous; Blood - mixed venous; Calc; Calculation; Haemoglobin; Hb; HEMATOLOGY/CELL COUNTS; Hgb; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random,Hgb BldMV Calc-mCnc,Observation,,,g/dL,Hemoglobin [Mass/volume] in Mixed venous blood by calculation,g/dL,,,,0,0,,,,,,2.78,,Hemoglobin Calc (BldMV) [Mass/Vol]
105274-5,Hemoglobin,MCnc,Pt,BldV,Qn,Calculated,HEM/BC,2.78,ADD,,ACTIVE,,1,,,,,N,Bld ven; Bld venous; Blood - venous; Blood ven; Blood venus; Calc; Calculation; Haemoglobin; Hb; HEMATOLOGY/CELL COUNTS; Hgb; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; Venous,Hgb BldV Calc-mCnc,Both,,,g/dL,Hemoglobin [Mass/volume] in Venous blood by calculation,g/dL,,,,0,0,,,,,,2.78,,Hemoglobin Calc (BldV) [Mass/Vol]
105300-8,Hemoglobin,SCnc,Pt,BldMV,Qn,,HEM/BC,2.78,ADD,,ACTIVE,,1,,,,,N,Bld mixed venous; Blood - mixed venous; Haemoglobin; Hb; HEMATOLOGY/CELL COUNTS; Hgb; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; Substance concentration,Hgb BldMV-sCnc,Both,,,mmol/L,Hemoglobin [Moles/volume] in Mixed venous blood,mmol/L,,,,0,0,,,,,,2.78,,Hemoglobin (BldMV) [Moles/Vol]
106634-9,Hemoglobin A1c/Hemoglobin.total,SRto,Pt,Bld,Qn,IFCC,CHEM,2.81,ADD,,DEPRECATED,,1,,,,,N,Blood; Chemistry; GHb; Glycated hemoglobin; Glycohaemogolobin; Glycohemogolobin; Glycosylated hemoglobin; HA1c; Haemoglobin; Hb; HbA1c; Hgb; Hgb A1c; International Federation of Clinical Chemistry and Laboratory Medicine; Point in time; QNT; Quan; Quant; Quantitative; Random; Scrto; Substance concentration ratio; Substance ratio; Tot; Totl; WB; Whole blood,Deprecated HbA1c Bld IFCC-sRto,Both,,,mmol/mol,Deprecated Hemoglobin A1c/Hemoglobin.total [Molar ratio] in Blood by IFCC protocol,mmol/mol,,Duplicate of 59261-8,,0,0,,,,,,2.81,,HbA1c IFCC protocol (Bld) [Molar fraction]
108287-4,Hemoglobin.reticulocyte-Hemoglobin.RBC (delta),EntMassDiff,Pt,Bld,Qn,,HEM/BC,2.82,MIN,,ACTIVE,,1,,,,,N,Blood; Haemoglobin; Hb; HEMATOLOGY/CELL COUNTS; Hgb; Point in time; QNT; Quan; Quant; Quantitative; Random; Ret-He-RBC-He (Delta); WB; Whole blood,Ret-He-RBC-He (Delta) EntMassDiff Bld,Both,,,pg,Reticulocyte - RBC Hemoglobin [Entitic mass difference] in Blood,pg,,,,0,0,,,,,,2.81,,Reticulocyte - RBC Hemoglobin (Bld) [Entitic mass difference]
109484-6,Hemoglobin,{Measurement},-,BldA,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; Haemoglobin; Hb; Hgb; Lab orders; Msmt,Hgb Msmt BldA,Order,,,,Hemoglobin [Measurement] in Arterial blood,,,,,0,0,,,,,,2.81,,Hemoglobin (BldA) [Measurement]
109575-1,Hemoglobin H,{Measurement},-,Bld,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Blood; Haemoglobin; Hb; Hgb; Hgb H; Lab orders; Msmt; WB; Whole blood,Hgb H Msmt Bld,Order,,,,Hemoglobin H [Measurement] in Blood,,,,,0,0,,,,,,2.81,,Hemoglobin H (Bld) [Measurement]
109886-2,Hemoglobin,{Measurement},-,BldV,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Bld ven; Bld venous; Blood - venous; Blood ven; Blood venus; Haemoglobin; Hb; Hgb; Lab orders; Msmt; Venous,Hgb Msmt BldV,Order,,,,Hemoglobin [Measurement] in Venous blood,,,,,0,0,,,,,,2.81,,Hemoglobin (BldV) [Measurement]
109887-0,Hemoglobin,{Measurement},-,BldMV,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Bld mixed venous; Blood - mixed venous; Haemoglobin; Hb; Hgb; Lab orders; Msmt,Hgb Msmt BldMV,Order,,,,Hemoglobin [Measurement] in Mixed venous blood,,,,,0,0,,,,,,2.81,,Hemoglobin (BldMV) [Measurement]
