LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100837-4,Insulin-like growth factor-I^9th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,After; CHEMISTRY.CHALLENGE TESTING; Fac; Fact; Factor 1; FI; HUM; Humulin; IGF; IGF1; IGF-1; IGF-I; IH7; Insul; Lente; Level; Mass concentration; NPH; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Semilente; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sliding; Somatomedin C; sp9; sp9 p chal; Spec; SR; Ultralente,IGF-I sp9 p chal SerPl-mCnc,Both,,,ng/mL,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma --9th specimen post XXX challenge,ng/mL,,,,0,0,,,,,,2.73,,Insulin-like growth factor-I 9th specimen post Unsp challenge [Mass/Vol]
101980-1,"Glucose, somatotropin and cortisol post insulin administration",-,Pt,Ser/Plas,-,,PANEL.CHAL,2.76,MAJ,,ACTIVE,,1,,,,,N,17-Hydroxycorticosterone; After; CHEMISTRY.CHALLENGE TESTING; Compound F; Coritsol; Cort; F; GH; Glu; Glu tol; Gluc; Gluc+som+cort p insu pnl; Glucose tolerance; Glucoseur; Growth hormone; GTT; HGH; HUM; Human growth hormone; Humulin; hydrocortisone; IH7; Insul; Lente; NPH; Pan; Panel; PANEL.CHALLENGE; Panl; Pl; Plasma; Plsm; Pnl; Point in time; PST; Random; Semilente; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sliding; Somatotropic hormone; SR; STH; Ultralente,Gluc+som+cort p insu pnl SerPl,Order,,,,"Glucose, somatotropin and cortisol post insulin administration in Serum or Plasma",,,,,0,0,,,Panel,,,2.75,,"Glucose, somatotropin and cortisol post insulin administration"
102076-7,Insulin^3.5H post 75 g glucose PO,ACnc,Pt,Ser/Plas,Qn,,CHAL,2.75,ADD,,ACTIVE,,1,,,,,N,3.5h p 75 g Glc PO; 75Gm; After; Arbitrary concentration; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; HUM; Humulin; IH7; Insul; Lente; NPH; p 75 g Glc PO; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Semilente; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sliding; SR; Ultralente,Insulin 3.5h p 75 g Glc PO SerPl-aCnc,Both,,,uIU/mL,Insulin [Units/volume] in Serum or Plasma --3.5 hours post 75 g glucose PO,u[IU]/mL,,,,0,0,,,,,,2.75,,Insulin 3.5 Hr post 75 g glucose PO Qn
102387-8,Insulin bovine Ab.IgE,PrThr,Pt,Ser,SemiQn,RAST,ALLERGY,2.75,ADD,,ACTIVE,,1,,,,,N,ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Beef; c071; c71; HUM; Humulin; IH7; Immune globulin E; Immunoglobulin E; Insul; Lente; NPH; Point in time; PR; Radioallergosorbent test; Random; Semilente; Serum; Sliding; SmQn; SR; Ultralente,Insulin Bovine IgE RAST,Observation,,,,Insulin bovine IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),,,,,13029,0,,,,,,2.75,,Insulin bovine IgE RAST (S) [Presence]
102388-6,Insulin human Ab.IgE,PrThr,Pt,Ser,SemiQn,RAST,ALLERGY,2.75,ADD,,ACTIVE,,1,,,,,N,ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; c073; c73; HUM; Humulin; IH7; Immune globulin E; Immunoglobulin E; Insul; Lente; NPH; Point in time; PR; Radioallergosorbent test; Random; Semilente; Serum; Sliding; SmQn; SR; Ultralente,Insulin Human IgE RAST,Observation,,,,Insulin human IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),,,,,13625,0,,,,,,2.75,,Insulin human IgE RAST (S) [Presence]
102389-4,Insulin porcine Ab.IgE,PrThr,Pt,Ser,SemiQn,RAST,ALLERGY,2.75,ADD,,ACTIVE,,1,,,,,N,ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; c070; c70; HUM; Humulin; IH7; Immune globulin E; Immunoglobulin E; Insul; Lente; NPH; Point in time; Pork; PR; Radioallergosorbent test; Random; Semilente; Serum; Sliding; SmQn; SR; Swine; Ultralente,Insulin Porcine IgE RAST,Observation,,,,Insulin porcine IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),,,,,13030,0,,,,,,2.75,,Insulin porcine IgE RAST (S) [Presence]
10833-2,Insulin^7H post 75 g glucose PO,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.40,MIN,,ACTIVE,,1,,,,,Y,75Gm; 7h p 75 g Glc PO; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; HUM; Humulin; IH7; Insul; Lente; Level; Mass concentration; NPH; p 75 g Glc PO; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; Semilente; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sliding; SR; Ultralente,Insulin 7h p 75 g Glc PO SerPl-mCnc,Observation,,,ug/L,Insulin [Mass/volume] in Serum or Plasma --7 hours post 75 g glucose PO,ug/L,,,,0,0,,,,,,1.0j-a,,Insulin 7 Hr post 75 g glucose PO [Mass/Vol]
108829-3,Insulin.free,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,FR; HUM; Humulin; IH7; Insul; Insulin Free; Lab orders; Lente; Msmt; Non-protein bound; NPH; Pl; Plasma; Plsm; Semilente; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sliding; SR; Ultralente,Insulin Free Msmt SerPl,Order,,,,Insulin Free [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Insulin Free [Measurement]
109297-2,Insulin receptor Ab,{Measurement},-,Ser,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; HUM; Humulin; IH7; Insul; Lab orders; Lente; Msmt; NPH; Rec; Recept; Receptors; Recp; Recptr; Semilente; Serum; Sliding; SR; Ultralente,Insulin Recep Ab Msmt Ser,Order,,,,Insulin receptor Ab [Measurement] in Serum,,,,,0,0,,,,,,2.81,,Insulin receptor Ab (S) [Measurement]
109298-0,Insulin porcine Ab,{Measurement},-,Ser,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; c070; c70; HUM; Humulin; IH7; Insul; Lab orders; Lente; Msmt; NPH; Pork; Semilente; Serum; Sliding; SR; Swine; Ultralente,Insulin Porcine Ab Msmt Ser,Order,,,,Insulin porcine Ab [Measurement] in Serum,,,,,0,0,,,,,,2.81,,Insulin porcine Ab (S) [Measurement]
