LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
108737-8,Iron binding capacity.unsaturated,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Bind; dTIBC; Fe; IBC; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TIBC; Total iron binding; UIBC; Unsat,UIBC Msmt SerPl,Order,,,,Iron binding capacity.unsaturated [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Iron binding capacity.unsaturated [Measurement]
108738-6,Iron binding capacity,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Bind; dTIBC; Fe; IBC; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TIBC; Total iron binding,TIBC Msmt SerPl,Order,,,,Iron binding capacity [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Iron binding capacity [Measurement]
110269-8,Iron,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Fe; Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Iron Msmt SerPl,Order,,,,Iron [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Iron [Measurement]
13452-8,Iron/Transferrin,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Fe; Mass concentration ratio; Mass ratio; MCRto; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Siderophilin; SR; Tf; Trf; TRFRN,Iron/Transferrin SerPl,Observation,,,ug/g,Iron/Transferrin [Mass Ratio] in Serum or Plasma,ug/g,,,,3199,0,,,,,,1.0j-a,,Iron/Transferrin [Mass ratio]
14797-5,Iron,Imp,Pt,Ser/Plas,Nom,,CHEM,2.26,MIN,,ACTIVE,,1,,,,,,Chemistry; Fe; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; Nominal; Pl; Plasma; Plsm; Point in time; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Iron SerPl-Imp,Observation,,,,Iron [Interpretation] in Serum or Plasma,,,,,0,0,,,,,,1.0k,,Iron [Interp]
14798-3,Iron,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Fe; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Iron SerPl-sCnc,Both,,,umol/L,Iron [Moles/volume] in Serum or Plasma,umol/L,,,,7265,0,,,,,,1.0k,,Iron [Moles/Vol]
14800-7,Iron binding capacity,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Bind; Chemistry; dTIBC; Fe; IBC; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; TIBC; Total iron binding,TIBC SerPl-sCnc,Both,,,umol/L,Iron binding capacity [Moles/volume] in Serum or Plasma,umol/L,,,,8130,0,,,,,,1.0k,,Iron binding capacity [Moles/Vol]
14801-5,Iron saturation,SFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,(Fe/TIBC)/100,,,,Y,Chemistry; Fe; FE/TIBC; Iron Satn; Iron/Iron binding capacity.total; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SAT; Satn; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance fraction; Transferrin saturation,Iron Satn SFr SerPl,Both,,,%,Iron saturation [Molar fraction] in Serum or Plasma,%,,,,1829,0,,,,,,1.0k,,Iron saturation [Molar fraction]
22753-8,Iron binding capacity.unsaturated,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Bind; Chemistry; dTIBC; Fe; IBC; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; TIBC; Total iron binding; UIBC; Unsat,UIBC SerPl-sCnc,Both,,,umol/L,Iron binding capacity.unsaturated [Moles/volume] in Serum or Plasma,umol/L,,,,13419,0,,,,,,1.0n,,Iron binding capacity.unsaturated [Moles/Vol]
2498-4,Iron,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Fe; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Iron SerPl-mCnc,Both,,,ug/L,Iron [Mass/volume] in Serum or Plasma,ug/dL,,,,175,270,,,,,,1.0,,Iron [Mass/Vol]
2500-7,Iron binding capacity,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Bind; Chemistry; dTIBC; Fe; IBC; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TIBC; Total iron binding; UniversalLabOrders,TIBC SerPl-mCnc,Both,,,ug/dL,Iron binding capacity [Mass/volume] in Serum or Plasma,ug/dL,,,,192,0,,,,,,1.0,,Iron binding capacity [Mass/Vol]
2501-5,Iron binding capacity.unsaturated,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Bind; Chemistry; dTIBC; Fe; IBC; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TIBC; Total iron binding; UIBC; UniversalLabOrders; Unsat,UIBC SerPl-mCnc,Both,,,ug/dL,Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma,ug/dL,,,,435,0,,,,,,1.0,,Iron binding capacity.unsaturated [Mass/Vol]
2502-3,Iron saturation,MFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,(Fe/TIBC)/100,,,,Y,Chemistry; Fe; FE/TIBC; Iron Satn; Iron/Iron binding capacity.total; Mass fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SAT; Satn; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Transferrin saturation,Iron Satn MFr SerPl,Both,,,%,Iron saturation [Mass Fraction] in Serum or Plasma,%,,,,191,0,,,,,,1.0,,Iron saturation [Mass fraction]
2505-6,Iron/Iron binding capacity.total,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,DISCOURAGED,,1,,,,,Y,Bind; Chemistry; dTIBC; Fe; IBC; Mass concentration ratio; Mass ratio; MCRto; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TC; TIBC; Tot; Total iron binding; Totl,Iron/TIBC SerPl,Observation,,,ratio,Iron/Iron binding capacity.total [Mass Ratio] in Serum or Plasma,{ratio},,This is the same as Iron saturation,,4210,0,,,,,,1.0,,Iron/TIBC [Mass ratio]
35214-6,Iron,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,MIN,,DISCOURAGED,,1,,,,,N,Chemistry; Fe; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Iron SerPl-msCnc,Both,,,,Iron [Mass or Moles/volume] in Serum or Plasma,,,These were created for the sole purpose of facilitating use of LOINC for submissions for medication approval to the FDA and should not be used in routine laboratory reporting.,,0,0,,,,,,2.11,,Iron [Mass or moles/Vol]
35215-3,Iron binding capacity,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,MIN,,DISCOURAGED,,1,,,,,N,Bind; Chemistry; dTIBC; Fe; IBC; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TIBC; Total iron binding,TIBC SerPl-msCnc,Both,,,,Iron binding capacity [Mass or Moles/volume] in Serum or Plasma,,,These were created for the sole purpose of facilitating use of LOINC for submissions for medication approval to the FDA and should not be used in routine laboratory reporting.,,0,0,,,,,,2.11,,Iron binding capacity [Mass or moles/Vol]
35216-1,Iron binding capacity.unsaturated,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,MIN,,DISCOURAGED,,1,,,,,N,Bind; Chemistry; dTIBC; Fe; IBC; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TIBC; Total iron binding; UIBC; Unsat,UIBC SerPl-msCnc,Both,,,,Iron binding capacity.unsaturated [Mass or Moles/volume] in Serum or Plasma,,,These were created for the sole purpose of facilitating use of LOINC for submissions for medication approval to the FDA and should not be used in routine laboratory reporting.,,0,0,,,,,,2.11,,Iron binding capacity.unsaturated [Mass or moles/Vol]
