LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
111413-1,Ketones,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Acetest; Acetoacetate; Acetoacetates; Acetone bodies; Ketone; Ketone bodies; Lab orders; Msmt; UA; UR; Urn,Ketones Msmt Ur,Order,,,,Ketones [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Ketones (U) [Measurement]
12448-7,Ketones^post CFst,MCnc,Pt,Urine,SemiQn,Test strip,CHAL,2.75,MAJ,Beta-hydroxybutyrate+Acetoacetate+Acetone,ACTIVE,,1,,,,,Y,Acetest; Acetoacetate; Acetoacetates; Acetone bodies; After; Calorie Fast; CHEMISTRY.CHALLENGE TESTING; Dip stick; Dipstick; Fast; Fasting; Ketone; Ketone bodies; Level; Mass concentration; p fast; PC; Point in time; PST; Random; SmQn; UA; UR; Urn,Ketones p fast Ur Strip-mCnc,Both,,,mg/dL,Ketones [Mass/volume] in Urine by Test strip --fasting,mg/dL,,,,10772,0,,,,,,1.0j-a,,Ketones post fast Test strip (U) [Mass/Vol]
12449-5,Ketones^1H post XXX challenge,MCnc,Pt,Urine,SemiQn,Test strip,CHAL,2.75,MAJ,Beta-hydroxybutyrate+Acetoacetate+Acetone,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p chal; 60 min; 60 minutes; 60M; 60min; Acetest; Acetoacetate; Acetoacetates; Acetone bodies; After; CHEMISTRY.CHALLENGE TESTING; Dip stick; Dipstick; Ketone; Ketone bodies; Level; Mass concentration; p chal; Point in time; PST; Random; SmQn; UA; UR; Urn,Ketones 1h p chal Ur Strip-mCnc,Observation,,,mg/dL,Ketones [Mass/volume] in Urine by Test strip --1 hour post XXX challenge,mg/dL,,,,11690,0,,,,,,1.0j-a,,Ketones 1 Hr post Unsp challenge Test strip (U) [Mass/Vol]
12450-3,Ketones^2H post XXX challenge,MCnc,Pt,Urine,SemiQn,Test strip,CHAL,2.75,MAJ,Beta-hydroxybutyrate+Acetoacetate+Acetone,ACTIVE,,1,,,,,Y,120 min; 120 minutes; 120min; 2 hours; 2h p chal; Acetest; Acetoacetate; Acetoacetates; Acetone bodies; After; CHEMISTRY.CHALLENGE TESTING; Dip stick; Dipstick; Ketone; Ketone bodies; Level; Mass concentration; p chal; Point in time; PST; Random; SmQn; UA; UR; Urn,Ketones 2h p chal Ur Strip-mCnc,Observation,,,mg/dL,Ketones [Mass/volume] in Urine by Test strip --2 hours post XXX challenge,mg/dL,,,,16698,0,,,,,,1.0j-a,,Ketones 2 Hr post Unsp challenge Test strip (U) [Mass/Vol]
12451-1,Ketones^3H post XXX challenge,MCnc,Pt,Urine,SemiQn,Test strip,CHAL,2.75,MAJ,Beta-hydroxybutyrate+Acetoacetate+Acetone,ACTIVE,,1,,,,,Y,3h p chal; Acetest; Acetoacetate; Acetoacetates; Acetone bodies; After; CHEMISTRY.CHALLENGE TESTING; Dip stick; Dipstick; Ketone; Ketone bodies; Level; Mass concentration; p chal; Point in time; PST; Random; SmQn; UA; UR; Urn,Ketones 3h p chal Ur Strip-mCnc,Observation,,,mg/dL,Ketones [Mass/volume] in Urine by Test strip --3 hours post XXX challenge,mg/dL,,,,16699,0,,,,,,1.0j-a,,Ketones 3 Hr post Unsp challenge Test strip (U) [Mass/Vol]
14138-2,Ketones^30M post XXX challenge,PrThr,Pt,Urine,Ord,,CHAL,2.73,MIN,Beta-hydroxybutyrate+Acetoacetate+Acetone,ACTIVE,,1,,,,,,30M p chal; Acetest; Acetoacetate; Acetoacetates; Acetone bodies; After; CHEMISTRY.CHALLENGE TESTING; Ketone; Ketone bodies; Ordinal; p chal; Point in time; PR; PST; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Ketones 30M p chal Ur Ql,Observation,,,,Ketones [Presence] in Urine --30 minutes post XXX challenge,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",12891,0,,,,,,1.0k,,Ketones 30 Min post Unsp challenge Ql (U)
14139-0,Ketones^4H post XXX challenge,PrThr,Pt,Urine,Ord,,CHAL,2.56,MIN,Beta-hydroxybutyrate+Acetoacetate+Acetone,ACTIVE,,1,,,,,,4h p chal; Acetest; Acetoacetate; Acetoacetates; Acetone bodies; After; CHEMISTRY.CHALLENGE TESTING; Ketone; Ketone bodies; Ordinal; p chal; Point in time; PR; PST; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Ketones 4h p chal Ur Ql,Observation,,,,Ketones [Presence] in Urine --4 hours post XXX challenge,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,1.0k,,Ketones 4 Hr post Unsp challenge Ql (U)
14140-8,Ketones^5H post XXX challenge,PrThr,Pt,Urine,Ord,,CHAL,2.56,MIN,Beta-hydroxybutyrate+Acetoacetate+Acetone,ACTIVE,,1,,,,,,5h p chal; Acetest; Acetoacetate; Acetoacetates; Acetone bodies; After; CHEMISTRY.CHALLENGE TESTING; Ketone; Ketone bodies; Ordinal; p chal; Point in time; PR; PST; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Ketones 5h p chal Ur Ql,Observation,,,,Ketones [Presence] in Urine --5 hours post XXX challenge,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,1.0k,,Ketones 5 Hr post Unsp challenge Ql (U)
14141-6,Ketones^6H post XXX challenge,PrThr,Pt,Urine,Ord,,CHAL,2.56,MIN,Beta-hydroxybutyrate+Acetoacetate+Acetone,ACTIVE,,1,,,,,,6h p chal; Acetest; Acetoacetate; Acetoacetates; Acetone bodies; After; CHEMISTRY.CHALLENGE TESTING; Ketone; Ketone bodies; Ordinal; p chal; Point in time; PR; PST; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Ketones 6h p chal Ur Ql,Observation,,,,Ketones [Presence] in Urine --6 hours post XXX challenge,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,1.0k,,Ketones 6 Hr post Unsp challenge Ql (U)
21355-3,Ketones^2.5H post XXX challenge,PrThr,Pt,Urine,Ord,,CHAL,2.56,MIN,,ACTIVE,,1,,,,,,2.5h p chal; Acetest; Acetoacetate; Acetoacetates; Acetone bodies; After; CHEMISTRY.CHALLENGE TESTING; Ketone; Ketone bodies; Ordinal; p chal; Point in time; PR; PST; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Ketones 2.5h p chal Ur Ql,Observation,,,,Ketones [Presence] in Urine --2.5 hours post XXX challenge,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,1.0m,,Ketones 2.5 Hr post Unsp challenge Ql (U)
