LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
104646-5,Leukocytes,Naric,Pt,Urine,Qn,Computer assisted,HEM/BC,2.78,ADD,,ACTIVE,,1,,,,,N,#/area; Artificial Intelligence; Automated detection; Comp Assist; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Number areic; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn; WBC; WBCs; White blood cell; White blood cells,WBC #/area Ur Comp Assist,Observation,,,/[HPF],Leukocytes [#/area] in Urine by Computer assisted method,/[HPF],,,,0,0,,,,,,2.78,,WBC Computer assisted (U) [#/Area]
105104-4,Leukocytes,Naric,Pt,Urine sed,Qn,,UA,2.78,ADD,,ACTIVE,,1,,,,,N,#/area; Leuc; Leuk; Leukocyte; Lkcs; Number areic; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS; WBC; WBCs; White blood cell; White blood cells,WBC #/area UrnS,Both,,,/[HPF],Leukocytes [#/area] in Urine sediment,/[HPF],,,,0,0,,,,,,2.78,,WBC (Urine sed) [#/Area]
105105-1,Leukocytes,PrThr,Pt,Urine sed,Ord,,UA,2.78,ADD,,ACTIVE,,1,,,,,N,Leuc; Leuk; Leukocyte; Lkcs; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS; WBC; WBCs; White blood cell; White blood cells,WBC UrnS Ql,Both,,,,Leukocytes [Presence] in Urine sediment,,,,,0,0,,,,,,2.78,,WBC Ql (Urine sed)
105112-7,Eosinophils/Leukocytes,NFr,Pt,Urine sed,Qn,,UA,2.79,NAM,,ACTIVE,,1,,,,,N,Eos; Eosin; Eosino; Eosinophil; Eosins; Leuc; Leuk; Leukocyte; Lkcs; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS; WBC; WBCs; White blood cell; White blood cells,Eosinophil NFr UrnS,Both,,,%,Eosinophils/Leukocytes in Urine sediment,%,,,"Release 2.79: COMPONENT: Triggered by Coll w SCT: This is a specific fraction case where the denominator is percentage or /100. Because the logic is that the percentage piece is captured by Property: NFr (Numeric Fraction), and by Unit: %, therefore, it is redundant to include ""100"" in the component;",0,0,,,,,,2.78,,Eosinophils/Leukocytes (Urine sed)
111204-4,Leukocytes,{Measurement},-,Urine sed,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Lab orders; Leuc; Leuk; Leukocyte; Lkcs; Msmt; UA; UR; Urine sediment; Urn; UrnS; WBC; WBCs; White blood cell; White blood cells,WBC Msmt UrnS,Order,,,,Leukocytes [Measurement] in Urine sediment,,,,,0,0,,,,,,2.81,,WBC (Urine sed) [Measurement]
12210-1,Eosinophils/Leukocytes,NFr,Pt,Urine sed,Qn,Manual count,UA,2.79,NAM,,ACTIVE,,1,,,,,Y,Eos; Eosin; Eosino; Eosinophil; Eosins; Kidney; Leuc; Leuk; Leukocyte; Lkcs; Manl; Nephrology; Number Fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; Renal; UA; UniversalLabOrders; UR; URINALYSIS; Urine sediment; Urn; UrnS; WBC; WBCs; White blood cell; White blood cells,Eosinophil NFr UrnS Manual,Both,,,%,Eosinophils/Leukocytes in Urine sediment by Manual count,%,,,"Release 2.79: COMPONENT: Triggered by Coll w SCT: This is a specific fraction case where the denominator is percentage or /100. Because the logic is that the percentage piece is captured by Property: NFr (Numeric Fraction), and by Unit: %, therefore, it is redundant to include ""100"" in the component;",1183,0,,,,,,1.0j-a,,Eosinophils/Leukocytes Manual cnt (Urine sed)
14378-4,Granulocytes/Leukocytes,NFr,Pt,Urine,Qn,Manual count,HEM/BC,2.79,NAM,,ACTIVE,,1,,,,,Y,Gran; Grans; Granulocyte; Granulocytes; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Manl; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn; WBC; WBCs; White blood cell; White blood cells,Granulocytes NFr Ur Manual,Observation,,,%,Granulocytes/Leukocytes in Urine by Manual count,%,,,"Release 2.79: COMPONENT: Triggered by Coll w SCT: This is a specific fraction case where the denominator is percentage or /100. Because the logic is that the percentage piece is captured by Property: NFr (Numeric Fraction), and by Unit: %, therefore, it is redundant to include ""100"" in the component;",0,0,,,,,,1.0k,,Granulocytes/Leukocytes Manual cnt (U)
14384-2,Mononuclear cells/Leukocytes,NFr,Pt,Urine sed,Qn,Manual count,UA,2.79,NAM,,ACTIVE,,1,,,,,Y,Cell; Cellularity; Leuc; Leuk; Leukocyte; Lkcs; Manl; Mononuc; Mononuc Cells; Number Fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS; WBC; WBCs; White blood cell; White blood cells,Mononuc Cells NFr UrnS Manual,Observation,,,%,Mononuclear cells/Leukocytes in Urine sediment by Manual count,%,,,"Release 2.79: COMPONENT: Triggered by Coll w SCT: This is a specific fraction case where the denominator is percentage or /100. Because the logic is that the percentage piece is captured by Property: NFr (Numeric Fraction), and by Unit: %, therefore, it is redundant to include ""100"" in the component;",0,0,,,,,,1.0k,,Mononuclear cells/Leukocytes Manual cnt (Urine sed)
17287-4,Monocytes/Leukocytes,NFr,Pt,Urine,Qn,Manual count,HEM/BC,2.79,NAM,,ACTIVE,,1,,,,,Y,HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Manl; Mono; Monocyte; Monos; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn; WBC; WBCs; White blood cell; White blood cells,Monocytes NFr Ur Manual,Observation,,,%,Monocytes/Leukocytes in Urine by Manual count,%,,,"Release 2.79: COMPONENT: Triggered by Coll w SCT: This is a specific fraction case where the denominator is percentage or /100. Because the logic is that the percentage piece is captured by Property: NFr (Numeric Fraction), and by Unit: %, therefore, it is redundant to include ""100"" in the component;",19060,0,,,,,,1.0l,,Monocytes/Leukocytes Manual cnt (U)
18407-7,Leukocytes,NRat,12H,Urine sed,Qn,Microscopy.light,UA,2.27,MIN,"The Addis count determines the number of erythrocytes, leukocytes, epithelial cells, casts, and protein content in an aliquot of 3, 4, or 12-hour urine.",ACTIVE,,1,,,,,Y,12 hours; 12HR; Addis count; Count/time; Kidney; Leuc; Leuk; Leukocyte; Lkcs; LM; Micro; Micros; Microscopic; Nephrology; nRate; Number rate; Number Rate = Count/Time; QNT; Quan; Quant; Quantitative; Renal; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS; WBC; WBCs; White blood cell; White blood cells,WBC 12h UrnS Micro-nRate,Observation,,,,Leukocytes in 12 hour Urine sediment by Light microscopy,,,,,0,0,,,,,,1.0l,,WBC LM (12H Urine sed) [#/Time]
20408-1,Leukocytes,NCnc,Pt,Urine,SemiQn,Test strip,UA,2.75,MAJ,Reported as number of leukocytes per microliter - measured from amount of leukocyte esterase,ACTIVE,,1,,Neg;25;50;100;500,,,Y,#; ABS; absolute; absolutes; Cnt; Count; Count/volume; CT; Dip stick; Dipstick; Leuc; Leuk; Leukocyte; Lkcs; Number concentration; Number Concentration (count/vol); Point in time; Random; SmQn; UA; UR; URINALYSIS; Urn; WBC; WBCs; White blood cell; White blood cells,WBC # Ur Strip,Observation,,,Leu/uL; WBCS/uL,Leukocytes [#/volume] in Urine by Test strip,/uL,,,,501,0,,,,,,1.0m,,WBC Test strip (U) [#/Vol]
20455-2,Leukocytes,PrThr,Pt,Urine sed,Ord,Microscopy.light,UA,2.73,MIN,,ACTIVE,,1,,,,,,Kidney; Leuc; Leuk; Leukocyte; Lkcs; LM; Micro; Micros; Microscopic; Nephrology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Renal; Screen; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS; WBC; WBCs; White blood cell; White blood cells,WBC UrnS Ql Micro,Observation,,,,Leukocytes [Presence] in Urine sediment by Light microscopy,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",578,0,,,,,,1.0m,,WBC LM Ql (Urine sed)
24122-4,Leukocytes,NCnc,Pt,Urine,Qn,Manual count,UA,2.73,MIN,,ACTIVE,,1,,,,,Y,#; ABS; absolute; absolutes; Cnt; Count; Count/volume; CT; Leuc; Leuk; Leukocyte; Lkcs; Manl; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; URINALYSIS; Urn; WBC; WBCs; White blood cell; White blood cells,WBC # Ur Manual,Observation,,,/uL,Leukocytes [#/volume] in Urine by Manual count,/uL,,,,6695,0,,,,,,1.0o,,WBC Manual cnt (U) [#/Vol]
30405-5,Leukocytes,NCnc,Pt,Urine,Qn,,UA,2.73,MIN,,ACTIVE,,1,,,,,N,#; ABS; absolute; absolutes; Cnt; Count; Count/volume; CT; Leuc; Leuk; Leukocyte; Lkcs; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; URINALYSIS; Urn; WBC; WBCs; White blood cell; White blood cells,WBC # Ur,Observation,,,/uL,Leukocytes [#/volume] in Urine,/uL,,,,342,0,,,,,,2.04,,WBC (U) [#/Vol]
30442-8,Monocytes/Leukocytes,NFr,Pt,Urine,Qn,,HEM/BC,2.79,NAM,,ACTIVE,,1,,,,,N,HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Mono; Monocyte; Monos; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn; WBC; WBCs; White blood cell; White blood cells,Monocytes NFr Ur,Observation,,,%,Monocytes/Leukocytes in Urine,%,,,"Release 2.79: COMPONENT: Triggered by Coll w SCT: This is a specific fraction case where the denominator is percentage or /100. Because the logic is that the percentage piece is captured by Property: NFr (Numeric Fraction), and by Unit: %, therefore, it is redundant to include ""100"" in the component;",0,0,,,,,,2.04,,Monocytes/Leukocytes (U)
30462-6,Granulocytes/Leukocytes,NFr,Pt,Urine,Qn,,HEM/BC,2.79,NAM,,ACTIVE,,1,,,,,N,Gran; Grans; Granulocyte; Granulocytes; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn; WBC; WBCs; White blood cell; White blood cells,Granulocytes NFr Ur,Observation,,,%,Granulocytes/Leukocytes in Urine,%,,,"Release 2.79: COMPONENT: Triggered by Coll w SCT: This is a specific fraction case where the denominator is percentage or /100. Because the logic is that the percentage piece is captured by Property: NFr (Numeric Fraction), and by Unit: %, therefore, it is redundant to include ""100"" in the component;",0,0,,,,,,2.04,,Granulocytes/Leukocytes (U)
32014-3,Eosinophils/Leukocytes,NFr,Pt,Urine,Qn,Manual count,UA,2.79,NAM,,ACTIVE,,1,,,,,N,Eos; Eosin; Eosino; Eosinophil; Eosins; Leuc; Leuk; Leukocyte; Lkcs; Manl; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; URINALYSIS; Urn; WBC; WBCs; White blood cell; White blood cells,Eosinophil NFr Ur Manual,Both,,,%,Eosinophils/Leukocytes in Urine by Manual count,%,,,"Release 2.79: COMPONENT: Triggered by Coll w SCT: This is a specific fraction case where the denominator is percentage or /100. Because the logic is that the percentage piece is captured by Property: NFr (Numeric Fraction), and by Unit: %, therefore, it is redundant to include ""100"" in the component; Previous Releases: Order_Obs: changed from 'observation' to 'both' to reflect that the LOINC code can also be used as an order code.",4739,0,,,,,,2.07,,Eosinophils/Leukocytes Manual cnt (U)
