LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100732-7,Cholesterol.in lipoprotein (little a) & Cholesterol.in LDL panel,-,Pt,Ser,-,,PANEL.CHEM,2.73,ADD,,ACTIVE,,1,,,,,N,Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; LDLc; LDL-C; Lip; Lipid; Lipoprot; Lipoproteins; Low density lipoprotein cholesterol; Low density lipoprotein cholesterols; LP; Lp(a); LP(a) Cholesterol; LPa; Lpa Cholest; Lpa Cholesterol; LPALD; Pan; PANEL.CHEMISTRY; Panl; Pnl; Point in time; Random; Serum; SR,LPALD Ser,Order,,,,Cholesterol.in lipoprotein (little a) and Cholesterol.in LDL panel - Serum,,,,,0,0,,,Panel,,,2.73,,Cholesterol.in lipoprotein (little a) & Cholesterol.in LDL panel (S)
10835-7,Lipoprotein (little a),MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,Not same as Alpha Lipoprotein,ACTIVE,,1,,,,,Y,Chemistry; Level; Lip; Lipoprot; Lipoproteins; LP; Lp(a); LPa; Mass Concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,LPa SerPl-mCnc,Both,,,mg/L;mg/dL,Lipoprotein a [Mass/volume] in Serum or Plasma,mg/dL,,,,2063,0,,,,,,1.0j-a,,Lipoprotein a [Mass/Vol]
35360-7,Triglyceride.in lipoprotein (little a),MCnc,Pt,Ser/Plas,Qn,,CHEM,2.34,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; Chemistry; Heart Disease; Level; Lip; Lipoprot; Lipoproteins; LP; Lp(a); LP(a) Triglyceride; LPa; Lpa Trigl; Lpa Triglyceride; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tg; Trig; Trigly; Triglycerides; Triglycrides,Lpa Trigl SerPl-mCnc,Both,,,mg/dL,Triglyceride in Lipoprotein a [Mass/volume] in Serum or Plasma,mg/dL,,,,0,0,,,,,,2.13,,Triglyceride in lipoprotein a [Mass/Vol]
35361-5,Triglyceride.in lipoprotein (little a),PrThr,Pt,Ser/Plas,Ord,,CHEM,2.56,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; Chemistry; Heart Disease; Lip; Lipoprot; Lipoproteins; LP; Lp(a); LP(a) Triglyceride; LPa; Lpa Trigl; Lpa Triglyceride; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tg; Trig; Trigly; Triglycerides; Triglycrides,Lpa Trigl SerPl Ql,Both,,,,Triglyceride in Lipoprotein a [Presence] in Serum or Plasma,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.13,,Triglyceride in lipoprotein a Ql
35387-0,Cholesterol.in lipoprotein (little a),PrThr,Pt,Ser/Plas,Ord,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; Heart Disease; Lip; Lipid; Lipoprot; Lipoproteins; LP; Lp(a); LP(a) Cholesterol; LPa; Lpa Cholest; Lpa Cholesterol; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Lpa Cholest SerPl Ql,Both,,,,Cholesterol. in Lipoprotein (a) [Presence] in Serum or Plasma,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",2865,0,,,,,,2.13,,Cholesterol. in Lipoprotein (a) Ql
35388-8,Cholesterol.in lipoprotein (little a),MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; Heart Disease; Level; Lip; Lipid; Lipoprot; Lipoproteins; LP; Lp(a); LP(a) Cholesterol; LPa; Lpa Cholest; Lpa Cholesterol; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Lpa Cholest SerPl-mCnc,Both,,,mg/mL;mg/dL,Cholesterol. in Lipoprotein (a) [Mass/volume] in Serum or Plasma,mg/dL,,,,3924,0,,,,,,2.13,,Cholesterol. in Lipoprotein (a) [Mass/Vol]
43583-4,Lipoprotein (little a),SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Chemistry; Level; Lip; Lipoprot; Lipoproteins; LP; Lp(a); LPa; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; UniversalLabOrders,LPa SerPl-sCnc,Both,,,nmol/L,Lipoprotein a [Moles/volume] in Serum or Plasma,nmol/L,,,,3159,0,,,,,,2.17,,Lipoprotein a [Moles/Vol]
51002-4,Lipoprotein midband A,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Chemistry; Level; Lip; Lipoprot; Lipoproteins; LP; Mass Concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Lipoprotein midband A SerPl-mCnc,Observation,,,mg/dL,Lipoprotein midband A [Mass/volume] in Serum or Plasma,mg/dL,,,,4509,0,,,,,,2.22,,Lipoprotein midband A [Mass/Vol]
60344-9,Lipoprotein (little a)/Lipoprotein.total,MFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Chemistry; Lip; Lipoprot; Lipoproteins; LP; Lp(a); LPa; Mass Fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tot; Totl,LPa MFr SerPl,Observation,,,%,Lipoprotein a/total Lipoprotein in Serum or Plasma,%,,,,16439,0,,,,,,2.34,,Lipoprotein a/Total lipoprotein [Mass fraction]
92715-2,Lipoprotein.beta.subparticle.very small-a,SCnc,Pt,Ser,Qn,,CHEM,2.66,ADD,,ACTIVE,,1,,,,,,B; Chemistry; LDL; LDL particle concentration; LDL particle number; LDL very small-a; Level; Lip; Lipoprot; Lipoproteins; Low density lipoproteins; LP; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR; Substance concentration,LDL very small-a Ser-sCnc,Observation,,,nmol/L,Lipoprotein.beta.subparticle.very small-a [Moles/volume] in Serum,nmol/L,,,,0,0,,,,,,2.66,,Lipoprotein.beta.subparticle.very small-a (S) [Moles/Vol]
