LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
15191-0,Lupus anticoagulant neutralization.dilute phospholipid,PrThr,Pt,PPP,Ord,,COAG,2.73,MIN,,DISCOURAGED,,1,,,,,,Anticoag; Anti-phospholipid antibody; COAGULATION; Coagulation inhibiting antibody; Dil; Dilut; Dilute prothrombin time; dPT; dRVVT; Hematology; Heme; LA; LA Nt dPL; LAC; Lipid; Lupus inhibitor; Neut; Neutr; Ordinal; Phoslpd; Phospholipids; Pl; Plas; Platelet poor plasma; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Tissue thromboplastin inhibition; TTI; TTIT; UniversalLabOrders,LA Nt dPL PPP Ql,Both,,,,Lupus anticoagulant neutralization dilute phospholipid [Presence] in Platelet poor plasma,,,"This term is ambiguous because it does not specify which test is used to neutralize the lupus anticoagulant. Recommend using one of the tests from the lupus anticoagulant screening panels that were created based on the 2009 ISTH and 2014 CLSI recommendations (75515-7, 75881-3).","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",2232,0,,,,,,1.0k,,Lupus anticoagulant neutralization dilute phospholipid Ql (PPP)
3281-3,Lupus anticoagulant,Imp,Pt,PPP,Nom,,COAG,2.73,MIN,,DISCOURAGED,,1,,,,,,Anticoag; Anti-phospholipid antibody; COAGULATION; Coagulation inhibiting antibody; dRVVT; Hematology; Heme; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; LA; LAC; Lupus inhibitor; Nominal; Plas; Platelet poor plasma; Point in time; Random,LA PPP-Imp,Observation,,,,Lupus anticoagulant [Interpretation] in Platelet poor plasma,,,This term is discouraged because its meaning is ambiguous. Recommend using the interpretation term that is specific to the testing algorithm that is used.,,3063,0,,,,,,1.0,,Lupus anticoagulant (PPP) [Interp]
3283-9,Lupus anticoagulant neutralization.high phospholipid,Time,Pt,PPP,Qn,Coag,COAG,2.73,MIN,,DISCOURAGED,,1,,,,,Y,Anticoag; Anti-phospholipid antibody; Clot; Clottable; COAGULATION; Coagulation assay; Coagulation inhibiting antibody; dRVVT; Hematology; Heme; LA; LA Nt HPL; LAC; Lipid; Lupus inhibitor; Neut; Neutr; Phoslpd; Phospholipids; Pl; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Tilt tube,LA Nt HPL PPP,Both,,,s,Lupus anticoagulant neutralization high phospholipid [Time] in Platelet poor plasma by Coagulation assay,s,,"This term is ambiguous because it does not specify which test is used to neutralize the lupus anticoagulant. Recommend using one of the tests from the lupus anticoagulant screening panels that were created based on the 2009 ISTH and 2014 CLSI recommendations (75515-7, 75881-3).",,8084,0,,,,,,1.0,,Lupus anticoagulant neutralization high phospholipid Coag (PPP) [Time]
3284-7,Lupus anticoagulant neutralization.platelet,Time,Pt,PPP,Qn,Coag,COAG,2.73,MIN,,DISCOURAGED,,1,,,,,Y,Anticoag; Anti-phospholipid antibody; Clot; Clottable; COAGULATION; Coagulation assay; Coagulation inhibiting antibody; dRVVT; Hematology; Heme; LA; LA Nt Platelet; LAC; Lupus inhibitor; Neut; Neutr; Pl; Plas; Platelet neutralization procedure; Platelet poor plasma; Platelets; Platelt; Plt; PNP; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrombocyte; Thrombocytes; Tilt tube; UniversalLabOrders,LA Nt Platelet PPP,Both,,,s,Lupus anticoagulant neutralization platelet [Time] in Platelet poor plasma by Coagulation assay,s,,"This term is ambiguous because it does not specify which test is used to neutralize the lupus anticoagulant. Recommend using one of the tests from the lupus anticoagulant screening panels that were created based on the 2009 ISTH and 2014 CLSI recommendations (75515-7, 75881-3).",,1774,0,,,,,,1.0,,Lupus anticoagulant neutralization platelet Coag (PPP) [Time]
34570-2,Lupus anticoagulant neutralization.high phospholipid.factor substitution^immediately after 1:2 addition of normal plasma,Time,Pt,PPP,Qn,Coag,COAG,2.70,MIN,,DISCOURAGED,,1,,30 - 38,,,N,Anticoag; Anti-phospholipid antibody; Clot; Clottable; COAGULATION; Coagulation assay; Coagulation inhibiting antibody; Control; dRVVT; Fac; Fact; Hematology; Heme; i; II; imm 1:2 NP; LA; LA Nt HPL; LAC; Lipid; Lupus inhibitor; Neut; Neutr; Phoslpd; Phospholipids; Pl; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Tilt tube,LA Nt HPL imm 1:2 NP PPP,Observation,,,s,Lupus anticoagulant neutralization high phospholipid.factor substitution [Time] in Platelet poor plasma by Coagulation assay --immediately after 1:2 addition of normal plasma,s,,"This term is ambiguous because it does not specify which test is used to neutralize the lupus anticoagulant. Recommend using one of the tests from the lupus anticoagulant screening panels that were created based on the 2009 ISTH and 2014 CLSI recommendations (75515-7, 75881-3).",,0,0,,,,,,2.10,,Lupus anticoagulant neutralization high phospholipid.factor substitution immediately after 1:2 addition of normal plasma Coag (PPP) [Time]
40647-0,Lupus anticoagulant neutralization.platelet,PrThr,Pt,PPP,Ord,Coag,COAG,2.56,MIN,,DISCOURAGED,,1,,,,,N,Anticoag; Anti-phospholipid antibody; Clot; Clottable; COAGULATION; Coagulation assay; Coagulation inhibiting antibody; dRVVT; Hematology; Heme; LA; LA Nt Platelet; LAC; Lupus inhibitor; Neut; Neutr; Ordinal; Pl; Plas; Platelet neutralization procedure; Platelet poor plasma; Platelets; Platelt; Plt; PNP; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Thrombocyte; Thrombocytes; Tilt tube,LA Nt Platelet PPP Ql,Both,,,,Lupus anticoagulant neutralization platelet [Presence] in Platelet poor plasma by Coagulation assay,,,"This term is ambiguous because it does not specify which test is used to neutralize the lupus anticoagulant. Recommend using one of the tests from the lupus anticoagulant screening panels that were created based on the 2009 ISTH and 2014 CLSI recommendations (75515-7, 75881-3).","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.15,,Lupus anticoagulant neutralization platelet Coag Ql (PPP)
43308-6,Lupus anticoagulant neutralization.buffer,Time,Pt,PPP,Qn,Coag,COAG,2.73,MIN,,DISCOURAGED,,1,,,,,N,Anticoag; Anti-phospholipid antibody; Clot; Clottable; COAGULATION; Coagulation assay; Coagulation inhibiting antibody; dRVVT; Hematology; Heme; LA; LA Nt Buffer; LAC; Lupus inhibitor; Neut; Neutr; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Tilt tube,LA Nt Buffer PPP,Both,,,s,Lupus anticoagulant neutralization buffer [Time] in Platelet poor plasma by Coagulation assay,s,,"This term is ambiguous because it does not specify which test is used to neutralize the lupus anticoagulant. Recommend using one of the tests from the lupus anticoagulant screening panels that were created based on the 2009 ISTH and 2014 CLSI recommendations (75515-7, 75881-3).",,7047,0,,,,,,2.17,,Lupus anticoagulant neutralization buffer Coag (PPP) [Time]
50376-3,Lupus anticoagulant neutralization.dilute phospholipid actual/Normal,RelTime,Pt,PPP,Qn,Coag,COAG,2.70,MIN,,DISCOURAGED,,1,,0.5 - 1.2 ratio,,,N,Act/Nor; Anticoag; Anti-phospholipid antibody; Clot; Clottable; COAGULATION; Coagulation assay; Coagulation inhibiting antibody; Control; Dil; Dilut; Dilute prothrombin time; dPT; dRVVT; Hematology; Heme; LA; LA Nt dPL; LAC; Lipid; Lupus inhibitor; Neut; Neutr; Phoslpd; Phospholipids; Pl; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; RlTm; Tilt tube; Tissue thromboplastin inhibition; TTI; TTIT,LA Nt dPL Act/Nor PPP,Both,,,ratio,Lupus anticoagulant neutralization dilute phospholipid actual/normal in Platelet poor plasma by Coagulation assay,{ratio},,"This term is ambiguous because it does not specify which test is used to neutralize the lupus anticoagulant. Recommend using one of the tests from the lupus anticoagulant screening panels that were created based on the 2009 ISTH and 2014 CLSI recommendations (75515-7, 75881-3).",,0,0,,,,,,2.22,,Lupus anticoagulant neutralization dilute phospholipid actual/normal Coag (PPP) [Relative time]
53748-0,Lupus anticoagulant neutralization.dilute phospholipid,Time,Pt,PPP,Qn,,COAG,2.73,MIN,"A modified prothrombin time is performed using diluted thromboplastin reagent which lowers the phospholipid concentration, which optimizes sensitivity to Lupus Anticoagulants (LA). Standard prothrombin tests are usually normal in patients with lupus anticoagulants because of the high concentration of phospholipids in normal thromboplastin reagent. Lupus anticoagulants are antibodies which inhibit the coagulation results of phospholipid-dependent tests including APPT, KCT,dRVVT, and dPT. The dPT test screens for the phospholipid-dependent inhibitors of the extrinsic pathway of the coagulation cascade. Information from PA Labs, LLC-Midwest Coag (personal communication) and www.labcorp.com, accessed 2008 02 28.",DISCOURAGED,,1,,,,,N,Anticoag; Anti-phospholipid antibody; COAGULATION; Coagulation inhibiting antibody; Dil; Dilut; Dilute prothrombin time; dPT; dRVVT; Hematology; Heme; LA; LA Nt dPL; LAC; Lipid; Lupus inhibitor; Neut; Neutr; Phoslpd; Phospholipids; Pl; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Tissue thromboplastin inhibition; TTI; TTIT,LA Nt dPL PPP,Both,,,s,Lupus anticoagulant neutralization dilute phospholipid [Time] in Platelet poor plasma,s,,"This term is ambiguous because it does not specify which test is used to neutralize the lupus anticoagulant. Recommend using one of the tests from the lupus anticoagulant screening panels that were created based on the 2009 ISTH and 2014 CLSI recommendations (75515-7, 75881-3).",,9495,0,,,,,,2.26,,Lupus anticoagulant neutralization dilute phospholipid (PPP) [Time]
55785-0,Lupus anticoagulant neutralization.high phospholipid.factor substitution^immediately after 1:2 addition of saline,Time,Pt,PPP,Qn,Coag,COAG,2.52,MIN,,DISCOURAGED,,1,,,,,N,Anticoag; Anti-phospholipid antibody; Clot; Clottable; COAGULATION; Coagulation assay; Coagulation inhibiting antibody; dRVVT; Fac; Fact; Hematology; Heme; i; II; imm 1:2 saline; LA; LA Nt HPL; LAC; Lipid; Lupus inhibitor; Neut; Neutr; Phoslpd; Phospholipids; Pl; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Tilt tube,LA Nt HPL imm 1:2 saline PPP,Observation,,,s,Lupus anticoagulant neutralization high phospholipid.factor substitution [Time] in Platelet poor plasma by Coagulation assay --immediately after 1:2 addition of saline,s,,"This term is ambiguous because it does not specify which test is used to neutralize the lupus anticoagulant. Recommend using one of the tests from the lupus anticoagulant screening panels that were created based on the 2009 ISTH and 2014 CLSI recommendations (75515-7, 75881-3).",,0,0,,,,,,2.29,,Lupus anticoagulant neutralization high phospholipid.factor substitution immediately after 1:2 addition of saline Coag (PPP) [Time]
