LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
108834-3,Magnesium,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Lab orders; MAG; Magnes; Mg; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Magnesium Msmt SerPl,Order,,,,Magnesium [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Magnesium [Measurement]
11554-3,Magnesium,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.36,DEL,,DEPRECATED,,1,,,,,,Chemistry; Level; MAG; Magnes; Mg; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Deprecated Magnesium SerPl-sCnc,,,,mmol/L,Deprecated Magnesium [Molecules/volume] in Serum or Plasma,mmol/L,Duplicate,,,0,0,,,,,,1.0j-a,,Magnesium [Moles/Vol]
19123-9,Magnesium,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,5.1,,,Y,Chemistry; Level; MAG; Magnes; Mass concentration; Mg; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Magnesium SerPl-mCnc,Both,,,mg/dL,Magnesium [Mass/volume] in Serum or Plasma,mg/dL,,,,51,27,,,,,,1.0l,,Magnesium [Mass/Vol]
2600-5,Magnesium.ionized,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; IMg2+; Ion; Ionized magnesium; Level; MAG; Magnes; Mg; Mg Ionized; Mg2+; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Mg Ionized SerPl-sCnc,Both,,,mmol/L,Magnesium Ionized [Moles/volume] in Serum or Plasma,mmol/L,,,,14917,0,,,,,,1.0,,Magnesium Ionized [Moles/Vol]
2601-3,Magnesium,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Level; MAG; Magnes; Mg; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; UniversalLabOrders,Magnesium SerPl-sCnc,Both,,,mmol/L,Magnesium [Moles/volume] in Serum or Plasma,mmol/L,,,,1643,0,,,,,,1.0,,Magnesium [Moles/Vol]
32698-3,Magnesium.ionized,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Chemistry; IMg2+; Ion; Ionized magnesium; Level; MAG; Magnes; Mass concentration; Mg; Mg Ionized; Mg2+; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Mg Ionized SerPl-mCnc,Both,,,mg/dL,Magnesium Ionized [Mass/volume] in Serum or Plasma,mg/dL,,,,19029,0,,,,,,2.09,,Magnesium Ionized [Mass/Vol]
35249-2,Magnesium,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,MIN,,DISCOURAGED,,1,,,,,N,Chemistry; Level; MAG; Magnes; Mg; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Magnesium SerPl-msCnc,Both,,,,Magnesium [Mass or Moles/volume] in Serum or Plasma,,,These were created for the sole purpose of facilitating use of LOINC for submissions for medication approval to the FDA and should not be used in routine laboratory reporting.,,0,0,,,,,,2.11,,Magnesium [Mass or moles/Vol]
55937-7,Magnesium^post dialysis,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,N,After; Chemistry; Dialy; Level; MAG; Magnes; Mg; p dialysis; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Magnesium p dialysis SerPl-sCnc,Both,,,mmol/L,Magnesium [Moles/volume] in Serum or Plasma --post dialysis,mmol/L,,,,0,0,,,,,,2.29,,Magnesium post dialysis [Moles/Vol]
65362-6,Magnesium^^corrected for albumin,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,N,Alb; Album cor; Chemistry; Level; MAG; Magnes; Mg; Pl; Plasma; Plsm; Point in time; Protein.albumin; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Magnesium Album cor SerPl-sCnc,Observation,,,mmol/L,Magnesium [Moles/volume] corrected for albumin in Serum or Plasma,mmol/L,,,,0,0,,,,,,2.36,,Magnesium corrected for albumin [Moles/Vol]
80958-2,Fractional excretion of magnesium,Ratio,Pt,Urine+Ser/Plas,Qn,,CHEM,2.56,ADD,,ACTIVE,,1,"FEMg = ((UMg x Cr)/(0.7 x Mg) x UCr) x 100 (UMg = random urine magnesium, UCr = random urine creatinine, Mg = plasma or serum Mg, Cr = plasma or serum creatinine)",,,,,Chemistry; Fracti excret of Mg; MAG; Magnes; Mg; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Ratios; Rto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UR; Ur+SerPl; Urn,Fracti excret of Mg Ur+SerPl-Rto,Both,,,%,Fractional excretion of magnesium [Ratio] in Urine and Serum or Plasma,%,,,,0,0,,,,,,2.56,,Fractional excretion of magnesium (U+S/P) [Ratio]
