LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
14836-1,Methotrexate,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Amethoperin; Amethopterin; DRUG/TOXICOLOGY; Drugs; Level; Methotrexat; MTX; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; UniversalLabOrders,MTX SerPl-sCnc,Both,,,umol/L;10-9 mol/L; mol/L,Methotrexate [Moles/volume] in Serum or Plasma,umol/L,,,,1073,0,,,,,,1.0k,,Methotrexate [Moles/Vol]
3793-7,Methotrexate,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Amethoperin; Amethopterin; DRUG/TOXICOLOGY; Drugs; Level; Mass concentration; Methotrexat; MTX; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,MTX SerPl-mCnc,Both,,,ug/mL,Methotrexate [Mass/volume] in Serum or Plasma,ug/mL,,,,6058,0,,,,,,1.0,,Methotrexate [Mass/Vol]
3794-5,Methotrexate^1-2w post dose,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.34,MIN,,ACTIVE,,1,,,,,Y,After; Amethoperin; Amethopterin; DRUG/TOXICOLOGY; Drugs; i; Level; Mass concentration; Methotrexat; MTX; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,MTX 1-2W p SerPl-mCnc,Both,,,,Methotrexate [Mass/volume] in Serum or Plasma --1-2 weeks post dose,,,,,0,0,,,,,,1.0,,Methotrexate 1-2 weeks post dose [Mass/Vol]
3795-2,Methotrexate^24H post dose,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.34,MIN,,ACTIVE,,1,,,,,Y,After; Amethoperin; Amethopterin; DRUG/TOXICOLOGY; Drugs; Level; Mass concentration; Methotrexat; MTX; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,MTX 24h p SerPl-mCnc,Both,,,,Methotrexate [Mass/volume] in Serum or Plasma --24 hours post dose,,,,,0,0,,,,,,1.0,,Methotrexate 24 Hr post dose [Mass/Vol]
3796-0,Methotrexate^48H post dose,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.34,MIN,,ACTIVE,,1,,,,,Y,After; Amethoperin; Amethopterin; DRUG/TOXICOLOGY; Drugs; Level; Mass concentration; Methotrexat; MTX; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,MTX 48h p SerPl-mCnc,Both,,,,Methotrexate [Mass/volume] in Serum or Plasma --48 hours post dose,,,,,0,0,,,,,,1.0,,Methotrexate 48 Hr post dose [Mass/Vol]
3797-8,Methotrexate^72H post dose,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.34,MIN,,ACTIVE,,1,,,,,Y,After; Amethoperin; Amethopterin; DRUG/TOXICOLOGY; Drugs; Level; Mass concentration; Methotrexat; MTX; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,MTX 72h p SerPl-mCnc,Both,,,,Methotrexate [Mass/volume] in Serum or Plasma --72 hours post dose,,,,,0,0,,,,,,1.0,,Methotrexate 72 Hr post dose [Mass/Vol]
51599-9,Methotrexate^12H post dose,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.70,MIN,,ACTIVE,,1,,,,,N,&gt;12h; After; Amethoperin; Amethopterin; DRUG/TOXICOLOGY; Drugs; Level; Methotrexat; MTX; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,MTX 12h p SerPl-sCnc,Both,,,mmol/L,Methotrexate [Moles/volume] in Serum or Plasma --12 hours post dose,mmol/L,,,,0,0,,,,,,2.24,,Methotrexate 12 Hr post dose [Moles/Vol]
51600-5,Methotrexate^24H post dose,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,N,After; Amethoperin; Amethopterin; DRUG/TOXICOLOGY; Drugs; Level; Methotrexat; MTX; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,MTX 24h p SerPl-sCnc,Both,,,mmol/L,Methotrexate [Moles/volume] in Serum or Plasma --24 hours post dose,mmol/L,,,,9137,0,,,,,,2.24,,Methotrexate 24 Hr post dose [Moles/Vol]
51601-3,Methotrexate^4H post dose,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.70,MIN,,ACTIVE,,1,,,,,N,After; Amethoperin; Amethopterin; DRUG/TOXICOLOGY; Drugs; Level; Methotrexat; MTX; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,MTX 4h p SerPl-sCnc,Both,,,mmol/L,Methotrexate [Moles/volume] in Serum or Plasma --4 hours post dose,mmol/L,,,,0,0,,,,,,2.24,,Methotrexate 4 Hr post dose [Moles/Vol]
51602-1,Methotrexate^72H post dose,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,N,After; Amethoperin; Amethopterin; DRUG/TOXICOLOGY; Drugs; Level; Methotrexat; MTX; p dose; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,MTX 72h p SerPl-sCnc,Both,,,mmol/L,Methotrexate [Moles/volume] in Serum or Plasma --72 hours post dose,mmol/L,,,,8908,0,,,,,,2.24,,Methotrexate 72 Hr post dose [Moles/Vol]
