LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100158-5,Albumin,MCnc,XXX,Urine,Qn,Detection limit <= 20 mg/L,UA,2.73,ADD,,ACTIVE,,1,,,,,N,?Tm; Alb; DL=20 mg/L; Left; Level; Levo; MA; Malb; Mass concentration; Micro albumin; Microalbumin; Protein.albumin; QNT; Quan; Quant; Quantitative; UA; UR; URINALYSIS; Urn,Microalbumin ?Tm Ur-mCnc,Both,,,mg/L,Microalbumin [Mass/volume] in Urine collected for unspecified duration,mg/L,,,,0,0,,,,,,2.73,,Albumin Unsp time DL <= 20 mg/L (U) [Mass/Vol]
11218-5,Albumin,MCnc,Pt,Urine,SemiQn,Detection limit <= 20 mg/L test strip,CHEM,2.75,MAJ,Term used for test for microalbumin using test strip such as Roche Micral (TM) Microalbuminuria Urine Test Strip or Bayer Clinitech (R) Microalbumin Reagent Strip,ACTIVE,,1,,Neg;Trace;30 mg/dL;100 mg/dL;>100 mg/dL,,,Y,Alb; Chemistry; Dip stick; Dipstick; DL=20 mg/L; Kidney; Left; Level; Levo; MA; Malb; Mass concentration; Micro albumin; Microalbumin; Nephrology; Point in time; Protein.albumin; Random; Renal; SmQn; UA; UR; Urn,Microalbumin Ur Test Str-mCnc,Both,,,mg/dL,Microalbumin [Mass/volume] in Urine by Test strip,mg/dL,,,,5238,0,,,,,,1.0j-a,,Albumin Test strip detection limit <= 20 mg/L (U) [Mass/Vol]
14956-7,Albumin,MRat,24H,Urine,Qn,Detection limit <= 20 mg/L,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Alb; Chemistry; DL=20 mg/L; Kidney; Left; Levo; MA; Malb; Mass rate; Micro albumin; Microalbumin; mRate; Nephrology; Protein.albumin; QNT; Quan; Quant; Quantitative; Renal; UA; UR; Urn,Microalbumin 24h Ur-mRate,Both,,,ug/24 H,Microalbumin [Mass/time] in 24 hour Urine,mg/(24.h),,,,4312,0,,,,,,1.0k,,Albumin DL <= 20 mg/L (24H U) [Mass/Time]
14957-5,Albumin,MCnc,Pt,Urine,Qn,Detection limit <= 20 mg/L,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alb; Chemistry; DL=20 mg/L; Kidney; Left; Level; Levo; MA; Malb; Mass concentration; Micro albumin; Microalbumin; Nephrology; Point in time; Protein.albumin; QNT; Quan; Quant; Quantitative; Random; Renal; UA; UniversalLabOrders; UR; Urn,Microalbumin Ur-mCnc,Both,,,mg/L;mcg/mL; mg/dL,Microalbumin [Mass/volume] in Urine,ug/mL;mg/dL,,,,307,0,,,,,,1.0k,,Albumin DL <= 20 mg/L (U) [Mass/Vol]
14958-3,Albumin/Creatinine,MRto,24H,Urine,Qn,Detection limit <= 20 mg/L,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Alb; Chemistry; CR; Crea; Creat; DL=20 mg/L; Kidney; Left; Levo; MA; Malb; Mass concentration ratio; Mass ratio; MCRto; Micro albumin; Microalbumin; Nephrology; Protein.albumin; QNT; Quan; Quant; Quantitative; Renal; UA; UCr; UR; Urn,Microalbumin/Creat 24h Ur,Both,,,mg/g creatinine,Microalbumin/Creatinine [Mass Ratio] in 24 hour Urine,mg/g{creat},,,,4617,0,,,,,,1.0k,,Albumin/Creatinine DL <= 20 mg/L (24H U) [Mass ratio]
14959-1,Albumin/Creatinine,MRto,Pt,Urine,Qn,Detection limit <= 20 mg/L,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Alb; Chemistry; CR; Crea; Creat; DL=20 mg/L; Kidney; Left; Levo; MA; Malb; Mass concentration ratio; Mass ratio; MCRto; Micro albumin; Microalbumin; Nephrology; Point in time; Protein.albumin; QNT; Quan; Quant; Quantitative; Random; Renal; UA; UCr; UR; Urn,Microalbumin/Creat Ur,Both,,,mg/g creatinine,Microalbumin/Creatinine [Mass Ratio] in Urine,mg/g{creat},,,,442,0,,,,,,1.0k,,Albumin/Creatinine DL <= 20 mg/L (U) [Mass ratio]
30000-4,Albumin/Creatinine,Ratio,Pt,Urine,Qn,Detection limit <= 20 mg/L,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Alb; Chemistry; CR; Crea; Creat; DL=20 mg/L; Kidney; Left; Levo; MA; Malb; Micro albumin; Microalbumin; Nephrology; Point in time; Protein.albumin; QNT; Quan; Quant; Quantitative; Random; Ratios; Renal; Rto; UA; UCr; UR; Urn,Microalbumin/Creat Ur-Rto,Both,,,mg/mmol creatinine,Microalbumin/Creatinine [Ratio] in Urine,mg/mmol{creat},,,,1431,0,,,,,,2.04,,Albumin/Creatinine DL <= 20 mg/L (U) [Ratio]
30001-2,Albumin/Creatinine,Ratio,Pt,Urine,SemiQn,Detection limit <= 20 mg/L test strip,CHEM,2.75,MAJ,,ACTIVE,,1,,<3.4 (normal);3.4 - 33.9 (abnormal); >33.9 (very abnormal) mg/mmol,,,N,Alb; Chemistry; CR; Crea; Creat; Dip stick; Dipstick; DL=20 mg/L; Kidney; Left; Levo; MA; Malb; Micro albumin; Microalbumin; Nephrology; Point in time; Protein.albumin; Random; Ratios; Renal; Rto; SmQn; UA; UCr; UR; Urn,Microalbumin/Creat Ur Test Str-Rto,Both,,,mg/mmol creatinine,Microalbumin/Creatinine [Ratio] in Urine by Test strip,mg/mmol{creat},,,,10738,0,,,,,,2.04,,Albumin/Creatinine Test strip detection limit <= 20 mg/L (U) [Ratio]
30003-8,Albumin,MCnc,24H,Urine,Qn,Detection limit <= 20 mg/L,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,1 day; 24 hours; 24HR; Alb; Chemistry; DL=20 mg/L; Kidney; Left; Level; Levo; MA; Malb; Mass concentration; Micro albumin; Microalbumin; Nephrology; Protein.albumin; QNT; Quan; Quant; Quantitative; Renal; UA; UniversalLabOrders; UR; Urn,Microalbumin 24h Ur-mCnc,Both,,,mg/L;mcg/mL,Microalbumin [Mass/volume] in 24 hour Urine,ug/mL;mg/dL,,,,622,0,,,,,,2.04,,Albumin DL <= 20 mg/L (24H U) [Mass/Vol]
34535-5,Microalbumin/Creatinine ratio panel,-,Pt,Urine,Qn,,PANEL.CHEM,2.73,MIN,,DISCOURAGED,,1,,,,,N,Chemistry; CR; Crea; Creat; Creat ratio pnl; Kidney; Microalbumin/creat Pnl; Nephrology; Pan; PANEL.CHEMISTRY; Panl; Pnl; Point in time; QNT; Quan; Quant; Quantitative; Random; Renal; UA; UCr; UniversalLabOrders; UR; Urn,Microalbumin/Creat ratio pnl Ur,Order,,,,Microalbumin/Creatinine panel in random Urine,,,The LOINC code for the primary result should be used as the order code when a single result is reported along with secondary results that serve as supportive or interpretive findings. This recommendation was agreed upon by the Laboratory LOINC Committee in March 2021.,,493,75,,,Panel,,,2.10,,Microalbumin/Creatinine ratio panel (U)
