LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
10701-1,Ova & parasites,Prid,Pt,Stool,Nom,Concentration,MICRO,2.78,NAM,,ACTIVE,,1,,,,,,Bowel movement; Cnc; Conc; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; O&P; O+P; Ova and parasite; Ovum; Parasite; Point in time; Random; Stl; Stool = Fecal; UniversalLabOrders,O+P Stl Conc,Both,,,,Ova and parasites identified in Stool by Concentration,,,,"Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";",993,78,,,,,,1.0i,,Ova and parasites identified Concentration Nom (Stl)
10702-9,Ova & parasites,Prid,Pt,Stool,Nom,Immune stain,MICRO,2.78,NAM,,ACTIVE,,1,,,,,,Bowel movement; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; ID; Identity or presence; IHC; Imm; Immunohistochemical stain; Immunostain; ImStn; Imun; Imune; Infectious Disease; InfectiousDisease; Microbiology; Nominal; O&P; O+P; Ova and parasite; Ovum; Parasite; Point in time; Random; St; Stains; Stl; Stn; Stool = Fecal,O+P Stl ImStn,Both,,,,Ova and parasites identified in Stool by Immune stain,,,,"Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";",0,0,,,,,,1.0i,,Ova and parasites identified Immune stain Nom (Stl)
10703-7,Ova & parasites,Prid,Pt,Stool,Nom,Kinyoun iron hematoxylin stain,MICRO,2.78,NAM,,ACTIVE,,1,,,,,,Bowel movement; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; ID; Identity or presence; IH Stn; Infectious Disease; InfectiousDisease; Kinyoun IH Stn; Kinyoun-hematoxylin stain; Microbiology; Nominal; O&P; O+P; Ova and parasite; Ovum; Parasite; Point in time; Random; St; Stains; Stl; Stn; Stool = Fecal,O+P Stl Kinyoun IH Stn,Both,,,,Ova and parasites identified in Stool by Kinyoun iron hematoxylin stain,,,,"Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";",0,0,,,,,,1.0i,,Ova and parasites identified Kinyoun iron hematoxylin stain Nom (Stl)
10704-5,Ova & parasites,Prid,Pt,Stool,Nom,Microscopy.light,MICRO,2.78,NAM,,ACTIVE,,1,,,,,,Bowel movement; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; ID; Identity or presence; Infectious Disease; InfectiousDisease; LM; Micro; Microbiology; Micros; Microscopic; Nominal; O&P; O+P; Ova and parasite; Ovum; Parasite; Point in time; Random; Stl; Stool = Fecal; UniversalLabOrders,O+P Stl Micro,Both,,,,Ova and parasites identified in Stool by Light microscopy,,,,"Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid""; Previous Releases: Assumed top2k rank from deprecated term.",893,0,,,,,,1.0i,,Ova and parasites identified LM Nom (Stl)
13319-9,Ova & parasites^2nd specimen,Prid,Pt,Stool,Nom,Microscopy.light,MICRO,2.78,NAM,,ACTIVE,,1,,,,,,Bowel movement; Convalescent; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; ID; Identity or presence; Infectious Disease; InfectiousDisease; LM; Micro; Microbiology; Micros; Microscopic; Nominal; O&P; O+P; Ova and parasite; Ovum; Parasite; Point in time; Post immunization; Random; Second; sp2; Spec; Stl; Stool = Fecal,O+P sp2 Stl Micro,Both,,,,Ova and parasites identified in Stool by Light microscopy--2nd specimen,,,,"Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid""; Previous Releases: Changed model to make term consistent with other terms",8056,0,,,,,,1.0j-a,,Ova and parasites identified spec 2 LM Nom (Stl)
13320-7,Ova & parasites^3rd specimen,Prid,Pt,Stool,Nom,Microscopy.light,MICRO,2.78,NAM,,ACTIVE,,1,,,,,,Bowel movement; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; ID; Identity or presence; Infectious Disease; InfectiousDisease; LM; Micro; Microbiology; Micros; Microscopic; Nominal; O&P; O+P; Ova and parasite; Ovum; Parasite; Point in time; Random; sp3; Spec; Stl; Stool = Fecal,O+P sp3 Stl Micro,Both,,,,Ova and parasites identified in Stool by Light microscopy--3rd specimen,,,,"Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid""; Previous Releases: Changed model to make term consistent with other terms",8118,0,,,,,,1.0j-a,,Ova and parasites identified spec 3 LM Nom (Stl)
18307-9,Ova & parasites,Prid,Pt,Stool,Nom,Iron hematoxylin stain,MICRO,2.78,NAM,,ACTIVE,,1,,,,,,Bowel movement; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; ID; Identity or presence; IH Stn; Infectious Disease; InfectiousDisease; Microbiology; Nominal; O&P; O+P; Ova and parasite; Ovum; Parasite; Point in time; Random; St; Stains; Stl; Stn; Stool = Fecal,O+P Stl IH Stn,Both,,,,Ova and parasites identified in Stool by Iron hematoxylin stain,,,,"Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";",0,0,,,,,,1.0l,,Ova and parasites identified Iron hematoxylin stain Nom (Stl)
18493-7,Ova & parasites^3rd specimen,Prid,Pt,Stool,Nom,Concentration,MICRO,2.78,NAM,,ACTIVE,,1,,,,,,Bowel movement; Cnc; Conc; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; O&P; O+P; Ova and parasite; Ovum; Parasite; Point in time; Random; sp3; Spec; Stl; Stool = Fecal,O+P sp3 Stl Conc,Both,,,,Ova and parasites identified in Stool by Concentration--3rd specimen,,,,"Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";",6168,0,,,,,,1.0l,,Ova and parasites identified spec 3 Concentration Nom (Stl)
18494-5,Ova & parasites^2nd specimen,Prid,Pt,Stool,Nom,Concentration,MICRO,2.78,NAM,,ACTIVE,,1,,,,,,Bowel movement; Cnc; Conc; Convalescent; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; O&P; O+P; Ova and parasite; Ovum; Parasite; Point in time; Post immunization; Random; Second; sp2; Spec; Stl; Stool = Fecal,O+P sp2 Stl Conc,Both,,,,Ova and parasites identified in Stool by Concentration--2nd specimen,,,,"Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";",6045,0,,,,,,1.0l,,Ova and parasites identified spec 2 Concentration Nom (Stl)
18495-2,Ova & parasites^3rd specimen,Prid,Pt,Stool,Nom,Trichrome stain,MICRO,2.78,NAM,,ACTIVE,,1,,,,,,Bowel movement; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; O&P; O+P; Ova and parasite; Ovum; Parasite; Point in time; Random; sp3; Spec; St; Stains; Stl; Stn; Stool = Fecal; Tri Stn,O+P sp3 Stl Tri Stn,Both,,,,Ova and parasites identified in Stool by Trichrome stain--3rd specimen,,,,"Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";",6301,0,,,,,,1.0l,,Ova and parasites identified spec 3 Trichrome stain Nom (Stl)
