LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
101931-4,Calcium oxalate crystals,EngDiff,Pt,Urine,Qn,,CHEM,2.75,ADD,,ACTIVE,,1,,,,,N,Ca; CaC2O4; Cal; CaOx; CaOx Cry; Chemistry; Crys; Cryst; Crystal; Ethanedioate; Ethanedioic acid; Oxal; Oxalic acid; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,CaOx cry EngDiff Ur,Both,,,kJ/mol,Calcium oxalate crystals [Energy Difference] in Urine,kJ/mol,,,,0,0,,,,,,2.75,,Calcium oxalate crystals (U) [Energy diff]
102109-6,Oxalate & Glycolate & Glyoxylate & Citrate,Imp,Pt,Urine,Nom,,CHEM,2.77,ADD,,ACTIVE,,1,,,,,N,Chemistry; Citric acid; Ethanedioate; Ethanedioic acid; Glycolic acid; Glyoxylic acid; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; Nominal; OX+Glyco+Glyox+Cit; Oxal; Oxalic acid; Oxoacetate; Oxoacetic acid; Point in time; Random; UA; UR; Urn,OX+Glyco+Glyox+Cit Ur-Imp,,,,,Oxalate and Glycolate and Glyoxylate and Citrate [Interpretation] in Urine,,,,,0,0,,,,,,2.77,,Oxalate and Glycolate and Glyoxylate and Citrate (U) [Interp]
105053-3,Calcium oxalate crystals,PrThr,Pt,Urine sed,Ord,Microscopy,UA,2.78,ADD,,ACTIVE,,1,,,,,N,Ca; CaC2O4; Cal; CaOx; CaOx Cry; Crys; Cryst; Crystal; Ethanedioate; Ethanedioic acid; Micro; Micros; Microscopic; Ordinal; Oxal; Oxalic acid; Point in time; PR; QL; Qual; Qualitative; Random; Screen; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS,CaOx Cry UrnS Ql Micro,Both,,,,Calcium oxalate crystals [Presence] in Urine sediment by Microscopy,,,,,0,0,,,,,,2.78,,Calcium oxalate crystals Microscopy Ql (Urine sed)
105896-5,Calcium oxalate crystals,Naric,Pt,Urine sed,Qn,,UA,2.78,ADD,,ACTIVE,,1,,,,,N,#/area; Ca; CaC2O4; Cal; CaOx; CaOx Cry; Crys; Cryst; Crystal; Ethanedioate; Ethanedioic acid; Number areic; Oxal; Oxalic acid; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS,CaOx Cry #/area UrnS,Both,,,/[LPF],Calcium oxalate crystals [#/area] in Urine sediment,/[LPF],,,,0,0,,,,,,2.78,,Calcium oxalate crystals (Urine sed) [#/Area]
105897-3,Calcium oxalate crystals,Naric,Pt,Urine,Qn,,UA,2.78,ADD,,ACTIVE,,1,,,,,N,#/area; Ca; CaC2O4; Cal; CaOx; CaOx Cry; Crys; Cryst; Crystal; Ethanedioate; Ethanedioic acid; Number areic; Oxal; Oxalic acid; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; URINALYSIS; Urn,CaOx Cry #/area Ur,Both,,,/[LPF],Calcium oxalate crystals [#/area] in Urine,/[LPF],,,,0,0,,,,,,2.78,,Calcium oxalate crystals (U) [#/Area]
108504-2,Oxalate/Creatinine,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,CR; Crea; Creat; Ethanedioate; Ethanedioic acid; Lab orders; Msmt; Oxal; Oxalic acid; UA; UCr; UR; Urn,Oxalate/Creat Msmt Ur,Order,,,,Oxalate/Creatinine [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Oxalate/Creatinine (U) [Measurement]
111445-3,Oxalate,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Ethanedioate; Ethanedioic acid; Lab orders; Msmt; Oxal; Oxalic acid; UA; UR; Urn,Oxalate Msmt Ur,Order,,,,Oxalate [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Oxalate (U) [Measurement]
12790-2,Oxalate^2nd specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.40,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Convalescent; Ethanedioate; Ethanedioic acid; Level; Mass concentration; Oxal; Oxalic acid; p chal; Point in time; Post immunization; PST; QNT; Quan; Quant; Quantitative; Random; Second; sp2; sp2 p chal; Spec; UA; UR; Urn,Oxalate sp2 p chal Ur-mCnc,Observation,,,mcg/mL;mg/L,Oxalate [Mass/volume] in Urine --2nd specimen post XXX challenge,ug/mL,,,,0,0,,,,,,1.0j-a,,Oxalate 2nd specimen post Unsp challenge (U) [Mass/Vol]
12791-0,Oxalate^3rd specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.40,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Ethanedioate; Ethanedioic acid; Level; Mass concentration; Oxal; Oxalic acid; p chal; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp3; sp3 p chal; Spec; UA; UR; Urn,Oxalate sp3 p chal Ur-mCnc,Observation,,,mcg/mL;mg/L,Oxalate [Mass/volume] in Urine --3rd specimen post XXX challenge,ug/mL,,,,0,0,,,,,,1.0j-a,,Oxalate 3rd specimen post Unsp challenge (U) [Mass/Vol]
12792-8,Oxalate^4th specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.40,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Ethanedioate; Ethanedioic acid; Level; Mass concentration; Oxal; Oxalic acid; p chal; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp4; sp4 p chal; Spec; UA; UR; Urn,Oxalate sp4 p chal Ur-mCnc,Observation,,,mcg/mL;mg/L,Oxalate [Mass/volume] in Urine --4th specimen post XXX challenge,ug/mL,,,,0,0,,,,,,1.0j-a,,Oxalate 4th specimen post Unsp challenge (U) [Mass/Vol]
12793-6,Oxalate^5th specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.40,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Ethanedioate; Ethanedioic acid; Level; Mass concentration; Oxal; Oxalic acid; p chal; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp5; sp5 p chal; Spec; UA; UR; Urn,Oxalate sp5 p chal Ur-mCnc,Observation,,,mcg/mL;mg/L,Oxalate [Mass/volume] in Urine --5th specimen post XXX challenge,ug/mL,,,,0,0,,,,,,1.0j-a,,Oxalate 5th specimen post Unsp challenge (U) [Mass/Vol]
12794-4,Oxalate^6th specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.40,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Ethanedioate; Ethanedioic acid; Level; Mass concentration; Oxal; Oxalic acid; p chal; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp6; sp6 p chal; Spec; UA; UR; Urn,Oxalate sp6 p chal Ur-mCnc,Observation,,,mcg/mL;mg/L,Oxalate [Mass/volume] in Urine --6th specimen post XXX challenge,ug/mL,,,,0,0,,,,,,1.0j-a,,Oxalate 6th specimen post Unsp challenge (U) [Mass/Vol]
12795-1,Oxalate^7th specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.40,MIN,,ACTIVE,,1,,,,,Y,^7th spec pst XXX chal; After; CHEMISTRY.CHALLENGE TESTING; Ethanedioate; Ethanedioic acid; Level; Mass concentration; Oxal; Oxalic acid; p chal; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp7; sp7 p chal; Spec; UA; UR; Urn,Oxalate sp7 p chal Ur-mCnc,Observation,,,mcg/mL;mg/L,Oxalate [Mass/volume] in Urine --7th specimen post XXX challenge,ug/mL,,,,0,0,,,,,,1.0j-a,,Oxalate 7th specimen post Unsp challenge (U) [Mass/Vol]
12796-9,Oxalate^8th specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.40,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Ethanedioate; Ethanedioic acid; Level; Mass concentration; Oxal; Oxalic acid; p chal; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp8; sp8 p chal; Spec; UA; UR; Urn,Oxalate sp8 p chal Ur-mCnc,Observation,,,mcg/mL;mg/L,Oxalate [Mass/volume] in Urine --8th specimen post XXX challenge,ug/mL,,,,0,0,,,,,,1.0j-a,,Oxalate 8th specimen post Unsp challenge (U) [Mass/Vol]
12797-7,Oxalate^9th specimen post XXX challenge,MCnc,Pt,Urine,Qn,,CHAL,2.40,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Ethanedioate; Ethanedioic acid; Level; Mass concentration; Oxal; Oxalic acid; p chal; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp9; sp9 p chal; Spec; UA; UR; Urn,Oxalate sp9 p chal Ur-mCnc,Observation,,,mcg/mL;mg/L,Oxalate [Mass/volume] in Urine --9th specimen post XXX challenge,ug/mL,,,,0,0,,,,,,1.0j-a,,Oxalate 9th specimen post Unsp challenge (U) [Mass/Vol]
