LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
19214-6,Oxygen^^saturation adjusted to 0.5,PPres,Pt,BldA,Qn,,CHEM,2.73,MIN,The pO2 of a given blood sample at which hemoglobin of the blood is held saturated,ACTIVE,,1,,3.582 kPa,,,Y,ABG; adj; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; Chemistry; Lung; O2; O2 partial pressure; p50; PaO2; Partial pressure; PO2; Point in time; Pulmonary; Pulmonology; QNT; Quan; Quant; Quantitative; Random; Respiratory; SaO2; SAT; Satn; satn adj to 0.5; SO2; tO2,pO2 satn adj to 0.5 BldA,Observation,,,mm Hg,Oxygen [Partial pressure] saturation adjusted to 0.5 in Arterial blood,mm[Hg],,,,16304,0,,,,,,1.0l,,Oxygen saturation adjusted to 0.5 (BldA) [Partial pressure]
2708-6,Oxygen saturation,MFr,Pt,BldA,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,,ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; Chemistry; Lung; Mass Fraction; O2; Percent; Point in time; Pulmonary; Pulmonology; QNT; Quan; Quant; Quantitative; Random; Respiratory; SaO2; SAT; Satn; SO2; tO2,SaO2 % BldA,Both,,,%,Oxygen saturation in Arterial blood,%,,,,248,0,,,,,89263-8,1.0,,SaO2% (BldA) [Mass fraction]
28642-7,Oxygen saturation,MFr,Pt,BldCoA,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Bld cord; Chemistry; Cord arterial blood; Cord BldA; Gyn; Gynecology; Mass fraction; O2; OB; ObGyn; Obstetrics; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; SaO2; SAT; Satn; SO2; tO2,SaO2 % BldCoA,Observation,,,%,Oxygen saturation in Arterial cord blood,%,,,,1360,0,,,,,,2.00,,SaO2% (BldCoA) [Mass fraction]
51733-4,Oxygen saturation,MFr,Pt,BldA,Qn,Calculated from oxygen partial pressure,CHEM,2.73,MIN,,ACTIVE,,1,"SO2 = (23,400 * (pO23 + 150 * pO2)-1 + 1)-1",%,,,N,ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; Calc; calc from oxygen partial pressure; Calculation; Chemistry; from pO2; Lung; Mass Fraction; O2; Percent; Point in time; Pulmonary; Pulmonology; QNT; Quan; Quant; Quantitative; Random; Respiratory; SaO2; SAT; Satn; SO2; tO2,SaO2 % BldA from pO2,Both,,,%,Oxygen saturation Calculated from oxygen partial pressure in Arterial blood,%,,,,783,0,,,,,,2.24,,SaO2% Calculated from oxygen partial pressure (BldA) [Mass fraction]
59405-1,Oxygen saturation,MFr,8H^max,BldA,Qn,Pulse oximetry,PULM,2.70,MIN,,ACTIVE,,2,,,,,N,1/3 day; 8 hours; 8HR; ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; Lung; Mass Fraction; Maximum; O2; Percent; PULMONARY; Pulmonology; PulseOx; QNT; Quan; Quant; Quantitative; Respiratory; SaO2; SAT; Satn; SO2; SpO2; tO2,SaO2 8h Max % BldA PulseOx,,,,%,Oxygen saturation (8 hour maximum) in Arterial blood Pulse oximetry,%,,,,0,0,,,,,,2.32,,
59406-9,Oxygen saturation,MFr,8H^min,BldA,Qn,Pulse oximetry,PULM,2.70,MIN,,ACTIVE,,2,,,,,N,1/3 day; 8 hours; 8HR; ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; Lung; Mass Fraction; Minimal; minimum; O2; Percent; PULMONARY; Pulmonology; PulseOx; QNT; Quan; Quant; Quantitative; Respiratory; SaO2; SAT; Satn; SO2; SpO2; tO2,SaO2 8h Min % BldA PulseOx,,,,%,Oxygen saturation (8 hour minimum) in Arterial blood Pulse oximetry,%,,,,0,0,,,,,,2.32,,
59408-5,Oxygen saturation,MFr,Pt,BldA,Qn,Pulse oximetry,PULM,2.73,MIN,,ACTIVE,,2,,,,,N,ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; Lung; Mass Fraction; O2; Percent; Point in time; PULMONARY; Pulmonology; PulseOx; QNT; Quan; Quant; Quantitative; Random; Respiratory; SaO2; SAT; Satn; SO2; SpO2; tO2,SaO2 % BldA PulseOx,,,,%,Oxygen saturation in Arterial blood by Pulse oximetry,%,,,,79,0,,,,,89263-8,2.32,,
59409-3,Oxygen saturation^during treatment,MFr,Pt,BldA,Qn,Pulse oximetry,PULM,2.70,MIN,,ACTIVE,,2,,,,,N,ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; during Tx; Lung; Mass Fraction; O2; Percent; Point in time; Pulmonary; Pulmonology; PulseOx; QNT; Quan; Quant; Quantitative; Random; Respiratory; SaO2; SAT; Satn; SO2; SpO2; tO2; Tx,SaO2 during Tx % BldA PulseOx,,,,%,Oxygen saturation in Arterial blood by Pulse oximetry --during treatment,%,,,,0,0,,,,,,2.32,,
59410-1,Oxygen saturation^on room air,MFr,Pt,BldA,Qn,Pulse oximetry,PULM,2.70,MIN,,ACTIVE,,2,,,,,N,ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; Lung; Mass Fraction; O2; Percent; Point in time; PULMONARY; Pulmonology; PulseOx; QNT; Quan; Quant; Quantitative; Random; Respiratory; SaO2; SAT; Satn; SO2; SpO2; tO2,SaO2 room air % BldA PulseOx,,,,%,Oxygen saturation in Arterial blood by Pulse oximetry --on room air,%,,,,0,0,,,,,,2.32,,
59411-9,Oxygen saturation^post bronchodilation,MFr,Pt,BldA,Qn,Pulse oximetry,PULM,2.70,MIN,,ACTIVE,,2,,,,,N,ABG; After; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; Lung; Mass Fraction; O2; p BD; Percent; Point in time; PST; Pulmonary; Pulmonology; PulseOx; QNT; Quan; Quant; Quantitative; Random; Respiratory; SaO2; SAT; Satn; SO2; SpO2; tO2,SaO2 p BD % BldA PulseOx,,,,%,Oxygen saturation in Arterial blood by Pulse oximetry --post bronchodilation,%,,,,0,0,,,,,,2.32,,
59412-7,Oxygen saturation^post exercise,MFr,Pt,BldA,Qn,Pulse oximetry,PULM,2.73,MIN,,ACTIVE,,2,,,,,N,ABG; After; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; EXCZ; Lung; Mass Fraction; O2; p Exc; Percent; Point in time; PST; Pulmonary; Pulmonology; PulseOx; QNT; Quan; Quant; Quantitative; Random; Respiratory; SaO2; SAT; Satn; SO2; SpO2; tO2,SaO2 p Exc % BldA PulseOx,,,,%,Oxygen saturation in Arterial blood by Pulse oximetry --post exercise,%,,,,10990,0,,,,,,2.32,,
59413-5,Oxygen saturation^post treatment,MFr,Pt,BldA,Qn,Pulse oximetry,PULM,2.70,MIN,,ACTIVE,,2,,,,,N,ABG; After; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; Lung; Mass Fraction; O2; p Tx; Percent; Point in time; PST; Pulmonary; Pulmonology; PulseOx; QNT; Quan; Quant; Quantitative; Random; Respiratory; SaO2; SAT; Satn; SO2; SpO2; tO2; Tx,SaO2 p Tx % BldA PulseOx,,,,%,Oxygen saturation in Arterial blood by Pulse oximetry --post treatment,%,,,,0,0,,,,,,2.32,,
59414-3,Oxygen saturation^pre bronchodilation,MFr,Pt,BldA,Qn,Pulse oximetry,PULM,2.70,MIN,,ACTIVE,,2,,,,,N,ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Before; Blood arterial; Lung; Mass Fraction; O2; Percent; Point in time; pre BD; Pulmonary; Pulmonology; PulseOx; QNT; Quan; Quant; Quantitative; Random; Respiratory; SaO2; SAT; Satn; SO2; SpO2; tO2,SaO2 pre BD % BldA PulseOx,,,,%,Oxygen saturation in Arterial blood by Pulse oximetry --pre bronchodilation,%,,,,0,0,,,,,,2.32,,
59415-0,Oxygen saturation^pre physiotherapy,MFr,Pt,BldA,Qn,Pulse oximetry,PULM,2.70,MIN,,ACTIVE,,2,,,,,N,ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Before; Blood arterial; Lung; Mass Fraction; O2; Percent; Point in time; pre PT; Pulmonary; Pulmonology; PulseOx; QNT; Quan; Quant; Quantitative; Random; Respiratory; SaO2; SAT; Satn; SO2; SpO2; tO2,SaO2 pre PT % BldA PulseOx,,,,%,Oxygen saturation in Arterial blood by Pulse oximetry --pre physiotherapy,%,,,,0,0,,,,,,2.32,,
