LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
10547-8,Primidone+PHENobarbital,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Barbiturate; c417; DRUG/TOXICOLOGY; Drugs; Level; Luminal; Mass concentration; Mysoline; Nirvonal; PHBR; Phenobarb; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Primidone+Phenobarb SerPl-mCnc,Both,,,ug/mL,Primidone+PHENobarbital [Mass/volume] in Serum or Plasma,ug/mL,,,,19292,0,,,,,,1.0i,,Primidone+PHENobarbital [Mass/Vol]
110667-3,PHENobarbital,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Barbiturate; c417; Lab orders; Luminal; Msmt; Nirvonal; PHBR; Phenobarb; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Phenobarb Msmt SerPl,Order,,,,PHENobarbital [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,PHENobarbital [Measurement]
14874-2,PHENobarbital,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Barbiturate; c417; DRUG/TOXICOLOGY; Drugs; Level; Luminal; Nirvonal; PHBR; Phenobarb; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Phenobarb SerPl-sCnc,Both,,,umol/L,PHENobarbital [Moles/volume] in Serum or Plasma,umol/L,,,,16617,0,,,,,,1.0k,,PHENobarbital [Moles/Vol]
34365-7,Primidone+PHENobarbital,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.70,MIN,,ACTIVE,,1,,,,,N,Barbiturate; c417; DRUG/TOXICOLOGY; Drugs; Level; Luminal; Mysoline; Nirvonal; PHBR; Phenobarb; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Primidone+Phenobarb SerPl-sCnc,Both,,,umol/L,Primidone+PHENobarbital [Moles/volume] in Serum or Plasma,umol/L,,,,0,0,,,,,,2.10,,Primidone+PHENobarbital [Moles/Vol]
35631-1,PHENobarbital,MCnc,Pt,Ser/Plas,Qn,Screen,DRUG/TOX,2.40,MIN,,ACTIVE,,1,,,,,N,Barbiturate; c417; DRUG/TOXICOLOGY; Drugs; Level; Luminal; Mass concentration; Nirvonal; PHBR; Phenobarb; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Scn; Scr; Scrn; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Phenobarb SerPl Scn-mCnc,Both,,,ug/mL,PHENobarbital [Mass/volume] in Serum or Plasma by Screen method,ug/mL,,,,0,0,,,,,,2.13,,PHENobarbital Screen [Mass/Vol]
3947-9,PHENobarbital,PrThr,Pt,Ser/Plas,Ord,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,,Barbiturate; c417; DRUG/TOXICOLOGY; Drugs; Luminal; Nirvonal; Ordinal; PHBR; Phenobarb; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Phenobarb SerPl Ql,Both,,,,PHENobarbital [Presence] in Serum or Plasma,,,,"The Property has been changed from ACnc to reflect the new model for ordinal terms where results are based on a cut-off value.; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",6312,0,,,,,,1.0,,PHENobarbital Ql
3948-7,PHENobarbital,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Barbiturate; c417; DRUG/TOXICOLOGY; Drugs; Level; Luminal; Mass concentration; Nirvonal; PHBR; Phenobarb; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Phenobarb SerPl-mCnc,Both,,,ug/mL,PHENobarbital [Mass/volume] in Serum or Plasma,ug/mL,,,,1390,137,,,,,,1.0,,PHENobarbital [Mass/Vol]
3951-1,PHENobarbital.free,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Barbiturate; c417; DRUG/TOXICOLOGY; Drugs; FR; Level; Luminal; Mass concentration; Nirvonal; Non-protein bound; PHBR; Phenobarb; PHENobarb Free; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,PHENobarb Free SerPl-mCnc,Both,,,ug/mL,PHENobarbital Free [Mass/volume] in Serum or Plasma,ug/mL,,,,13041,0,,,,,,1.0,,PHENobarbital Free [Mass/Vol]
60468-6,PHENobarbital,MCnc,Pt,Ser/Plas,Qn,Confirm,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,N,Barbiturate; c417; Cfm; CNFR; CNFRM; Conf; Confirmation; Confirmatory; DRUG/TOXICOLOGY; Drugs; GCMS; LC/MS/MS; Level; Luminal; Mass concentration; Nirvonal; PHBR; Phenobarb; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Phenobarb SerPl Cfm-mCnc,Both,,,mg/L,PHENobarbital [Mass/volume] in Serum or Plasma by Confirmatory method,ug/mL,,,,7521,0,,,,,,2.34,,PHENobarbital Confirm [Mass/Vol]
72973-1,PHENobarbital induced neutrophil Ab.IgM,PrThr,Pt,Ser/Plas,Ord,Flow cytometry,SERO,2.56,MIN,,ACTIVE,,1,,,,,,(neut) Ab; (neut) IgM; ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Barbiturate; c417; Dynamic; FC; Granulocytic Ab; Immune globulin M; Immunoglobulin M; Luminal; Neut; Neutr; Neutrophils; Nirvonal; Ordinal; PHBR; Phenobarb; Pl; Plasma; Plsm; PMN; PNM; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serology; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Phenobarb (neut) IgM SerPl Ql FC,Both,,,,PHENobarbital induced neutrophil IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.44,,PHENobarbital induced neutrophil IgM FC Ql
