LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
10548-6,Phenytoin.free/Phenytoin.total,MFr,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,DI-HYDAN; Dilantin; Dilj; Diphenylhydantoin; DPH; DRUG/TOXICOLOGY; Drugs; Epanutin; Fenantoin; FR; Lehydan; Mass fraction; Non-protein bound; Percent; Phenhydan; Phenytoin Free; Phenytoin Total; PHYT; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sinergina; SR; Tot; Totl; Zentropil,Phenytoin Free MFr SerPl,Observation,,,%,Phenytoin Free/Phenytoin.total in Serum or Plasma,%,,,,2450,0,,,,,,1.0i,,Phenytoin Free/Total phenytoin [Mass fraction]
110246-6,Phenytoin,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,DI-HYDAN; Dilantin; Dilj; Diphenylhydantoin; DPH; Epanutin; Fenantoin; Lab orders; Lehydan; Msmt; Phenhydan; PHYT; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sinergina; SR; Zentropil,Phenytoin Msmt SerPl,Order,,,,Phenytoin [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Phenytoin [Measurement]
14337-0,Phenytoin.total/Phenytoin.free,MRto,Pt,Ser/Plas,Qn,,DRUG/TOX,2.42,MIN,,ACTIVE,,1,,,,,Y,DI-HYDAN; Dilantin; Dilj; Diphenylhydantoin; DPH; DRUG/TOXICOLOGY; Drugs; Epanutin; Fenantoin; FR; Lehydan; Mass concentration ratio; Mass ratio; MCRto; Non-protein bound; Phenhydan; Phenytoin Free; Phenytoin Total; PHYT; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sinergina; SR; Tot; Totl; Zentropil,Phenytoin Total/Free SerPl,Observation,,,,Phenytoin.total/Phenytoin.free [Mass Ratio] in Serum or Plasma,,,,,0,0,,,,,,1.0k,,Phenytoin.total/Phenytoin.free [Mass ratio]
14877-5,Phenytoin,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,DI-HYDAN; Dilantin; Dilj; Diphenylhydantoin; DPH; DRUG/TOXICOLOGY; Drugs; Epanutin; Fenantoin; Lehydan; Level; Phenhydan; PHYT; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sinergina; SR; Substance concentration; Zentropil,Phenytoin SerPl-sCnc,Both,,,umol/L,Phenytoin [Moles/volume] in Serum or Plasma,umol/L,,,,7115,0,,,,,,1.0k,,Phenytoin [Moles/Vol]
32109-1,Phenytoin.free,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,N,DI-HYDAN; Dilantin; Dilj; Diphenylhydantoin; DPH; DRUG/TOXICOLOGY; Drugs; Epanutin; Fenantoin; FR; Lehydan; Level; Non-protein bound; Phenhydan; Phenytoin Free; PHYT; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sinergina; SR; Substance concentration; Zentropil,Phenytoin Free SerPl-sCnc,Observation,,,umol/L,Phenytoin Free [Moles/volume] in Serum or Plasma,umol/L,,,,0,0,,,,,,2.07,,Phenytoin Free [Moles/Vol]
35632-9,Phenytoin,MCnc,Pt,Ser/Plas,Qn,Screen,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,N,DI-HYDAN; Dilantin; Dilj; Diphenylhydantoin; DPH; DRUG/TOXICOLOGY; Drugs; Epanutin; Fenantoin; Lehydan; Level; Mass concentration; Phenhydan; PHYT; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Scn; Scr; Scrn; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sinergina; SR; Zentropil,Phenytoin SerPl Scn-mCnc,Both,,,ug/mL,Phenytoin [Mass/volume] in Serum or Plasma by Screen method,ug/mL,,,,14508,0,,,,,,2.13,,Phenytoin Screen [Mass/Vol]
3967-7,Phenytoin,PrThr,Pt,Ser/Plas,Ord,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,,DI-HYDAN; Dilantin; Dilj; Diphenylhydantoin; DPH; DRUG/TOXICOLOGY; Drugs; Epanutin; Fenantoin; Lehydan; Ordinal; Phenhydan; PHYT; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sinergina; SR; Zentropil,Phenytoin SerPl Ql,Both,,,,Phenytoin [Presence] in Serum or Plasma,,,,"The Property has been changed from ACnc to reflect the new model for ordinal terms where results are based on a cut-off value.; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",10902,0,,,,,,1.0,,Phenytoin Ql
3968-5,Phenytoin,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,DI-HYDAN; Dilantin; Dilj; Diphenylhydantoin; DPH; DRUG/TOXICOLOGY; Drugs; Epanutin; Fenantoin; Lehydan; Level; Mass concentration; Phenhydan; PHYT; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sinergina; SR; UniversalLabOrders; Zentropil,Phenytoin SerPl-mCnc,Both,,,ug/mL,Phenytoin [Mass/volume] in Serum or Plasma,ug/mL,,,,874,213,,,,,,1.0,,Phenytoin [Mass/Vol]
3969-3,Phenytoin.free,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,DI-HYDAN; Dilantin; Dilj; Diphenylhydantoin; DPH; DRUG/TOXICOLOGY; Drugs; Epanutin; Fenantoin; FR; Lehydan; Level; Mass concentration; Non-protein bound; Phenhydan; Phenytoin Free; PHYT; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sinergina; SR; UniversalLabOrders; Zentropil,Phenytoin Free SerPl-mCnc,Both,,,ug/mL,Phenytoin Free [Mass/volume] in Serum or Plasma,ug/mL,,,Changed Order_Obs from 'Observation Only' to fit the current order use cases.,1466,0,,,,,,1.0,,Phenytoin Free [Mass/Vol]
40460-8,Phenytoin.bound,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,N,Associated; bnd; Bnd Phenytoin; DI-HYDAN; Dilantin; Dilj; Diphenylhydantoin; DPH; DRUG/TOXICOLOGY; Drugs; Epanutin; Fenantoin; Lehydan; Level; Mass concentration; Phenhydan; PHYT; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sinergina; SR; Zentropil,Bnd Phenytoin SerPl-mCnc,Both,,,ug/mL,Phenytoin.bound [Mass/volume] in Serum or Plasma,ug/mL,,,,5742,0,,,,,,2.15,,Phenytoin.bound [Mass/Vol]
