LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
108801-2,Phosphate,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,i Phos; Inorganic phosphate; Lab orders; Msmt; Phos; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; Pl; Plasma; Plsm; PO4; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Phosphate Msmt SerPl,Order,,,,Phosphate [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Phosphate [Measurement]
1380-5,Calcium/Phosphate parathyroid-challenge test,MRto,Pt,Ser,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,Ca; Ca Phos; Cal; CAP; CHEMISTRY.CHALLENGE TESTING; i Phos; Inorganic phosphate; Mass concentration ratio; Mass ratio; MCRto; Phos; Phos PTH Chall; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; PO4; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR,Calcium/Phos PTH Chall Ser,Observation,,,,Calcium/Phosphate parathyroid-challenge test [Mass Ratio] in Serum,,,,,8245,0,,,,,,1.0,,Calcium/Phosphate parathyroid-challenge test (S) [Mass ratio]
14879-1,Phosphate,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; i Phos; Inorganic phosphate; Level; Phos; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; Pl; Plasma; Plsm; PO4; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Phosphate SerPl-sCnc,Both,,,mmol/L,Phosphate [Moles/volume] in Serum or Plasma,mmol/L,,,,3203,0,,,,,,1.0k,,Phosphate [Moles/Vol]
16525-8,Calcium/Phosphate,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Ca; Ca Phos; Cal; CAP; Chemistry; i Phos; Inorganic phosphate; Mass concentration ratio; Mass ratio; MCRto; Phos; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; Pl; Plasma; Plsm; PO4; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Calcium/Phosphate SerPl,Observation,,,,Calcium/Phosphate [Mass Ratio] in Serum or Plasma,,,,,12793,0,,,,,,1.0l,,Calcium/Phosphate [Mass ratio]
2016-4,Carbamoyl phosphate synthetase,CCnc,Pt,Ser,Qn,,CHEM,2.68,MIN,,ACTIVE,,1,,,,,Y,Carbamoyl-phosphate synthase; Catalytic Concentration; Chemistry; CPS; i Phos; Inorganic phosphate; Phos; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; PO4; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR,CPS Ser-cCnc,Both,,,arb U/L,Carbamoyl phosphate synthetase [Enzymatic activity/volume] in Serum,U/L,,,,0,0,,,,,,1.0,,Carbamoyl phosphate synthetase (S) [Catalytic activity/Vol]
20941-1,Phosphate,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.36,DEL,,DEPRECATED,,1,,,,,Y,Chemistry; i Phos; Inorganic phosphate; Level; Mass concentration; Phos; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; Pl; Plasma; Plsm; PO4; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Deprecated Phosphate SerPl-mCnc,,,,,Deprecated Phosphate [Mass/volume] in Serum or Plasma,,Duplicate,,,0,0,,,,,,1.0m,,Phosphate [Mass/Vol]
2353-1,Glucose phosphate isomerase,CCnc,Pt,Ser,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Catalytic Concentration; Chemistry; Glu; Gluc; Glucose-6-phosphate isomerase; Glucosephosphate isomerase; Glucoseur; GPI; i Phos; Inorganic phosphate; Isom; PHI; Phos; Phosphate total; Phosphohexoisomerase; Phosphohexose isomerase; Phosphorous; Phosphorus; Phosphrous; Pi; PO4; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR,GPI Ser-cCnc,Both,,,arb U/L,Glucose phosphate isomerase [Enzymatic activity/volume] in Serum,U/L,,,,15318,0,,,,,,1.0,,Glucose phosphate isomerase (S) [Catalytic activity/Vol]
2358-0,Glucose-6-Phosphate dehydrogenase,PrThr,Pt,Ser,Ord,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,,Chemistry; Dehydrog; Dehyrdogenase; G6PD; G-6-PD; G6PDH; Glu; Gluc; Glucose-6-PD; Glucose-6-PDH; Glucoseur; GPD; Hematology; Heme; i Phos; Inorganic phosphate; Ordinal; Phos; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; PO4; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serum; SR,G6PD Ser Ql,Both,,,,Glucose-6-Phosphate dehydrogenase [Presence] in Serum,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",5098,0,,,,,,1.0,,G6PD Ql (S)
2359-8,Glucose-6-Phosphate dehydrogenase,CCnc,Pt,Ser,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Catalytic Concentration; Chemistry; Dehydrog; Dehyrdogenase; G6PD; G-6-PD; G6PDH; Glu; Gluc; Glucose-6-PD; Glucose-6-PDH; Glucoseur; GPD; Hematology; Heme; i Phos; Inorganic phosphate; Phos; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; PO4; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR,G6PD Ser-cCnc,Both,,,arb U/L,Glucose-6-Phosphate dehydrogenase [Enzymatic activity/volume] in Serum,U/L,,,,8557,0,,,,,,1.0,,G6PD (S) [Catalytic activity/Vol]
2384-6,Glyceraldehyde 3 phosphate dehydrogenase,CCnc,Pt,Ser,Qn,,CHEM,2.68,MIN,,ACTIVE,,1,,,,,Y,Catalytic Concentration; Chemistry; Dehydrog; Dehyrdogenase; GAPD; GAPDH; i Phos; III; Inorganic phosphate; Phos; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; PO4; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR,GAPD Ser-cCnc,Both,,,arb U/L,Glyceraldehyde 3 phosphate dehydrogenase [Enzymatic activity/volume] in Serum,U/L,,,,0,0,,,,,,1.0,,Glyceraldehyde 3 phosphate dehydrogenase (S) [Catalytic activity/Vol]
2688-0,Orotidine-5'-Phosphate decarboxylase,CCnc,Pt,Ser,Qn,,CHEM,2.68,MIN,,ACTIVE,,1,,,,,Y,Catalytic Concentration; Chemistry; i Phos; Inorganic phosphate; ODCase; OMP decarboxylase; OMPdecase; Phos; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; PO4; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR,OMPdecase Ser-cCnc,Both,,,arb U/L,Orotidine-5'-Phosphate decarboxylase [Enzymatic activity/volume] in Serum,U/L,,,,0,0,,,,,,1.0,,Orotidine-5'-Phosphate decarboxylase (S) [Catalytic activity/Vol]
2776-3,Phosphate renal clearance,VRat,24H,Urine+Ser/Plas,Qn,,CHEM,2.66,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; Flow; i Phos; Inorganic phosphate; Kidney; Phos; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; Pl; Plasma; Plsm; PO4; QNT; Quan; Quant; Quantitative; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UR; Ur+SerPl; Urn; Volume rate; vRate,Phosphate Cl 24h Ur+SerPl-vRate,Both,,,mL/s,Phosphate renal clearance in 24 hour Urine and Serum or Plasma,mL/s,,,,0,0,,,,,,1.0,,Phosphate renal clearance (24H U+S/P) [Vol/Time]
2777-1,Phosphate,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; i Phos; Inorganic phosphate; Level; Mass concentration; Phos; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; Pl; Plasma; Plsm; PO4; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Phosphate SerPl-mCnc,Both,,,mg/dL,Phosphate [Mass/volume] in Serum or Plasma,mg/dL,,,,55,29,,,,,,1.0,,Phosphate [Mass/Vol]
