LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
107193-5,Platelets^in presence of EDTA to detect possible clumping,NCnc,Pt,Bld,Qn,Automated count,HEM/BC,2.82,MIN,,ACTIVE,,1,,,,,N,#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Number concentration; Number Concentration (count/vol); Platelet; Platelet count; Platelets^EDTA; Platelt; Plt; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrb; Thrombocyte; Thrombocytes; WB; Whole blood,Platelet # Bld Auto,Both,,,10^3/uL,Platelets [#/volume] in Blood by Automated count --in presence of EDTA to detect possible clumping,10^3/uL,,,,0,0,,,,,,2.79,,Platelets in presence of EDTA to detect possible clumping Auto (Bld) [#/Vol]
13056-7,Platelets,NCnc,Pt,Plas,Qn,Automated count,HEM/BC,2.73,MIN,,ACTIVE,,1,,,,,Y,#; ABS; absolute; absolutes; Auto; Automated detection; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Number concentration; Number Concentration (count/vol); Pl; Plasma; Platelet; Platelet count; Platelt; Plsm; Plt; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrb; Thrombocyte; Thrombocytes,Platelet # Plas Auto,Both,,,10*3/uL,Platelets [#/volume] in Plasma by Automated count,10*3/uL,,,,19151,0,,,,,,1.0j-a,,Platelets Auto (P) [#/Vol]
15201-7,Platelets.large fragments,NCnc,Pt,Bld,Qn,Manual count,HEM/BC,2.73,MIN,,ACTIVE,,1,,,,,Y,#; ABS; absolute; absolutes; Blood; Cnt; Count; Count/volume; CT; Frag; Fragment; HEMATOLOGY/CELL COUNTS; Lg Platelets; Manl; Number concentration; Number Concentration (count/vol); Platelet; Platelet count; Platelets Lg Frg; Platelt; Plt; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrb; Thrombocyte; Thrombocytes; WB; Whole blood,Platelets Lg Frg # Bld Manual,Observation,,,10*9/L,Platelets Large Fragments [#/volume] in Blood by Manual count,10*3/uL,,,,13608,0,,,,,,1.0k,,Platelets Large Fragments Manual cnt (Bld) [#/Vol]
32712-2,Platelets.giant/Leukocytes,Ratio,Pt,Bld,Qn,Manual count,HEM/BC,2.79,NAM,,ACTIVE,,1,,,,,N,Blood; Giant Platelets; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Manl; Platelet; Platelt; Plt; Point in time; QNT; Quan; Quant; Quantitative; Random; Ratios; Rto; Thrb; Thrombocyte; Thrombocytes; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood,Giant Platelets Bld Manual-Rto,Observation,,,,Giant platelets/Leukocytes [Ratio] in Blood by Manual count,,,,"Release 2.79: COMPONENT: Triggered by Coll w SCT: This is a specific fraction case where the denominator is percentage or /100. Because the logic is that the percentage piece is captured by Property: NFr (Numeric Fraction), and by Unit: %, therefore, it is redundant to include ""100"" in the component;",7116,0,,,,,,2.09,,Giant platelets/Leukocytes Manual cnt (Bld) [Ratio]
34167-7,Platelets.large,PrThr,Pt,Bld,Ord,Automated count,HEM/BC,2.73,MIN,,ACTIVE,,1,,1+ - 4+,,,N,Auto; Automated detection; Blood; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Lg Platelets; Ordinal; Platelet; Platelet adequacy; Platelet estimate; Platelt; Plt; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Thrb; Thrombocyte; Thrombocytes; WB; Whole blood,Lg Platelets Bld Ql Auto,Observation,,,,Platelets Large [Presence] in Blood by Automated count,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",831,0,,,,,,2.10,,Platelets Large Auto Ql (Bld)
40574-6,Platelets,NCnc,Pt,Body fld,Qn,Automated count,HEM/BC,2.73,MIN,,ACTIVE,,1,,,,,N,"#; ABS; absolute; absolutes; Auto; Automated detection; B/F; BF; bod; Bodies; Body fluid; Body fluid, unsp; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; Fl; Fld; FLU; Fluid; HEMATOLOGY/CELL COUNTS; Number concentration; Number Concentration (count/vol); Platelet; Platelet count; Platelt; Plt; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrb; Thrombocyte; Thrombocytes",Platelet # Fld Auto,Both,,,10*9/L,Platelets [#/volume] in Body fluid by Automated count,10*3/uL,,,,1560,0,,,,,,2.15,,Platelets Auto (Body fld) [#/Vol]
48386-7,Platelets.large/Platelets,NFr,Pt,Bld,Qn,Automated count,HEM/BC,2.58,MIN,Platelet large cell ratio (P-LCR) is the ratio of platelets larger than 12 fL and smaller than 30 fL divided by the total number of platelets counted (fL (femtoliter) is the metric unit of volume equal to 10*-15 liters). P-LCR is one of the platelet volume indices estimated by automated blood cell analyzers and useful for various diagnoses of abnormal platelet counts.  An elevated P-LCR is seen in patients with hyperlipidemia and suggests the possible risk of thrombosis.  Larger platelets are more reactive and may add to vaso-occlusive events in patients with dyslipidemia. P-LCR may be useful as an indicator of risk for thromboembolic ischemia events.[PMID: 15485465],ACTIVE,,1,,,,,N,Auto; Automated detection; Blood; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Lg Platelets; Number Fraction; Percent; Platelet; Platelt; Plt; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrb; Thrombocyte; Thrombocytes; WB; Whole blood,Lg Platelets/Platelet NFr Bld Auto,Observation,,,%,Platelets Large/Platelets in Blood by Automated count,%,,,,0,0,,,,,,2.21,,Platelets Large/Platelets Auto (Bld)
53800-9,Platelets panel,-,Pt,Bld,Qn,Automated count,PANEL.HEM/BC,2.68,MIN,,ACTIVE,,1,,,,,N,Auto; Automated detection; Blood; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Pan; PANEL.HEMATOLOGY& CELL COUNTS; Panl; Platelet; Platelets Pnl; Platelt; Plt; Pnl; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrb; Thrombocyte; Thrombocytes; WB; Whole blood,Platelets Pnl Bld Auto,Order,,,,Platelets panel - Blood by Automated count,,,,,0,0,,,Panel,,,2.26,,Platelets panel Auto (Bld)
5907-1,Platelets,NCnc,Pt,Bld,Qn,Automated count,HEM/BC,2.40,DEL,,DEPRECATED,,1,,,,,,#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Number concentration; Number Concentration (count/vol); Platelet; Platelet count; Platelt; Plt; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrb; Thrombocyte; Thrombocytes; WB; Whole blood,Deprecated Platelet # Bld Auto,,,,10*9/L,Deprecated Platelets [#/volume] in Blood by Automated count,10*3/uL,Duplicate,,,0,0,,,,,,1.0b,,Platelets Auto (Bld) [#/Vol]
62244-9,Platelets,NCnc,Pt,Bld^Fetus,Qn,Automated count,HEM/BC,2.70,MIN,,ACTIVE,,1,,,,,N,#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; Fetal; Gyn; Gynecology; HEMATOLOGY/CELL COUNTS; Number concentration; Number Concentration (count/vol); OB; ObGyn; Obstetrics; Platelet; Platelet count; Platelt; Plt; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrb; Thrombocyte; Thrombocytes; WB; Whole blood,Platelet # Bld Fetus Auto,Both,,,10*9/L,Platelets [#/volume] in Blood from Fetus by Automated count,10*3/uL,,,,0,0,,,,,,2.34,,Platelets Auto (Bld fetus) [#/Vol]
