LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
108797-2,Potassium,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,k; K+; Lab orders; Msmt; Pl; Plasma; Plsm; Potass; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Potassium Msmt SerPl,Order,,,,Potassium [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Potassium [Measurement]
12812-4,Potassium^2nd specimen,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.40,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Convalescent; k; K+; Level; Pl; Plasma; Plsm; Point in time; Post immunization; Potass; QNT; Quan; Quant; Quantitative; Random; Second; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp2; Spec; SR; Substance concentration,Potassium sp2 SerPl-sCnc,Observation,,,mmol/L,Potassium [Moles/volume] in Serum or Plasma --2nd specimen,mmol/L,,,,0,0,,,,,,1.0j-a,,Potassium spec 2 [Moles/Vol]
12813-2,Potassium^3rd specimen,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.40,MIN,,ACTIVE,,1,,,,,Y,Chemistry; k; K+; Level; Pl; Plasma; Plsm; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp3; Spec; SR; Substance concentration,Potassium sp3 SerPl-sCnc,Observation,,,mmol/L,Potassium [Moles/volume] in Serum or Plasma --3rd specimen,mmol/L,,,,0,0,,,,,,1.0j-a,,Potassium spec 3 [Moles/Vol]
22760-3,Potassium,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,DISCOURAGED,,1,,,,,Y,Chemistry; k; K+; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Potassium SerPl-mCnc,Both,,,,Potassium [Mass/volume] in Serum or Plasma,,,No units are associated with this term - cannot verify validity,,5680,0,,,,,,1.0n,,Potassium [Mass/Vol]
28003-2,Sodium/Potassium,SRto,Pt,Ser/Plas,Qn,,CHEM,2.42,MIN,,ACTIVE,,1,,,,,Y,Chemistry; k; K+; Na; Na+; Pl; Plasma; Plsm; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Scrto; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration ratio; Substance ratio,Sodium/Potassium SerPl-sRto,Both,,,,Sodium/Potassium [Molar ratio] in Serum or Plasma,,,,,0,0,,,,,,2.00,,Sodium/Potassium [Molar ratio]
2823-3,Potassium,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; k; K+; Level; Pl; Plasma; Plsm; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; UniversalLabOrders,Potassium SerPl-sCnc,Both,,,mmol/L,Potassium [Moles/volume] in Serum or Plasma,mmol/L,,,,7,74,,,,,,1.0,,Potassium [Moles/Vol]
2830-8,Potassium renal clearance,VRat,24H,Urine+Ser/Plas,Qn,,CHEM,2.66,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; Flow; k; K+; Kidney; Pl; Plasma; Plsm; Potass; QNT; Quan; Quant; Quantitative; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UR; Ur+SerPl; Urn; Volume rate; vRate,Potassium Cl 24h Ur+SerPl-vRate,Both,,,mL/min,Potassium renal clearance in 24 hour Urine and Serum or Plasma,mL/min,,,,0,0,,,,,,1.0,,Potassium renal clearance (24H U+S/P) [Vol/Time]
29349-8,Potassium^post dialysis,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,After; Chemistry; Dialy; k; K+; Kidney; Level; Nephrology; p dialysis; Pl; Plasma; Plsm; Point in time; Potass; PST; QNT; Quan; Quant; Quantitative; Random; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Potassium p dialysis SerPl-sCnc,Observation,,,mmol/L; mEq/L,Potassium [Moles/volume] in Serum or Plasma --post dialysis,mmol/L,,,,17313,0,,,,,,2.03,,Potassium post dialysis [Moles/Vol]
41871-5,Voltage-gated potassium channel Ab,SCnc,Pt,Ser,Qn,,SERO,2.73,MIN,,ACTIVE,,1,,,,,N,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Serology; Serum; SR; Substance concentration; VG; V-G; VGKC,VGKC Ab Ser-sCnc,Both,,,pmol/L,Voltage-gated potassium channel Ab [Moles/volume] in Serum,pmol/L,,,,4157,0,,,,,,2.16,,Voltage-gated potassium channel Ab (S) [Moles/Vol]
42569-4,Potassium,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,MIN,,DISCOURAGED,,1,,,,,N,Chemistry; k; K+; Level; Pl; Plasma; Plsm; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Potassium SerPl-msCnc,Both,,,,Potassium [Mass or Moles/volume] in Serum or Plasma,,,These were created for the sole purpose of facilitating use of LOINC for submissions for medication approval to the FDA and should not be used in routine laboratory reporting.,,0,0,,,,,,2.16,,Potassium [Mass or moles/Vol]
