LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
111108-7,Potassium/Creatinine,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,CR; Crea; Creat; k; K+; Lab orders; Msmt; Potass; UA; UCr; UR; Urn,Potassium/Creat Msmt Ur,Order,,,,Potassium/Creatinine [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Potassium/Creatinine (U) [Measurement]
111459-4,Potassium,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,k; K+; Lab orders; Msmt; Potass; UA; UR; Urn,Potassium Msmt Ur,Order,,,,Potassium [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Potassium (U) [Measurement]
11148-4,Potassium/Creatinine,MRto,Pt,Urine,Qn,,CHEM,2.44,MIN,,DISCOURAGED,,1,,,,,Y,Chemistry; CR; Crea; Creat; k; K+; Mass concentration ratio; Mass ratio; MCRto; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; UA; UCr; UR; Urn,Potassium/Creat Ur,Both,,,,Potassium/Creatinine [Mass Ratio] in Urine,,,Most laboratories report this in moles. Double check with your lab for reporting units.,,0,0,,,,,,1.0j-a,,Potassium/Creatinine (U) [Mass ratio]
13798-4,Potassium/Creatinine,MRto,24H,Urine,Qn,,CHEM,2.44,MIN,,DISCOURAGED,,1,,,,,Y,1 day; 24 hours; 24HR; Chemistry; CR; Crea; Creat; k; K+; Kidney; Mass concentration ratio; Mass ratio; MCRto; Nephrology; Potass; QNT; Quan; Quant; Quantitative; Renal; UA; UCr; UR; Urn,Potassium/Creat 24h Ur,Both,,,,Potassium/Creatinine [Mass Ratio] in 24 hour Urine,,,Most laboratories report this in moles. Double check with your lab for reporting units.,,0,0,,,,,,1.0k,,Potassium/Creatinine (24H U) [Mass ratio]
18372-3,Potassium,SRat,6H,Urine,Qn,,CHEM,2.42,MIN,,ACTIVE,,1,,,,,Y,6 hours; 6Hr; Chemistry; k; K+; Potass; QNT; Quan; Quant; Quantitative; sRate; Substance Rate; UA; UR; Urn,Potassium 6h Ur-sRate,Both,,,mmol/6 H,Potassium [Moles/time] in 6 hour Urine,mmol/(6.h),,,,0,0,,,,,,1.0l,,Potassium (6H U) [Moles/Time]
21476-7,Potassium,SCnc,24H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Chemistry; k; K+; Kidney; Level; Nephrology; Potass; QNT; Quan; Quant; Quantitative; Renal; Substance Concentration; UA; UR; Urn,Potassium 24h Ur-sCnc,Both,,,mmol/L;mEq/L,Potassium [Moles/volume] in 24 hour Urine,mmol/L,,,,3550,0,,,,,,1.0m,,Potassium (24H U) [Moles/Vol]
2828-2,Potassium,SCnc,Pt,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration; UA; UniversalLabOrders; UR; Urn,Potassium Ur-sCnc,Both,,,mmol/L,Potassium [Moles/volume] in Urine,mmol/L,,,,901,182,,,,,,1.0,,Potassium (U) [Moles/Vol]
2829-0,Potassium,SRat,24H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Chemistry; k; K+; Kidney; Nephrology; Potass; QNT; Quan; Quant; Quantitative; Renal; sRate; Substance Rate; UA; UR; Urn,Potassium 24h Ur-sRate,Both,,,mmol/24 H,Potassium [Moles/time] in 24 hour Urine,mmol/(24.h),,,,2663,0,,,,,,1.0,,Potassium (24H U) [Moles/Time]
2830-8,Potassium renal clearance,VRat,24H,Urine+Ser/Plas,Qn,,CHEM,2.66,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; Flow; k; K+; Kidney; Pl; Plasma; Plsm; Potass; QNT; Quan; Quant; Quantitative; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UR; Ur+SerPl; Urn; Volume rate; vRate,Potassium Cl 24h Ur+SerPl-vRate,Both,,,mL/min,Potassium renal clearance in 24 hour Urine and Serum or Plasma,mL/min,,,,0,0,,,,,,1.0,,Potassium renal clearance (24H U+S/P) [Vol/Time]
2959-5,Sodium/Potassium,SRto,Pt,Urine,Qn,,CHEM,2.42,MIN,,ACTIVE,,1,,,,,Y,Chemistry; k; K+; Na; Na+; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Scrto; Substance concentration ratio; Substance ratio; UA; UR; Urn,Sodium/Potassium Ur-sRto,Both,,,,Sodium/Potassium [Molar ratio] in Urine,,,,,0,0,,,,,,1.0,,Sodium/Potassium (U) [Molar ratio]
