LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
110670-7,Prealbumin,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Lab orders; Msmt; PALB; Pl; Plasma; Plsm; Pre albumin; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Transthyretin,Prealb Msmt SerPl,Order,,,,Prealbumin [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Prealbumin [Measurement]
13979-0,Prealbumin/Protein.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis,CHEM,2.70,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Mass fraction; PALB; Percent; Pl; Plasma; Plsm; Point in time; PR; Pre albumin; Prot; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SPEP; SR; Tot; Totl; TP; Transthyretin,Prealb MFr SerPl Elph,Observation,,,%,Prealbumin/Protein.total in Serum or Plasma by Electrophoresis,%,,,,0,0,,,,,,1.0k,,Prealbumin Elph [Mass fraction]
14014-5,Thyroxine.prealbumin bound,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Associated; bnd; Chemistry; Endocrine; Endocrinology; Level; Levothyroxine; Levo-thyroxine; L-thyroxine; Mass concentration; PALB; Pl; Plasma; Plsm; Point in time; Pre albumin; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; T4; T-4; T4 PA Bnd; TBPA; thyroid hormone; Thyrox; Thyroxin; Thyrx; Total T4; Transthyretin; TT4,T4 PA Bnd SerPl-mCnc,Both,,,ug/dL,Thyroxine (T4).prealbumin bound [Mass/volume] in Serum or Plasma,ug/dL,,,,16075,0,,,,,,1.0k,,T4.prealbumin bound [Mass/Vol]
14015-2,Thyroxine.prealbumin bound/Prealbumin,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Associated; bnd; Chemistry; Endocrine; Endocrinology; Levothyroxine; Levo-thyroxine; L-thyroxine; Mass concentration ratio; Mass ratio; MCRto; PALB; Pl; Plasma; Plsm; Point in time; Pre albumin; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; T4; T-4; T4 PA Bnd; TBPA; thyroid hormone; Thyrox; Thyroxin; Thyrx; Total T4; Transthyretin; Transthyritren; TT4,T4 PA Bnd/Prealb SerPl,Observation,,,,Thyroxine (T4).prealbumin bound/Prealbumin [Mass Ratio] in Serum or Plasma,,,,,15273,0,,,,,,1.0k,,T4.prealbumin bound/Prealbumin [Mass ratio]
14338-8,Prealbumin,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Level; Mass concentration; PALB; Pl; Plasma; Plsm; Point in time; Pre albumin; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Transthyretin; UniversalLabOrders,Prealb SerPl-mCnc,Both,,,g/L;mg/dL,Prealbumin [Mass/volume] in Serum or Plasma,mg/dL;g/dL,,,,675,110,,,,,,1.0k,,Prealbumin [Mass/Vol]
2877-9,Prealbumin,MCnc,Pt,Ser/Plas,Qn,Electrophoresis,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Elec; Elect; Electr; Electro; Electrophhrs; Electrophrs; Elp; Elph; Ep; Level; Mass concentration; PALB; Pl; Plasma; Plsm; Point in time; Pre albumin; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Transthyretin,Prealb SerPl Elph-mCnc,Observation,,,g/dL,Prealbumin [Mass/volume] in Serum or Plasma by Electrophoresis,g/dL,,,,12046,0,,,,,,1.0,,Prealbumin Elph [Mass/Vol]
3037-9,Prealbumin,CCnc,Pt,Ser/Plas,Qn,,CHEM,2.44,DEL,,DEPRECATED,,1,,,,,Y,Catalytic Concentration; Chemistry; PALB; Pl; Plasma; Plsm; Point in time; Pre albumin; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Transthyretin,Deprecated Prealb SerPl-cCnc,Both,,,,Deprecated Prealbumin [Enzymatic activity/volume] in Serum or Plasma,,Erroneous,Incorrect property,,0,0,,,,,,1.0,,Prealbumin [Catalytic activity/Vol]
46130-1,Prealbumin,MCnc,Pt,Ser/Plas,Qn,Nephelometry,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Chemistry; Level; Light scattering; Mass concentration; Nephelom; PALB; Pl; Plasma; Plsm; Point in time; Pre albumin; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Transthyretin,Prealb SerPl Neph-mCnc,Both,,,mg/L,Prealbumin [Mass/volume] in Serum or Plasma by Nephelometry,mg/dL;mg/L,,,,908,0,,,,,,2.17,,Prealbumin Nephelometry [Mass/Vol]
6793-4,Prealbumin,MCnc,Pt,Ser/Plas,Qn,IA,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; EIA; ELFA; ELISA; Enzyme immunoassay; IAA; Level; Mass concentration; MEIA; PALB; Pl; Plasma; Plsm; Point in time; Pre albumin; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; SUDS; Transthyretin,Prealb SerPl IA-mCnc,Both,,,mg/L,Prealbumin [Mass/volume] in Serum or Plasma by Immunoassay,mg/L,,,"The EIA method, which was always intended to cover more than just enzyme-linked immunoassay and whose display name for the long common name has always been Immunoassay, was renamed IA in order to eliminate ambiguity about whether the method has a broader meaning than just enzyme-linked immunoassay. Likewise, EIA.rapid was renamed IA.rapid. These changes were approved by the Laboratory LOINC Committee in June 2016.",3100,0,,,,,,1.0h(2),,Prealbumin IA [Mass/Vol]
77192-3,Prealbumin,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.52,MIN,"This term was created for, but not limited in use to, the Roche cobas PREA Preablumin test kit.",ACTIVE,,1,,,,,,Chemistry; Level; PALB; Pl; Plasma; Plsm; Point in time; Pre albumin; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; Transthyretin,Prealb SerPl-sCnc,Both,,,umol/L,Prealbumin [Moles/volume] in Serum or Plasma,umol/L,,,,0,0,,,,,,2.52,,Prealbumin [Moles/Vol]
