LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
110647-5,Progesterone,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Lab orders; Msmt; P4; Pl; Plasma; Plsm; Prog; Proges; Progest; Progestin; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Progest Msmt SerPl,Order,,,,Progesterone [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Progesterone [Measurement]
12815-7,Progesterone^2nd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Convalescent; Level; Mass concentration; p chal; P4; Pl; Plasma; Plsm; Point in time; Post immunization; Prog; Proges; Progest; Progestin; PST; QNT; Quan; Quant; Quantitative; Random; Second; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp2; sp2 p chal; Spec; SR,Progest sp2 p chal SerPl-mCnc,Observation,,,mg/mL,Progesterone [Mass/volume] in Serum or Plasma --2nd specimen post XXX challenge,mg/mL,,,,14796,0,,,,,,1.0j-a,,Progesterone 2nd specimen post Unsp challenge [Mass/Vol]
12816-5,Progesterone^3rd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Level; Mass concentration; p chal; P4; Pl; Plasma; Plsm; Point in time; Prog; Proges; Progest; Progestin; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp3; sp3 p chal; Spec; SR,Progest sp3 p chal SerPl-mCnc,Observation,,,mg/mL,Progesterone [Mass/volume] in Serum or Plasma --3rd specimen post XXX challenge,mg/mL,,,,14797,0,,,,,,1.0j-a,,Progesterone 3rd specimen post Unsp challenge [Mass/Vol]
12817-3,Progesterone^4th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Level; Mass concentration; p chal; P4; Pl; Plasma; Plsm; Point in time; Prog; Proges; Progest; Progestin; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp4; sp4 p chal; Spec; SR,Progest sp4 p chal SerPl-mCnc,Observation,,,mg/mL,Progesterone [Mass/volume] in Serum or Plasma --4th specimen post XXX challenge,mg/mL,,,,14798,0,,,,,,1.0j-a,,Progesterone 4th specimen post Unsp challenge [Mass/Vol]
12818-1,Progesterone^5th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Level; Mass concentration; p chal; P4; Pl; Plasma; Plsm; Point in time; Prog; Proges; Progest; Progestin; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp5; sp5 p chal; Spec; SR,Progest sp5 p chal SerPl-mCnc,Observation,,,mg/mL,Progesterone [Mass/volume] in Serum or Plasma --5th specimen post XXX challenge,mg/mL,,,,0,0,,,,,,1.0j-a,,Progesterone 5th specimen post Unsp challenge [Mass/Vol]
12819-9,Progesterone^6th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Level; Mass concentration; p chal; P4; Pl; Plasma; Plsm; Point in time; Prog; Proges; Progest; Progestin; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp6; sp6 p chal; Spec; SR,Progest sp6 p chal SerPl-mCnc,Observation,,,mg/mL,Progesterone [Mass/volume] in Serum or Plasma --6th specimen post XXX challenge,mg/mL,,,,0,0,,,,,,1.0j-a,,Progesterone 6th specimen post Unsp challenge [Mass/Vol]
12821-5,Progesterone^30M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,30M p chal; After; CHEMISTRY.CHALLENGE TESTING; Level; Mass concentration; p chal; P4; Pl; Plasma; Plsm; Point in time; Prog; Proges; Progest; Progestin; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Progest 30M p chal SerPl-mCnc,Observation,,,mg/mL,Progesterone [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge,mg/mL,,,,0,0,,,,,,1.0j-a,,Progesterone 30 Min post Unsp challenge [Mass/Vol]
12822-3,Progesterone^1H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p chal; 60 min; 60 minutes; 60M; 60min; After; CHEMISTRY.CHALLENGE TESTING; Level; Mass concentration; p chal; P4; Pl; Plasma; Plsm; Point in time; Prog; Proges; Progest; Progestin; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Progest 1h p chal SerPl-mCnc,Observation,,,mg/mL,Progesterone [Mass/volume] in Serum or Plasma --1 hour post XXX challenge,mg/mL,,,,16811,0,,,,,,1.0j-a,,Progesterone 1 Hr post Unsp challenge [Mass/Vol]
14890-8,Progesterone,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Level; P4; Pl; Plasma; Plsm; Point in time; Prog; Proges; Progest; Progestin; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Progest SerPl-sCnc,Both,,,nmol/L,Progesterone [Moles/volume] in Serum or Plasma,nmol/L,,,,9635,0,,,,,,1.0k,,Progesterone [Moles/Vol]
17484-7,Progesterone^1.5H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,1 1/2 hours; 1 1/2 HR; 1.5h p chal; 1.5Hr; 90 min; 90 minutes; 90M; 90min; After; CHEMISTRY.CHALLENGE TESTING; Level; Mass concentration; p chal; P4; Pl; Plasma; Plsm; Point in time; Prog; Proges; Progest; Progestin; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Progest 1.5h p chal SerPl-mCnc,Observation,,,mg/mL,Progesterone [Mass/volume] in Serum or Plasma --1.5 hours post XXX challenge,mg/mL,,,,0,0,,,,,,1.0l,,Progesterone 1.5 Hr post Unsp challenge [Mass/Vol]
