LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
111053-5,Prolactin,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Lab orders; Lactotropic hormone; Lactotropin; Mammatropic hormone; Mammotropin; Msmt; Pl; Plasma; Plsm; PRL; Prol; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Prolactin Msmt SerPl,Order,,,,Prolactin [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Prolactin [Measurement]
12231-7,Prolactin^baseline,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,BS; CHEMISTRY.CHALLENGE TESTING; Lactotropic hormone; Lactotropin; Level; Mammatropic hormone; Mammotropin; Mass concentration; Pl; Plasma; Plsm; Point in time; PRL; Prol; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,Prolactin BS SerPl-mCnc,Observation,,,ng/mL;ug/L,Prolactin [Mass/volume] in Serum or Plasma --baseline,ng/mL,,,,10597,0,,,,,,1.0j-a,,Prolactin baseline [Mass/Vol]
12823-1,Prolactin^2nd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Convalescent; Lactotropic hormone; Lactotropin; Level; Mammatropic hormone; Mammotropin; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; Post immunization; PRL; Prol; PST; QNT; Quan; Quant; Quantitative; Random; Second; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp2; sp2 p chal; Spec; SR,Prolactin sp2 p chal SerPl-mCnc,Observation,,,ng/mL;ug/L,Prolactin [Mass/volume] in Serum or Plasma --2nd specimen post XXX challenge,ng/mL,,,,11529,0,,,,,,1.0j-a,,Prolactin 2nd specimen post Unsp challenge [Mass/Vol]
12824-9,Prolactin^3rd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Lactotropic hormone; Lactotropin; Level; Mammatropic hormone; Mammotropin; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PRL; Prol; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp3; sp3 p chal; Spec; SR,Prolactin sp3 p chal SerPl-mCnc,Observation,,,ng/mL;ug/L,Prolactin [Mass/volume] in Serum or Plasma --3rd specimen post XXX challenge,ng/mL,,,,11577,0,,,,,,1.0j-a,,Prolactin 3rd specimen post Unsp challenge [Mass/Vol]
12825-6,Prolactin^4th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Lactotropic hormone; Lactotropin; Level; Mammatropic hormone; Mammotropin; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PRL; Prol; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp4; sp4 p chal; Spec; SR,Prolactin sp4 p chal SerPl-mCnc,Observation,,,ng/mL;ug/L,Prolactin [Mass/volume] in Serum or Plasma --4th specimen post XXX challenge,ng/mL,,,,11613,0,,,,,,1.0j-a,,Prolactin 4th specimen post Unsp challenge [Mass/Vol]
12826-4,Prolactin^5th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Lactotropic hormone; Lactotropin; Level; Mammatropic hormone; Mammotropin; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PRL; Prol; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp5; sp5 p chal; Spec; SR,Prolactin sp5 p chal SerPl-mCnc,Observation,,,ng/mL;ug/L,Prolactin [Mass/volume] in Serum or Plasma --5th specimen post XXX challenge,ng/mL,,,,14037,0,,,,,,1.0j-a,,Prolactin 5th specimen post Unsp challenge [Mass/Vol]
12827-2,Prolactin^6th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Lactotropic hormone; Lactotropin; Level; Mammatropic hormone; Mammotropin; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PRL; Prol; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp6; sp6 p chal; Spec; SR,Prolactin sp6 p chal SerPl-mCnc,Observation,,,ng/mL;ug/L,Prolactin [Mass/volume] in Serum or Plasma --6th specimen post XXX challenge,ng/mL,,,,16782,0,,,,,,1.0j-a,,Prolactin 6th specimen post Unsp challenge [Mass/Vol]
12828-0,Prolactin^7th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,^7th spec pst XXX chal; After; CHEMISTRY.CHALLENGE TESTING; Lactotropic hormone; Lactotropin; Level; Mammatropic hormone; Mammotropin; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PRL; Prol; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp7; sp7 p chal; Spec; SR,Prolactin sp7 p chal SerPl-mCnc,Observation,,,ng/mL;ug/L,Prolactin [Mass/volume] in Serum or Plasma --7th specimen post XXX challenge,ng/mL,,,,16783,0,,,,,,1.0j-a,,Prolactin 7th specimen post Unsp challenge [Mass/Vol]
12829-8,Prolactin^8th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Lactotropic hormone; Lactotropin; Level; Mammatropic hormone; Mammotropin; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PRL; Prol; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp8; sp8 p chal; Spec; SR,Prolactin sp8 p chal SerPl-mCnc,Observation,,,ng/mL;ug/L,Prolactin [Mass/volume] in Serum or Plasma --8th specimen post XXX challenge,ng/mL,,,,16784,0,,,,,,1.0j-a,,Prolactin 8th specimen post Unsp challenge [Mass/Vol]
12830-6,Prolactin^9th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Lactotropic hormone; Lactotropin; Level; Mammatropic hormone; Mammotropin; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PRL; Prol; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp9; sp9 p chal; Spec; SR,Prolactin sp9 p chal SerPl-mCnc,Observation,,,ng/mL;ug/L,Prolactin [Mass/volume] in Serum or Plasma --9th specimen post XXX challenge,ng/mL,,,,16785,0,,,,,,1.0j-a,,Prolactin 9th specimen post Unsp challenge [Mass/Vol]
