LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
111390-1,Protein.monoclonal,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,TRIAL,1,Order,,,"Protein.monoclonal [Measurement] in Urine",,2.81,false,Protein.monoclonal:{Measurement}:-:Urine:-:
108021-7,Protein,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,TRIAL,1,Order,,,"Protein [Measurement] in Urine",,2.81,false,Protein:{Measurement}:-:Urine:-:
101909-0,"Protein monoclonal panel",-,Pt,Urine,-,,PANEL.CHEM,2.76,ACTIVE,1,Order,,,"Protein monoclonal panel - Urine",,2.75,true,"Protein monoclonal panel:-:Pt:Urine:-:"
101668-2,"Protein electrophoresis & monoclonal protein isotype panel",-,Pt,Urine,-,,PANEL.CHEM,2.75,ACTIVE,1,Order,,,"Protein electrophoresis and M protein isotype panel - Urine",,2.75,true,"Protein electrophoresis & monoclonal protein isotype panel:-:Pt:Urine:-:"
79539-3,"HEDIS 2016-2018 Value Set - Urine Protein Tests",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,Both,,,"HEDIS 2016-2018 Value Set - Urine Protein Tests",,2.54,false,"HEDIS 2016-2018 Value Set - Urine Protein Tests:-:Pt:^Patient:-:"
90989-5,"HEDIS 2019 Value Set - Urine Protein Tests",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,,,,"HEDIS 2019 Value Set - Urine Protein Tests",,2.65,false,"HEDIS 2019 Value Set - Urine Protein Tests:-:Pt:^Patient:-:"
94142-7,"HEDIS 2020 Value Set - Urine Protein Tests",-,Pt,^Patient,-,,PANEL.HEDIS,2.69,DISCOURAGED,1,,,,"HEDIS 2020 Value Set - Urine Protein Tests",,2.67,false,"HEDIS 2020 Value Set - Urine Protein Tests:-:Pt:^Patient:-:"
111089-9,Protein/Creatinine,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,TRIAL,1,Order,,,"Protein/Creatinine [Measurement] in Urine",,2.81,false,Protein/Creatinine:{Measurement}:-:Urine:-:
96067-4,"HEDIS Measurement Year 2020 Value Set - Urine Protein Tests",-,Pt,^Patient,-,,PANEL.HEDIS,2.72,DISCOURAGED,1,Subset,,,"HEDIS MY 2020 Value Set - Urine Protein Tests",,2.69,false,"HEDIS Measurement Year 2020 Value Set - Urine Protein Tests:-:Pt:^Patient:-:"
108479-7,"Immunoglobulin light chains.free",{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,TRIAL,1,Order,,,"Immunoglobulin light chains.free [Measurement] in Urine",,2.81,false,"Immunoglobulin light chains.free:{Measurement}:-:Urine:-:"
87434-7,"Protein & creatinine panel",-,Pt,Urine,Qn,,PANEL.CHEM,2.73,ACTIVE,1,Order,,,"Protein and creatinine panel - Urine",,2.63,true,"Protein & creatinine panel:-:Pt:Urine:Qn:"
48627-4,Protein.monoclonal,ACnc,Pt,Urine,Qn,,CHEM,2.69,DISCOURAGED,1,Both,,,"Protein.monoclonal [Units/volume] in Urine",[arb'U]/mL,2.21,false,Protein.monoclonal:ACnc:Pt:Urine:Qn:
35560-2,Protein.monoclonal,MCnc,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Observation,,mg/dL,"Protein.monoclonal [Mass/volume] in Urine",mg/dL,2.13,false,Protein.monoclonal:MCnc:Pt:Urine:Qn:
2887-8,Protein,PrThr,Pt,Urine,Ord,,UA,2.73,ACTIVE,1,Observation,,,"Protein [Presence] in Urine",,1.0,false,Protein:PrThr:Pt:Urine:Ord:
