LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
105049-1,Coagulation,TRto,Pt,PPP^Control,Qn,Coag.tissue factor induced.factor substitution.2H post incubation after 1:1 addition of normal plasma,COAG,2.82,NAM,,DISCOURAGED,,1,,,,,N,120 min; 120 minutes; 120min; 2 hours; After; Clot; Clottable; Coag; Coagulation assay; Contrl; Control; Fac; Fact; i; Normal; Plas; Platelet poor plasma; Point in time; PST; PT 2h p 1:1 NP; PT 2h p Inc; QNT; Quan; Quant; Quantitative; Random; Tilt tube; Time ratio,PT 2h p 1:1 NP PPP Cont,Both,,,ratio,Prothrombin time (PT) factor substitution [Time Ratio] in Control Platelet poor plasma by Coagulation assay --2H post incubation with 1:1 normal plasma,{ratio},,,Release 2.79: Status: needs to be remodeled;,0,0,,,,,,2.78,,Coagulation (PPP control) [Time ratio]
33356-7,Coagulation,Time,Pt,PPP,Qn,Coag.tissue factor induced.factor substitution.1H post incubation after addition of normal plasma,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,1 hour; 1.0Hr; 60 min; 60 minutes; 60M; 60min; After; Clot; Clottable; Coag; Coagulation assay; Control; Fac; Fact; Hematology; Heme; Plas; Platelet poor plasma; Point in time; PST; PT 1h NP Cont; PT 1h p Inc; QNT; Quan; Quant; Quantitative; Random; Tilt tube,PT 1h NP Cont PPP,Observation,,,s,Prothrombin time (PT) factor substitution 1H post incubation with normal plasma in Platelet poor plasma by Coagulation assay,s,,,,6907,0,,,,,,2.09,,Coagulation (PPP) [Time]
33357-5,Coagulation,Time,Pt,PPP,Qn,Coag.tissue factor induced.factor substitution.1H post incubation,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,1 hour; 1.0Hr; 60 min; 60 minutes; 60M; 60min; After; Clot; Clottable; Coag; Coagulation assay; Fac; Fact; Hematology; Heme; Plas; Platelet poor plasma; Point in time; PST; PT 1h p Inc; QNT; Quan; Quant; Quantitative; Random; Tilt tube,PT 1h p Inc PPP,Both,,,s,Prothrombin time (PT) factor substitution 1 hours post incubation in Platelet poor plasma by Coagulation assay,s,,,,10076,0,,,,,,2.09,,Coagulation (PPP) [Time]
33880-6,Coagulation,Time,Pt,PPP^Control,Qn,Coag.tissue factor induced.factor substitution.2H post incubation after addition of normal plasma,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,120 min; 120 minutes; 120min; 2 hours; After; Clot; Clottable; Coag; Coagulation assay; Contrl; Control; Fac; Fact; Hematology; Heme; Normal; Plas; Platelet poor plasma; Point in time; PST; PT 2h NP; PT 2h p Inc; QNT; Quan; Quant; Quantitative; Random; Tilt tube,PT 2h NP PPP Cont,Observation,,,s,Prothrombin time (PT) factor substitution 2H post incubation with normal plasma in Platelet poor plasma from Control by Coagulation assay,s,,,,11118,0,,,,,,2.09,,Coagulation (PPP control) [Time]
33881-4,Coagulation,Time,Pt,PPP^Control,Qn,Coag.tissue factor induced.factor substitution.immediately after 1:4 addition of normal plasma,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,Clot; Clottable; Coag; Coagulation assay; Contrl; Control; Fac; Fact; Hematology; Heme; i; Normal; Plas; Platelet poor plasma; Point in time; PT imm 1:4 NP Cont; QNT; Quan; Quant; Quantitative; Random; Tilt tube,PT imm 1:4 NP Cont PPP Cont,Observation,,,s,Prothrombin time (PT) factor substitution immediately after 1:4 addition of normal plasma in Platelet poor plasma from Control by Coagulation assay,s,,,,0,0,,,,,,2.09,,Coagulation (PPP control) [Time]
33883-0,Coagulation,Time,Pt,PPP^Control,Qn,Coag.tissue factor induced.factor substitution.1H post incubation after 1:4 addition of normal plasma,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,1 hour; 1.0Hr; 60 min; 60 minutes; 60M; 60min; After; Clot; Clottable; Coag; Coagulation assay; Contrl; Control; Fac; Fact; Hematology; Heme; i; Normal; Plas; Platelet poor plasma; Point in time; PST; PT 1h p 1:4 NP; PT 1h p Inc; QNT; Quan; Quant; Quantitative; Random; Tilt tube,PT 1h p 1:4 NP PPP Cont,Observation,,,s,Prothrombin time (PT) factor substitution 1H post incubation with 1:4 normal plasma in Platelet poor plasma from Control by Coagulation assay,s,,,,0,0,,,,,,2.09,,Coagulation (PPP control) [Time]
33884-8,Coagulation,Time,Pt,PPP^Control,Qn,Coag.tissue factor induced.factor substitution.1H post incubation after addition of normal plasma,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,1 hour; 1.0Hr; 60 min; 60 minutes; 60M; 60min; After; Clot; Clottable; Coag; Coagulation assay; Contrl; Control; Fac; Fact; Hematology; Heme; Normal; Plas; Platelet poor plasma; Point in time; PST; PT 1h NP Cont; PT 1h p Inc; QNT; Quan; Quant; Quantitative; Random; Tilt tube,PT 1h NP Cont PPP Cont,Observation,,,s,Prothrombin time (PT) factor substitution 1H post incubation with normal plasma in Platelet poor plasma from Control by Coagulation assay,s,,,,12292,0,,,,,,2.09,,Coagulation (PPP control) [Time]
33885-5,Coagulation,Time,Pt,PPP,Qn,Coag.tissue factor induced.factor substitution.2H post incubation after 1:4 addition of normal plasma,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,120 min; 120 minutes; 120min; 2 hours; After; Clot; Clottable; Coag; Coagulation assay; Control; Fac; Fact; Hematology; Heme; i; Plas; Platelet poor plasma; Point in time; PST; PT 2h p 1:4 NP; PT 2h p Inc; QNT; Quan; Quant; Quantitative; Random; Tilt tube,PT 2h p 1:4 NP PPP,Observation,,,s,Prothrombin time (PT) factor substitution 2H post incubation with 1:4 normal plasma in Platelet poor plasma by Coagulation assay,s,,,,0,0,,,,,,2.09,,Coagulation (PPP) [Time]
33886-3,Coagulation,Time,Pt,PPP^Control,Qn,Coag.tissue factor induced.factor substitution.2H post incubation after 1:4 addition of normal plasma,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,120 min; 120 minutes; 120min; 2 hours; After; Clot; Clottable; Coag; Coagulation assay; Contrl; Control; Fac; Fact; Hematology; Heme; i; Normal; Plas; Platelet poor plasma; Point in time; PST; PT 2h p 1:4 NP; PT 2h p Inc; QNT; Quan; Quant; Quantitative; Random; Tilt tube,PT 2h p 1:4 NP PPP Cont,Observation,,,s,Prothrombin time (PT) factor substitution 2H post incubation with 1:4 normal plasma in Platelet poor plasma from Control by Coagulation assay,s,,,,0,0,,,,,,2.09,,Coagulation (PPP control) [Time]
33887-1,Coagulation,Time,Pt,PPP,Qn,Coag.tissue factor induced.factor substitution.2H post incubation after addition of normal plasma,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,120 min; 120 minutes; 120min; 2 hours; After; Clot; Clottable; Coag; Coagulation assay; Control; Fac; Fact; Hematology; Heme; Plas; Platelet poor plasma; Point in time; PST; PT 2h NP; PT 2h p Inc; QNT; Quan; Quant; Quantitative; Random; Tilt tube,PT 2h NP PPP,Observation,,,s,Prothrombin time (PT) factor substitution 2H post incubation with normal plasma in Platelet poor plasma by Coagulation assay,s,,,,11024,0,,,,,,2.09,,Coagulation (PPP) [Time]
