LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
12249-9,Renin,MRat,Pt,Plas,Qn,,CHEM,2.70,MIN,,DEPRECATED,,1,,,,,Y,Angiotensin forming enzyme; Angiotensinogenase; Chemistry; Mass Rate; mRate; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random,Deprecated Renin Plas-mRate,,,,ng/mL/h,Deprecated Renin [Enzymatic activity/volume] in Plasma,ng/mL/h,Duplicate,,,0,0,,,,,,1.0j-a,,Renin (P) [Mass/Time]
12900-7,Renin^2nd specimen post XXX challenge,CCnc,Pt,Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,Active renin; After; Angiotensin forming enzyme; Angiotensinogenase; Cardio; Cardiology; Catalytic Concentration; CHEMISTRY.CHALLENGE TESTING; Convalescent; Endocrine; Endocrinology; Heart Disease; Kidney; Nephrology; p chal; Pl; Plasma; Plasma renin activity; Plsm; Point in time; Post immunization; PRA; PST; QNT; Quan; Quant; Quantitative; Random; Renal; Second; sp2; sp2 p chal; Spec,Renin sp2 p chal Plas-cCnc,Observation,,,ng/mL/h,Renin [Enzymatic activity/volume] in Plasma --2nd specimen post XXX challenge,ng/mL/h,,,,16858,0,,,,,,1.0j-a,,Renin 2nd specimen post Unsp challenge (P) [Catalytic activity/Vol]
12901-5,Renin^3rd specimen post XXX challenge,CCnc,Pt,Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,Active renin; After; Angiotensin forming enzyme; Angiotensinogenase; Cardio; Cardiology; Catalytic Concentration; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Heart Disease; Kidney; Nephrology; p chal; Pl; Plasma; Plasma renin activity; Plsm; Point in time; PRA; PST; QNT; Quan; Quant; Quantitative; Random; Renal; sp3; sp3 p chal; Spec,Renin sp3 p chal Plas-cCnc,Observation,,,ng/mL/h,Renin [Enzymatic activity/volume] in Plasma --3rd specimen post XXX challenge,ng/mL/h,,,,16859,0,,,,,,1.0j-a,,Renin 3rd specimen post Unsp challenge (P) [Catalytic activity/Vol]
12902-3,Renin^4th specimen post XXX challenge,CCnc,Pt,Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,Active renin; After; Angiotensin forming enzyme; Angiotensinogenase; Cardio; Cardiology; Catalytic Concentration; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Heart Disease; Kidney; Nephrology; p chal; Pl; Plasma; Plasma renin activity; Plsm; Point in time; PRA; PST; QNT; Quan; Quant; Quantitative; Random; Renal; sp4; sp4 p chal; Spec,Renin sp4 p chal Plas-cCnc,Observation,,,ng/mL/h,Renin [Enzymatic activity/volume] in Plasma --4th specimen post XXX challenge,ng/mL/h,,,,16860,0,,,,,,1.0j-a,,Renin 4th specimen post Unsp challenge (P) [Catalytic activity/Vol]
12903-1,Renin^5th specimen post XXX challenge,CCnc,Pt,Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,Active renin; After; Angiotensin forming enzyme; Angiotensinogenase; Cardio; Cardiology; Catalytic Concentration; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Heart Disease; Kidney; Nephrology; p chal; Pl; Plasma; Plasma renin activity; Plsm; Point in time; PRA; PST; QNT; Quan; Quant; Quantitative; Random; Renal; sp5; sp5 p chal; Spec,Renin sp5 p chal Plas-cCnc,Observation,,,ng/mL/h,Renin [Enzymatic activity/volume] in Plasma --5th specimen post XXX challenge,ng/mL/h,,,,16861,0,,,,,,1.0j-a,,Renin 5th specimen post Unsp challenge (P) [Catalytic activity/Vol]
12904-9,Renin^6th specimen post XXX challenge,CCnc,Pt,Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,Active renin; After; Angiotensin forming enzyme; Angiotensinogenase; Cardio; Cardiology; Catalytic Concentration; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Heart Disease; Kidney; Nephrology; p chal; Pl; Plasma; Plasma renin activity; Plsm; Point in time; PRA; PST; QNT; Quan; Quant; Quantitative; Random; Renal; sp6; sp6 p chal; Spec,Renin sp6 p chal Plas-cCnc,Observation,,,ng/mL/h,Renin [Enzymatic activity/volume] in Plasma --6th specimen post XXX challenge,ng/mL/h,,,,16862,0,,,,,,1.0j-a,,Renin 6th specimen post Unsp challenge (P) [Catalytic activity/Vol]
12905-6,Renin^7th specimen post XXX challenge,CCnc,Pt,Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,^7th spec pst XXX chal; Active renin; After; Angiotensin forming enzyme; Angiotensinogenase; Cardio; Cardiology; Catalytic Concentration; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Heart Disease; Kidney; Nephrology; p chal; Pl; Plasma; Plasma renin activity; Plsm; Point in time; PRA; PST; QNT; Quan; Quant; Quantitative; Random; Renal; sp7; sp7 p chal; Spec,Renin sp7 p chal Plas-cCnc,Observation,,,ng/mL/h,Renin [Enzymatic activity/volume] in Plasma --7th specimen post XXX challenge,ng/mL/h,,,,16863,0,,,,,,1.0j-a,,Renin 7th specimen post Unsp challenge (P) [Catalytic activity/Vol]
12906-4,Renin^8th specimen post XXX challenge,CCnc,Pt,Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,Active renin; After; Angiotensin forming enzyme; Angiotensinogenase; Cardio; Cardiology; Catalytic Concentration; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Heart Disease; Kidney; Nephrology; p chal; Pl; Plasma; Plasma renin activity; Plsm; Point in time; PRA; PST; QNT; Quan; Quant; Quantitative; Random; Renal; sp8; sp8 p chal; Spec,Renin sp8 p chal Plas-cCnc,Observation,,,ng/mL/h,Renin [Enzymatic activity/volume] in Plasma --8th specimen post XXX challenge,ng/mL/h,,,,16864,0,,,,,,1.0j-a,,Renin 8th specimen post Unsp challenge (P) [Catalytic activity/Vol]
13867-7,Renin^1H post 25 mg captopril PO,CCnc,Pt,Plas,Qn,,CHAL,2.42,MIN,,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p 25 mg Cpl PO; 60 min; 60 minutes; 60M; 60min; Active renin; After; Angiotensin forming enzyme; Angiotensinogenase; c246; Cardio; Cardiology; Catalytic Concentration; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Heart Disease; Kidney; Nephrology; p 25 mg Cpl PO; Pl; Plasma; Plasma renin activity; Plsm; Point in time; PRA; PST; QNT; Quan; Quant; Quantitative; Random; Renal,Renin 1h p 25 mg Cpl PO Plas-cCnc,Observation,,,ng/mL/h,Renin [Enzymatic activity/volume] in Plasma --1 hour post 25 mg captopril PO,ng/mL/h,,,,0,0,,,,,,1.0k,,Renin 1 Hr post 25 mg captopril PO (P) [Catalytic activity/Vol]
13868-5,Renin^2H post 25 mg captopril PO,CCnc,Pt,Plas,Qn,,CHAL,2.42,MIN,,ACTIVE,,1,,,,,Y,120 min; 120 minutes; 120min; 2 hours; 2h p 25 mg Cpl PO; Active renin; After; Angiotensin forming enzyme; Angiotensinogenase; c246; Cardio; Cardiology; Catalytic Concentration; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Heart Disease; Kidney; Nephrology; p 25 mg Cpl PO; Pl; Plasma; Plasma renin activity; Plsm; Point in time; PRA; PST; QNT; Quan; Quant; Quantitative; Random; Renal,Renin 2h p 25 mg Cpl PO Plas-cCnc,Observation,,,ng/mL/h,Renin [Enzymatic activity/volume] in Plasma --2 hours post 25 mg captopril PO,ng/mL/h,,,,0,0,,,,,,1.0k,,Renin 2 Hr post 25 mg captopril PO (P) [Catalytic activity/Vol]
