LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
42570-2,Sodium,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Sodium [Mass or Moles/volume] in Serum or Plasma",,2.16,false,Sodium:MSCnc:Pt:Ser/Plas:Qn:
2951-2,Sodium,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Sodium [Moles/volume] in Serum or Plasma",mmol/L,1.0,false,Sodium:SCnc:Pt:Ser/Plas:Qn:
34548-8,"Sodium & Potassium panel",SCnc,Pt,Ser/Plas,Qn,,PANEL.CHEM,2.42,ACTIVE,1,Order,,,"Sodium and Potassium panel [Moles/volume] - Serum or Plasma",,2.10,true,"Sodium & Potassium panel:SCnc:Pt:Ser/Plas:Qn:"
96293-6,"Sodium nitrite Ab.IgE",ACnc,Pt,Ser,Qn,,ALLERGY,2.69,ACTIVE,1,Both,,kIU/L,"Sodium nitrite IgE Ab [Units/volume] in Serum",k[IU]/L,2.69,false,"Sodium nitrite Ab.IgE:ACnc:Pt:Ser:Qn:"
12491-7,Methohexital,PrThr,Pt,Ser/Plas,Ord,,DRUG/TOX,2.56,ACTIVE,1,Both,,,"Methohexital [Presence] in Serum or Plasma",,1.0j-a,false,Methohexital:PrThr:Pt:Ser/Plas:Ord:
16527-4,Calcium/Sodium,MRto,Pt,Ser/Plas,Qn,,CHEM,2.42,ACTIVE,1,Observation,,,"Calcium/Sodium [Mass Ratio] in Serum or Plasma",,1.0l,false,Calcium/Sodium:MRto:Pt:Ser/Plas:Qn:
28003-2,Sodium/Potassium,SRto,Pt,Ser/Plas,Qn,,CHEM,2.42,ACTIVE,1,Both,,,"Sodium/Potassium [Molar ratio] in Serum or Plasma",,2.00,false,Sodium/Potassium:SRto:Pt:Ser/Plas:Qn:
44783-9,Sodium,SCnc,Stdy^max,Ser/Plas,Qn,,CHEM,2.54,ACTIVE,1,Observation,,mmol/L,"Sodium [Moles/volume] (Maximum value during study) in Serum or Plasma",mmol/L,2.17,false,Sodium:SCnc:Stdy^max:Ser/Plas:Qn:
77139-4,Sodium,SCnc,Pt,Ser/Plas/Bld,Qn,,CHEM,2.68,ACTIVE,1,Both,,mmol/L,"Sodium [Moles/volume] in Serum, Plasma or Blood",mmol/L,2.52,false,Sodium:SCnc:Pt:Ser/Plas/Bld:Qn:
27042-1,Methohexital,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.70,ACTIVE,1,Both,,ug/mL,"Methohexital [Mass/volume] in Serum or Plasma",ug/mL,2.00,false,Methohexital:MCnc:Pt:Ser/Plas:Qn:
74688-3,"Sodium^post dialysis",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.48,ACTIVE,1,Both,,mmol/L,"Sodium [Moles/volume] in Serum or Plasma --post dialysis",mmol/L,2.48,false,"Sodium^post dialysis:SCnc:Pt:Ser/Plas:Qn:"
51419-0,"Sodium^^corrected for glucose",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Observation,,mmol/L,"Sodium [Moles/volume] corrected for glucose in Serum or Plasma",mmol/L,2.22,false,"Sodium^^corrected for glucose:SCnc:Pt:Ser/Plas:Qn:"
2957-9,"Sodium renal clearance",VRat,24H,Urine+Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mL/min,"Sodium renal clearance in 24 hour Urine and Serum or Plasma",mL/min,1.0,false,"Sodium renal clearance:VRat:24H:Urine+Ser/Plas:Qn:"
56711-5,"Sodium benzoate Ab.IgE",ACnc,Pt,Ser,Qn,,ALLERGY,2.70,ACTIVE,1,Both,,kIU/L,"Sodium benzoate IgE Ab [Units/volume] in Serum",k[IU]/L,2.29,false,"Sodium benzoate Ab.IgE:ACnc:Pt:Ser:Qn:"
26761-7,"Sodium renal clearance",VRat,2H,Urine+Ser/Plas,Qn,,CHEM,2.70,ACTIVE,1,Both,,mL/min,"Sodium renal clearance in 2 hour Urine and Serum or Plasma",mL/min,2.00,false,"Sodium renal clearance:VRat:2H:Urine+Ser/Plas:Qn:"
93997-5,"Sodium^1H post dose vasopressin",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.67,ACTIVE,1,Observation,,mmol/L,"Sodium [Moles/volume] in Serum or Plasma --1 hour post dose vasopressin",mmol/L,2.67,false,"Sodium^1H post dose vasopressin:SCnc:Pt:Ser/Plas:Qn:"
94006-4,"Sodium^2H post dose vasopressin",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.67,ACTIVE,1,Observation,,mmol/L,"Sodium [Moles/volume] in Serum or Plasma --2 hours post dose vasopressin",mmol/L,2.67,false,"Sodium^2H post dose vasopressin:SCnc:Pt:Ser/Plas:Qn:"
49135-7,"Fractional excretion of sodium",Ratio,Pt,Urine+Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,%,"Fractional excretion of sodium [Ratio] in Urine and Serum or Plasma",%,2.21,false,"Fractional excretion of sodium:Ratio:Pt:Urine+Ser/Plas:Qn:"
3329-0,Aminosalicylate,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,,"Aminosalicylate [Mass/volume] in Serum or Plasma",,1.0,false,Aminosalicylate:MCnc:Pt:Ser/Plas:Qn:
98043-3,"5-Aminosalicylate Ab.IgE",ACnc,Pt,Ser,Qn,,ALLERGY,2.70,ACTIVE,1,Both,,kIU/L,"5-Aminosalicylate IgE Ab [Units/volume] in Serum",k[IU]/L,2.70,false,"5-Aminosalicylate Ab.IgE:ACnc:Pt:Ser:Qn:"
3452-0,Cefuroxime.parenteral,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.42,ACTIVE,1,Both,,ug/mL,"Cefuroxime Parenteral [Mass/volume] in Serum or Plasma",ug/mL,1.0,false,Cefuroxime.parenteral:MCnc:Pt:Ser/Plas:Qn:
