LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
101734-2,Sodium Urate crystals,EngDiff,24H,Urine,Qn,,CHEM,2.76,NAM,,ACTIVE,,1,,,,,N,1 day; 24 hours; 24HR; Chemistry; Crys; Cryst; Crystal; Monosodium Urate; Na; Na Urate; Na Urate cry; Na+; NaU; QNT; Quan; Quant; Quantitative; UA; UR; Urates; Uric acid; Urn,Na Urate cry 24h EngDiff Ur,Both,,,Delta G (kJ/mol),Sodium Urate crystals [Energy Difference] in 24 hour Urine,kJ/mol,,,,0,0,,,,,,2.75,,Sodium urate crystals (24H U) [Energy diff]
101826-6,Sodium Urate crystals,SatFr,24H,Urine,Qn,,CHEM,2.76,NAM,,ACTIVE,,1,,,,,N,1 day; 24 hours; 24HR; Chemistry; Crys; Cryst; Crystal; Monosodium Urate; Na; Na Urate; Na Urate cry; Na+; NaU; Percent; QNT; Quan; Quant; Quantitative; Relative Supersaturation; RS; Saturation Fraction; UA; UR; Urates; Uric acid; Urn,Na Urate cry 24h SatFr Ur,Both,,,kJ/mol,Sodium Urate crystals [Saturation Fraction] in 24 hour Urine,kJ/mol,,,,0,0,,,,,,2.75,,Sodium urate crystals (24H U) [Saturation fraction]
101935-5,Sodium Urate Crystals,EngDiff,Pt,Urine,Qn,,CHEM,2.75,ADD,,ACTIVE,,1,,,,,N,Chemistry; Crys; Cryst; Crystal; Monosodium Urate; Na; Na Urate; Na Urate Cry; Na+; NaU; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urates; Uric acid; Urn,Na Urate Cry EngDiff Ur,Both,,,kJ/mol,Sodium urate crystals [Energy Difference] in Urine,kJ/mol,,,,0,0,,,,,,2.75,,Sodium urate crystals (U) [Energy diff]
111097-2,Sodium/Creatinine,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,CR; Crea; Creat; Lab orders; Msmt; Na; Na+; UA; UCr; UR; Urn,Sodium/Creat Msmt Ur,Order,,,,Sodium/Creatinine [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Sodium/Creatinine (U) [Measurement]
111466-9,Sodium,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Lab orders; Msmt; Na; Na+; UA; UR; Urn,Sodium Msmt Ur,Order,,,,Sodium [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Sodium (U) [Measurement]
11149-2,Sodium/Creatinine,MRto,Pt,Urine,Qn,,CHEM,2.44,MIN,,DISCOURAGED,,1,,,,,Y,Chemistry; CR; Crea; Creat; Mass concentration ratio; Mass ratio; MCRto; Na; Na+; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UCr; UR; Urn,Sodium/Creat Ur,Both,,,,Sodium/Creatinine [Mass Ratio] in Urine,,,Most laboratories report this in moles. Double check with your lab for reporting units.,,0,0,,,,,,1.0j-a,,Sodium/Creatinine (U) [Mass ratio]
13809-9,Sodium/Creatinine,MRto,24H,Urine,Qn,,CHEM,2.44,MIN,,DISCOURAGED,,1,,,,,Y,1 day; 24 hours; 24HR; Chemistry; CR; Crea; Creat; Kidney; Mass concentration ratio; Mass ratio; MCRto; Na; Na+; Nephrology; QNT; Quan; Quant; Quantitative; Renal; UA; UCr; UR; Urn,Sodium/Creat 24h Ur,Both,,,,Sodium/Creatinine [Mass Ratio] in 24 hour Urine,,,Most laboratories report this in moles. Double check with your lab for reporting units.,,0,0,,,,,,1.0k,,Sodium/Creatinine (24H U) [Mass ratio]
18376-4,Sodium,SRat,6H,Urine,Qn,,CHEM,2.42,MIN,,ACTIVE,,1,,,,,Y,6 hours; 6Hr; Chemistry; Na; Na+; QNT; Quan; Quant; Quantitative; sRate; Substance Rate; UA; UR; Urn,Sodium 6h Ur-sRate,Both,,,mmol/6 H,Sodium [Moles/time] in 6 hour Urine,mmol/(6.h),,,,0,0,,,,,,1.0l,,Sodium (6H U) [Moles/Time]
18377-2,Sodium,SRat,12H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,12 hours; 12HR; Chemistry; Na; Na+; QNT; Quan; Quant; Quantitative; sRate; Substance Rate; UA; UR; Urn,Sodium 12h Ur-sRate,Both,,,mmol/12 H,Sodium [Moles/time] in 12 hour Urine,mmol/(12.h),,,,18980,0,,,,,,1.0l,,Sodium (12H U) [Moles/Time]
21525-1,Sodium,SCnc,24H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Chemistry; Kidney; Level; Na; Na+; Nephrology; QNT; Quan; Quant; Quantitative; Renal; Substance Concentration; UA; UniversalLabOrders; UR; Urn,Sodium 24h Ur-sCnc,Both,,,mmol/L;mEq/L,Sodium [Moles/volume] in 24 hour Urine,mol/L,,,,2655,0,,,,,,1.0m,,Sodium (24H U) [Moles/Vol]
